[000:00:00;15] THOSE  
[000:00:01;03] PEOPLE WHO ARE INJURED AND  
[000:00:02;12] SENDING OUR DEEPEST  
[000:00:04;03] CONDOLENCES AND SYMPATHIES.  
[000:00:05;24] THOSE PEOPLE WHO WERE HURT  
[000:00:06;25] AND WISHING WELL OUR MEN  
[000:00:08;03] AND WOMEN OF LAW  
[000:00:09;16] ENFORCEMENT.  
[000:00:10;02] I HAVE ABSOLUTELY FULL  
[000:00:11;05] FAITH AND CONFIDENCE.  
[000:00:15;06] >> Bret: MASSACHUSETTS.  
[000:00:15;28] FAIR, BALANCED AND  
[000:00:16;17] UNAFRAID.  
[000:00:19;10] >> Shepard: CONTINUING  
[000:00:20;01] COVERAGE OF BREAKING NEWS.  
[000:00:20;24] TERROR ATTACK AT THE BOSTON  
[000:00:22;00] MARATHON.  
[000:00:22;15] I'M SHEPARD SMITH.  
[000:00:23;04] A WHITE HOUSE SPOKESMAN  
[000:00:23;27] SAYS THE EXPLOSIONS IN  
[000:00:25;13] BOSTON ARE QUOTE:  CLEARLY  
[000:00:26;26] AN ACT OF TERROR.  
[000:00:28;07] NOW, FROM THAT SAME  
[000:00:30;26] SPOKESMAN TO LEARN WHETHER  
[000:00:31;28] THE PERPETRATORS ARE  
[000:00:33;03] DOMESTIC OR FOREIGN AND  
[000:00:34;02] WHETHER THOSE PERPETRATORS  
[000:00:35;18] ARE MEMBERS OF A TERRORIST  
[000:00:37;15] ORGANIZATION.  
[000:00:38;26] TO THOSE QUESTIONS AT THIS  
[000:00:39;27] MOMENT WE HAVE NO ANSWERS.  
[000:00:41;21] RIGHT NOW AWAITING ANOTHER  
[000:00:42;25] BRIEFING FROM OFFICIALS IN  
[000:00:44;04] BOSTON WITH THE LATEST  
[000:00:45;16] INFORMATION.  
[000:00:46;02] IT'S SCHEDULED TO BEGIN AT  
[000:00:46;25] THIS MOMENT.  
[000:00:47;12] WE WILL TAKE YOU THERE WHEN  
[000:00:48;12] IT DOES.  
[000:00:49;05] HERE'S WHAT WE KNOW RIGHT  
[000:00:50;06] NOW.  
[000:00:50;26] AT LEAST TWO PEOPLE ARE  
