[000:00:00;11] OF  
[000:00:01;14] INVULNERABILITY.  
[000:00:03;13] SERVICE.  
[000:00:03;27] THANK YOU FOR INVITING US  
[000:00:04;20] INTO YOUR HOME TONIGHT.  
[000:00:05;18] THAT'S IT FOR THIS "SPECIAL  
[000:00:06;19] REPORT," FAIR, BALANCED AND  
[000:00:08;26] UNAFRAID.  
[000:00:09;11] AS THE FBI CONTINUES THEIR  
[000:00:11;09] SEARCH FOR THESE TWO MEN.
[000:00:18;16] >> Bill: BREAKING NEWS NOW  
[000:00:20;05] AS I'M BILL HEMMER IN FOR  
[000:00:21;19] SHEPARD SMITH.  
[000:00:22;09] WE ARE WATCHING ENORMOUS  
[000:00:23;26] DEVELOPMENT IN A MARATHON  
[000:00:25;02] ATTACK ONLY TWO HOURS AGO  
[000:00:26;06] THE FBI RELEASING VIDEO OF  
[000:00:27;22] TWO SUSPECTS AT THE SCENE  
[000:00:29;26] OF MONDAY'S BOMBINGS AND  
[000:00:31;05] THEY CALLED THEM SUSPECTS.  
[000:00:32;21] THAT VIDEO SHOWS TWO MEN IN  
[000:00:34;04] BASEBALL CAPS.  
[000:00:35;13] WALKING DOWN BOYLSTON  
[000:00:36;27] STREET IN THE DIRECTION OF  
[000:00:37;20] THE MARATHON FINISH LINE.  
[000:00:39;03] THE FBI HAS NAMED THEM  
[000:00:40;27] SUSPECT ONE AND SUSPECT 2  
[000:00:43;18] SUSPECT 1 WEARING A DARK  
[000:00:44;27] HAT, SUSPECT 2 A WHITE HAT.  
[000:00:46;16] THEY ARE BOTH CARRYING  
[000:00:48;16] BAGS.  
[000:00:48;29] AND THE FBI SPECIAL AGENCY  
[000:00:50;23] IN CHARGE SAID THAT SUSPECT  
[000:00:53;21] 2 IN THE WHITE HAT SET DOWN  
[000:00:55;08] A BACKPACK AT THE SITE OF  
[000:00:56;23] THE SECOND EXPLOSION IN  
[000:00:57;29] FRONT OF THE FORUM  
[000:00:59;14] RESTAURANT AT 755 BOYLSTON  
[000:01:01;29] STREET.  
[000:01:02;13] BOTH SUSPECTS ARE PERHAPS  
[000:01:03;06] THE MOST WANTED MEN IN  
[000:01:04;06] AMERICA.  
[000:01:04;20] YOU WILL SEE THESE IMAGES  
[000:01:05;17] MANY TIMES IN THE COMING  
[000:01:07;12] HOURS.  
[000:01:07;25] AND DAYS UNTIL THESE MEN  
[000:01:08;23] ARE CAUGHT.  
[000:01:09;21] SO STUDY THEM CAREFULLY.  
[000:01:12;09] BECAUSE AS THE FBI PUT IT  
[000:01:13;18] TODAY, SOMEBODY KNOWS WHO  
[000:01:14;21] THESE GUYS ARE.  
[000:01:16;27] >> WE KNOW THE PUBLIC WILL  
[000:01:18;06] PLAY A CRITICAL ROLE IN  
[000:01:19;28] IDENTIFYING AND LOCATING  
[000:01:21;21] THESE INDIVIDUALS.  
[000:01:22;25] SOMEBODY OUT THERE KNOWS  
[000:01:24;17] THESE INDIVIDUALS AS  
[000:01:25;23] FRIENDS, NEIGHBORS  
[000:01:27;16] CO-WORKERS, OR FAMILY  
[000:01:28;08] MEMBERS OF THE SUSPECTS.  
[000:01:30;12] THOUGH IT MAY BE DIFFICULT  
[000:01:31;22] THE NATION IS COUNTING ON  
[000:01:33;04] THOSE WITH INFORMATION TO  
[000:01:34;06] COME FORWARD AND PROVIDE IT  
[000:01:35;12] TO US.  
[000:01:37;00] >> WELL, THE FBI CONSIDERS  
[000:01:38;23] BOTH MEN ARMED AND  
[000:01:40;03] EXTREMELY DANGEROUS.  
[000:01:40;26] IF YOU KNOW THEM OR SEE  
[000:01:42;13] THEM, YOU CAN LET THE FEDS  
[000:01:44;02] KNOW BY DIALING  
[000:01:47;19] 1-800-CALL-FBI.  
[000:01:48;07] ALSO ON ITS WEB SITE,  
[000:01:50;05] BOSTON MARATHON TIPS DOT  
[000:01:52;23] FBI.GOV.  
[000:01:53;07] WE HAVE TEAM FOX COVERAGE  
[000:01:55;08] WITH CATHERINE HERRIDGE  
[000:01:56;03] LIVE IN WASHINGTON.  
[000:01:56;25] BUT FIRST WANT TO GO TO  
[000:01:58;00] RICK LEVENTHAL LIVE IN  
[000:01:59;13] BOSTON.  
[000:01:59;27] RICK, I THINK IT SAYS AN  
[000:02:01;07] AWFUL LOT THAT THE FBI IS  
[000:02:02;20] RELEASING THESE IMAGES NOW.  
[000:02:03;29] GOOD EVENING.  
