[000:00:17;19] >>> FOX URGENT.  
[000:00:18;07] I'M HARRIS FAULKNER.  
[000:00:18;28] ON SEVERE WEATHER WATCH NOW AND  
[000:00:20;11] IT IS HITTING MUCH OF THE MID  
[000:00:22;20] SECTION OF THE COUNTRY.  
[000:00:24;02] EXTREMELY DANGEROUS TORNADO  
[000:00:25;09] CONDITIONS THERE.  
[000:00:26;01] WITH TOUCHDOWNS ALREADY  
[000:00:27;08] HAPPENING.  
[000:00:27;27] ON THE GROUND NEAR WICHITA.  
[000:00:29;24] IN OKLAHOMA, NEAR OKLAHOMA  
[000:00:31;23] CITY.  
[000:00:32;09] THE TWISTERS PART OF A VERY HE  
[000:00:33;15] STRONG AND AS YOU CAN SEE WIDE  
[000:00:37;18] SYSTEM MAKING ITS WAY THROUGH  
[000:00:39;00] THE NORTHERN AND CENTRAL PLAINS  
[000:00:40;05] RIGHT NOW.  
[000:00:41;16] THIS HAS BEEN COOKING UP FOR  
[000:00:43;08] THREE HOURS NOW AND WE ARE AT  
[000:00:45;20] THE PINNACLE OF THAT AND THE  
[000:00:46;29] THREAT ONLY EXPECTED TOEN  
[000:00:48;06] CREASE FROM THIS POINT OUT.  
[000:00:49;13] WE ARE AT THE TOP OF THE  
[000:00:51;02] HEATING OF THEIR DAY AND IT  
[000:00:52;27] GETS TOUGHER FROM HERE INTO THE  
[000:00:54;25] NIGHT UNTIL THINGS COOL DOWN.  
[000:00:56;20] AND THE SYSTEM EXPECTED TO  
[000:00:58;24] STRETCH INTO TOMORROW.  
[000:01:00;14] METEOROLOGIST JANICE DEAN IS IN  
[000:01:02;02] THE FOX WEATHER CENTER.  
[000:01:03;04] WE HE HAVE ONE THAT THEY ARE  
[000:01:04;22] WATCHING RIGHT NOW OUTSIDE OF  
[000:01:05;28] NORMAN OKLAHOMA.  
[000:01:06;27] WE BELIEVE A TOUCHDOWN  
[000:01:07;19] HAPPENING AS WE SPEAK.  
[000:01:10;21] >> YES, AND DAMAGE REPORTS  
[000:01:11;24] UNFORTUNATELY, HARRIS.  
[000:01:12;22] I CHECKED THE NATIONAL WEATHER  
[000:01:14;25] SERVICE AND NORMAN OKLAHOMA IS  
[000:01:16;08] WHERE THE STORM PREDICTION  
[000:01:17;18] CENTER IS.  
[000:01:18;17] THEY KNOW TORNADOES.  
[000:01:20;02] UNFORTUNATELY, WE ARE SEEING  
[000:01:21;09] DAMAGE IN AND AROUND OKLAHOMA  
[000:01:22;23] CITY NORMAN, OKLAHOMA UP  
[000:01:24;15] THROUGH KANSAS AND WICHITA AND  
[000:01:25;22] THEN COULD HAVE STRAIGHTLINE  
[000:01:27;02] DAMAGING WINDS MOVING THROUGH  
[000:01:28;09] THE KANSAS CITY AREA.  
[000:01:29;20] JUST WANT TO POINT OUT WHERE WE  
[000:01:32;11] HAVE TORNADO WATCHES EXTENDING  
[000:01:33;25] THROUGH OKLAHOMA AND KANSAS UP  
[000:01:36;05] TOWARDS IOWA AND MINNESOTA FOR  
[000:01:37;07] THE NEXT SEVERAL HOURS AND  
[000:01:38;19] UNFORTUNATELY THIS KIND OF  
[000:01:39;21] SCENARIO IS GOING TO KIN INTO  
[000:01:42;02] THE OVERNIGHT -- CONTINUE INTO  
[000:01:43;18] THE OVERNIGHT AND INTO  
[000:01:44;23] TOMORROW.  
[000:01:45;11] NORMAN OKLAHOMA.  
