[000:00:05;17] [SOBBING]
[000:00:16;24] >> Shepard: THIS IS THE FOX  
[000:00:20;09] REPORT.  
[000:00:20;23] I'M SHEPARD SMITH THE DAY  
[000:00:21;19] AFTER THE STORM IN THE  
[000:00:22;18] MIDDLE OF NEIGHBORHOOD  
[000:00:24;08] KINGS MANOR AND TELEPHONE  
[000:00:25;15] ROAD PICKING UP THE PIECES  
[000:00:27;04] SEARCHING FOR SURVIVORS.  
[000:00:28;18] TEAM FOX COVERAGE BEGINS  
[000:00:29;15] NOW.  
[000:00:37;06] >> Shepard: LIVE NOW  
[000:00:38;08] MOORE, OKLAHOMA, A SUBURB  
[000:00:40;20] OF OKLAHOMA CITY AND  
[000:00:41;17] COMMUNITY IN AMERICA'S  
[000:00:42;20] HEARTLAND THAT IS RIGHT NOW  
[000:00:43;15] DEALING WITH A DISASTER ON  
[000:00:45;25] UNMANAGEABLE SCALE.  
[000:00:48;01] TONIGHT SEARCH CREWS AND  
[000:00:52;07] SEARCH LOOKING FOR SOMEONE  
[000:00:54;03] BURIED ALIVE ONE DAY AFTER  
[000:00:55;26] THE TORNADO SCRAPED THE  
[000:00:57;11] LANDSCAPE RAW.  
[000:00:58;11] THREE HOURS AGO THE  
[000:00:59;20] NATIONAL WEATHER SERVICE  
[000:01:00;13] CONFIRMED WHAT MANY OF US  
[000:01:01;07] SUSPECTED THE TORNADO THAT  
[000:01:02;01] HIT THIS CITY AND THIS AREA  
[000:01:03;20] WAS AN EF-56789 THE TOP  
[000:01:05;20] LEVEL POSSIBLE.  
[000:01:06;12] THAT MEANS IT CARRIED WINDS  
[000:01:07;21] IN EXCESS OF 200 MILES PER  
[000:01:09;16] HOUR.  
[000:01:10;18] AND YOU CAN SEE WHAT THOSE  
[000:01:13;03] WINDS DID.  
[000:01:15;11] BLOCK AFTER BLOCK AFTER  
[000:01:17;04] BLOCK.  
[000:01:17;21] HOMES HERE GONE, SHREDDED,  
[000:01:19;20] CRUSHED WALLS AND  
[000:01:21;16] FURNITURE.  
[000:01:22;01] PHOTOGRAPHS.  
[000:01:22;17] ALL THE ORDINARY EFFECTS OF  
[000:01:23;12] EVERY DAY LIFE TURN TO  
[000:01:24;22] PIECES AND SCATTERED IN THE  
[000:01:27;04] WIND AFTER A COLUMN OF  
[000:01:29;08] DESTRUCTION DROPPED FROM  
[000:01:30;01] THE SKY AND CHEWED A  
[000:01:33;05] 17-MILE PATH ACROSS THIS  
[000:01:34;01] CITY AND REGION.  
[000:01:35;20] THE FIRE CHIEF HERE SAYS HE  
[000:01:37;22] IS 98% SURE THAT TEAMS FROM  
[000:01:39;18] ALREADY FOUND ALL THE  
[000:01:40;14] SURVIVORS AND VICTIMS.  
[000:01:41;07] HE SAID THEY ARE GOING TO  
[000:01:42;06] HIT THE STREETS SEARCH THE  
[000:01:43;22] ENTIRE COMMUNITY AT LEAST  
[000:01:46;08] TWICE MORE, JUST TO BE  
[000:01:47;18] SURE.  
[000:01:48;01] AND OKLAHOMA'S GOVERNOR  
[000:01:49;10] SAYING TODAY SHE STILL  
[000:01:51;02] DOESN'T KNOW HOW MANY  
[000:01:51;25] PEOPLE ARE LISTED AS  
[000:01:53;02] MISSING.  
[000:01:53;16] >> WE KNOW THAT THERE ARE  
[000:01:56;09] PEOPLE AND BODIES THAT HAVE  
[000:01:57;08] BEEN TAKEN TO THE MEDICAL  
[000:01:59;09] EXAMINER'S OFFICE, BUT WE  
[000:02:01;00] HAVE ALSO HEARD THAT THERE  
[000:02:03;03] MAY BE BODIES THAT HAVE  
[000:02:04;06] BEEN TAKEN TO LOCAL FUNERAL  
[000:02:05;26] HOMES.  
[000:02:06;09] AND SO, WE ARE WORKING REAL  
[000:02:08;04] HARD RIGHT NOW TO TRY TO  
[000:02:09;10] GET A MORE ACCURATE COUNT  
[000:02:10;22] OF THE LOSS OF LIFE AND WE  
[000:02:12;15] HOPE TO HAVE BETTER NUMBERS  
[000:02:14;06] ON THAT.  
[000:02:15;23] >> Shepard: RIGHT NOW THE  
[000:02:16;24] MEDICAL EXAMINER SAYS AT  
[000:02:18;04] LEAST 24 PEOPLE ARE  
[000:02:19;03] CONFIRMED DEAD.  
[000:02:19;23] NINE OF THOSE CHILDREN.  
[000:02:21;11] HOSPITAL WORKERS ALSO SAY  
[000:02:22;04] THEY HAVE TREATED MORE THAN  
[000:02:23;21] 200 PEOPLE SO FAR.  
[000:02:24;26] MORE THAN 70 THEM KIDS.  
[000:02:26;21] RIGHT NOW I AM STANDING  
[000:02:28;17] NEAR WHAT USED TO BE A  
[000:02:30;14] BOWLING ALLEY RIGHT BEHIND  
[000:02:31;16] ME.  
[000:02:32;02] ABOUT A HALF MILE EAST OF  
[000:02:33;14] PLAZA TOWERS ELEMENTARY  
[000:02:35;02] SCHOOL.  
[000:02:35;16] BEFORE AND AFTER IMAGES  
[000:02:37;23] SHOW DESTRUCTION AT THAT  
[000:02:38;21] SCHOOL WHERE SEVEN CHILDREN  
[000:02:40;05] DIED.  
[000:02:40;18] AND WHERE RESCUERS FOUND  
[000:02:41;25] OTHERS STILL ALIVE.  
[000:02:43;02] WE HAVE AN IMAGE OF ONE  
[000:02:45;27] CHILD WHO PHOTOGRAPHER SAYS  
[000:02:46;26] WAS CALLING OUT FOR HIS  
[000:02:47;29] FATHER AS MEN PULLED HIM  
[000:02:49;07] FROM THE SHATTERED CONCRETE  
[000:02:50;11] OF THAT SCHOOL.  
[000:02:51;21] AND WE HAVE ALSO HEARD FROM  
[000:02:53;12] A GRANDFATHER WHOSE  
[000:02:54;16] DAUGHTER AND CHILDREN AS  
[000:02:57;12] PLAZA TOWERS ELEMENTARY.  
[000:02:58;15] SHE WENT TO GET THEM BEFORE  
[000:02:59;18] THE TORNADO HIT.  
[000:03:00;20] MAYBE SAVE THEIR LIVES.  
[000:03:03;01] >> I DON'T KNOW WHAT I  
[000:03:03;25] WOULD HAVE DONE IF I HAD  
[000:03:04;29] LOST MY GRAND KIDS.  
[000:03:10;28] SO I'M PROUD OF HER FOR  
[000:03:13;20] BEING SMART.  
[000:03:14;09] SHE DID THE RIGHT THING.  
[000:03:15;24] >> Shepard: OTHERS WHO  
[000:03:16;15] SURVIVED THIS TORNADO ARE  
[000:03:17;16] DESCRIBING WHAT IT WAS LIKE  
[000:03:18;12] WHEN IT HIT.  
[000:03:19;08] WHEN THE WIND STARTED  
[000:03:21;01] BLASTING IN THEIR  
[000:03:21;26] DIRECTION.  
[000:03:26;03] [SIREN]  
[000:03:26;17] >> A LOT OF RUMBLING.  
[000:03:27;16] THE THING THAT GOT ME IS  
[000:03:28;23] WHEN THINGS STARTED HITTING  
[000:03:29;21] THE HOUSE HARD ENOUGH TO  
[000:03:30;20] SHAKE THE HOUSE.  
[000:03:31;09] >> WE WENT UNDER A BRIDGE  
[000:03:33;01] AND TOOK COVER UNDER THE  
[000:03:34;14] BRIDGE.  
[000:03:34;29] WE HEARD THE STORM.  
[000:03:36;11] IT WENT RIGHT OVER US AND  
[000:03:37;28] FELT THE DEBRIS.  
[000:03:38;20] HE GOT HIT WITH SOME ROCKS  
[000:03:39;29] AND STUFF.  
[000:03:41;01] BUT, IT WAS SCARIEST THING  
[000:03:43;18] THAT I HAVE EVER WENT  
[000:03:44;29] THROUGH.  
[000:03:45;13] >> IT LOOKED LIKE A WAR  
[000:03:46;12] ZONE.  
[000:03:46;25] IT JUST LOOKED LIKE BOMBS  
[000:03:48;24] HAD BEEN IGNITED  
[000:03:50;08] EVERYWHERE.  
[000:03:50;24] IT WAS -- THERE IS A CAR  
[000:03:52;05] PART IN MY BEDROOM YOU  
[000:03:55;09] KNOW.  
[000:03:55;22] EVERYTHING IS GONE, YOU  
[000:03:57;09] KNOW.  
[000:03:57;22] JUST IN A MATTER OF 30  
[000:03:59;03] MINUTES YOUR WHOLE LIFE IS  
[000:04:01;18] TORN UPSIDE DOWN.  
[000:04:02;25] >> Shepard: A LOT OF PEOPLE  
[000:04:03;20] IN THAT SAME SITUATION.  
