[000:00:00;600] SUNDAY.
[000:00:17;183] >> Harris: I'M HARRIS
[000:00:19;652] FAULKNER, AN AMERICAN HAS
[000:00:21;021] COME OUT SHADOWS TO TELL
[000:00:24;090] THE WORLD HE IS RESPONSIBLE
[000:00:28;495] FOR LEAKING THAT GOVERNMENT
[000:00:32;465] IS SNOOPING ON US.
[000:00:34;134] ADMITTED LEAKER IS ON
[000:00:35;368] RECORD ON AND ON CAMERA
[000:00:37;404] INTERVIEW TELLING THE
[000:00:38;438] GUARDIAN NEWSPAPER HE WAS
[000:00:39;205] PART OF FED'S POWERFUL GRAB
[000:00:42;008] OF CELLPHONE RECORDS FROM
[000:00:43;810] EVERYDAY AMERICAN CITIZENS,
[000:00:45;912] HIS NAME IS EDWARD SNOWDEN
[000:00:48;381] AND HE TALKS ABOUT THE
[000:00:49;849] SNOOPING IN DETAIL.
[000:00:50;650] HE WAS ALARMED AT THE RATE
[000:00:53;953] IT'S GROWN AND EVENTUALLY
[000:00:55;188] HARM EVEN INNOCENT
[000:00:56;589] AMERICANS.
[000:00:57;357] THE FOLLOWING VIDEOS IS
[000:01:00;093] COURTESY OF THE GUARDIAN.
[000:01:05;098] GLENN GREENWALD AND ANOTHER
[000:01:07;700] REPORTER.
[000:01:08;068] >> EVEN IF YOU DO AREN'T
[000:01:10;437] DOING ANYTHING WRONG YOU
[000:01:11;671] ARE BEING WATCHED AND THE
[000:01:13;807] STORAGE CAP BILLS INCREASE
[000:01:15;842] OVER YEAR BY ORDER OF THE
[000:01:18;044] MAGNITUDE TO GETTING TO THE
[000:01:19;279] POINT YOU DON'T HAVE TO
[000:01:20;647] HAVE DONE ANYTHING WRONG.
[000:01:21;915] YOU SIMPLY TO HAVE
[000:01:23;583] EVENTUALLY FALL UNDER
[000:01:25;718] SUSPICION EVEN BY A WRONG
[000:01:26;653] CALL.
[000:01:27;220] THEN THEY CAN USE THE
[000:01:28;588] SYSTEM TO GO BACK IN TIME
[000:01:30;557] AND SCRUTINIZE EVERY
[000:01:32;358] DECISION YOU EVER MADE.
[000:01:33;893] >> Harris: HE SAYS HE HAS
[000:01:35;161] BEEN THE SOURCE FOR THE
