[000:00:01;468] "FOX NEWS SUNDAY."
[000:00:20;553] >>> WE ARE LIVE AT FOX REPORT.
[000:00:23;723] AMERICAN WAR SHIPS SITTING NOT
[000:00:25;392] FAR FROM SYRIA.
[000:00:26;926] HERE IS WHAT WE KNOW.
[000:00:30;096] THERE'S LITTLE DOUBT SYRIA IS
[000:00:31;798] USING CHEMICAL WEAPONS ON ITS
[000:00:33;700] OWN PEOPLE, FROM A SENIOR OBAMA
[000:00:40;974] ADMINISTRATION OFFICIAL.
[000:00:42;075] IS IT TIME TO FIRE AWAY?
[000:00:56;823] >> I CERTAINLY WOULD DO CRUISE
[000:00:58;758] MISSILE STRIKES.
[000:00:59;459] I THINK YOU CAN DO THAT WITHOUT
[000:01:01;828] BOOTS ON THE GROUND, WITHOUT
[000:01:03;430] HAVING AMERICANS IN HARM'S WAY.
[000:01:06;900] >> IF THE MILITARY ADVISES, THIS
[000:01:11;871] COULD DESTROY THE CHEMICAL
[000:01:13;339] WEAPON STOCKPILE, I WOULD
[000:01:14;574] SUPPORT THAT.
[000:01:15;175] >> FOX REPORT, THE LATEST
[000:01:17;043] RESPONSE HERE AND OVERSEAS TO
[000:01:18;578] NEW TALKS OF MILITARY
[000:01:20;814] INTERVENTION AGAINST THE ASSAD
[000:01:25;351] REGIME.
[000:01:25;952] ALSO BUGGING, THE UNITED
[000:01:28;521] NATIONS?
[000:01:28;855] A NEW REPORT SAYS AMERICA'S SPY
[000:01:31;825] AGENCY, THE NSA, TARGETED U.N.
[000:01:34;894] HEADQUARTERS.
[000:01:35;328] IN MINUTES, WHAT THE LATEST
[000:01:37;097] ALLEGATIONS AGAINST THE NSA
[000:01:38;364] COULD MEAN FOR WASHINGTON AND
[000:01:43;470] OUR ALLIES.
[000:01:44;904] AND WHEN YOU RUN WITH THE BULLS,
[000:01:46;706] YOU WANT TO DODGE THE HORNS.
[000:01:49;542] BUT THERE'S ANOTHER DANGER
[000:01:51;010] LURKING IN AMERICA'S NEWEST PAST
[000:01:53;379] TIME, THE DRONES OVER THE SAND.
[000:01:55;849] NO REALLY, YOU HAVE TO WATCH OUT
[000:01:57;684] FOR THOSE, TOO, APPARENTLY.
[000:02:01;221] I AM HARRIS FAULKNER.
[000:02:02;689] THE POPE, LEADER OF ONE BILLION
[000:02:05;625] CATHOLICS AROUND THE WORLD HAS
[000:02:07;193] SPOKEN ABOUT SYRIA.
[000:02:08;528] AS YOU KNOW, WORLD GOVERNMENTS,
[000:02:09;929] INCLUDING OUR OWN, ARE PONDERING
[000:02:12;565] WHAT TO DO ABOUT THE CIVIL WAR
[000:02:14;300] IN SYRIA CREATING MILLIONS OF
[000:02:16;603] REFUGEES, PUTTING PRESSURE ON
[000:02:18;404] NEIGHBORING MUSLIM COUNTRIES AND
[000:02:20;073] POTENTIALLY PUNCHING HOLES IN AN
[000:02:22;642] ALREADY FRAGILE IMBALANCE THERE.
[000:02:24;511] IT COULD BE THE OPENING FOR
[000:02:25;678] TERRORISTS TO CAPITALIZE ON THE
[000:02:27;113] CHAOS IN SYRIA.
[000:02:29;015] ASIDE FROM THE WRANGLING BY THE
[000:02:30;550] POLITICIANS AND DIPLOMATS,
[000:02:32;285] TODAY, POPE FRANCIS CALLED FOR
[000:02:34;354] ACTION, URGING THE INTERNATIONAL
