[000:00:00;09] [ LAUGHTER ]  
[000:00:02;22] WHO IS YOUR DADDY?  
[000:00:07;02] >> Bret: CAPTIVE AUDIENCE.  
[000:00:07;25] THANKS FOR INVITING US INTO  
[000:00:08;25] YOUR HOME TONIGHT.  
[000:00:09;16] THAT'S IT FOR THIS "SPECIAL  
[000:00:10;22] REPORT," FAIR, BALANCED AND  
[000:00:13;21] UNAFRAID.  
[000:00:14;06] BING PULSE TOMORROW NIGHT.  
[000:00:15;26] NOT FRIDAY.
[000:00:18;13] >> THE PRESIDENT RETAINS  
[000:00:20;06] ALL OPTIONS AVAILABLE TO  
[000:00:21;05] HIM.  
[000:00:25;00] THE PENTAGON SAYS IT'S  
[000:00:26;03] READY TO GO.  
[000:00:27;04] WHENEVER PRESIDENT OBAMA  
[000:00:27;26] GIVES THE ORDER.  
[000:00:30;03] BUT SYRIA WARNS IT WILL  
[000:00:33;24] STRIKE BACK WITH EVERYTHING  
[000:00:37;22] IT'S GOT.  
[000:00:45;01] PLUS,.  
[000:00:45;14] >> SHOT MY BABY.  
[000:00:47;17] >> Bill: THE MOTHER WHO  
[000:00:48;09] SAYS SHE WATCHED THE GUNMAN  
[000:00:49;21] SHOOT HER BABY IN THE FACE  
[000:00:50;22] TAKES THE STAND.  
[000:00:51;12] >> I PUT MY ARMS OVER MY  
[000:00:53;11] BABY BUT HE STILL SHOT HIM.  
[000:00:56;03] >> Bill: AHEAD, THE  
[000:00:56;27] EMOTIONAL DAY IN COURT.  
[000:01:03;24] [CHEERS]  
[000:01:04;08] >> HER MOTHER CALLS IT A  
[000:01:08;27] MIRACLE WELCOME HOME, SARA.  
[000:01:11;21] >> THE LITTLE GIRL WHOSE  
[000:01:14;14] FAMILY FOUGHT FOR A A LIFE  
[000:01:17;12] SAVING LUNG TRANSPLANT  
[000:01:19;05] FINALLY GOES HOME.  
[000:01:21;09] >> Bill: I'M BILL HEMMER IN  
[000:01:22;10] TONIGHT FOR SHEPARD SMITH.  
[000:01:23;14] A U.S. MILITARY IS READY TO  
[000:01:25;12] GO IF PRESIDENT OBAMA GIVES  
[000:01:26;08] THE ORDER FOR A STRIKE  
[000:01:27;12] AGAINST SYRIA.  
[000:01:27;29] THAT'S WHAT DEFENSE  
[000:01:29;11] SECRETARY CHUCK HAGEL SAID  
[000:01:30;19] TODAY.  
[000:01:31;12] AND UNU.S. OFFICIAL TELLING  
[000:01:32;06] FOX NEWS, IT IS NOT A  
[000:01:33;02] MATTER OF IF, BUT WHEN.  
[000:01:44;00] THE WHITE HOUSE PLANS TO  
[000:01:46;21] SHOW SYRIAN GOVERNMENT WAS  
[000:01:47;14] BEHIND THE ATTACK.  
[000:01:49;09] KILLED INNOCENT CHILDREN.  
[000:01:50;25] JOE BIDEN SAID THERE IS NO  
[000:01:52;06] DOUBT WHO IS TO BLAME.  
[000:01:53;03] >> THE SYRIAN REGIME THE  
[000:01:54;23] ONLY ONES WHO HAVE THE  
[000:01:56;26] WEAPONS.  
[000:01:57;28] HAVE USED CHEMICAL WEAPONS  
[000:01:59;23] MULTIPLE TIMES IN THE PAST.  
[000:02:02;07] HAVE THE MEANS OF  
[000:02:03;28] DELIVERING THOSE WEAPONS.  
[000:02:06;06] HAVE BEEN DETERMINED TO  
[000:02:08;21] WIPE OUT EXACTLY THE PLACES  
[000:02:10;27] THAT WERE ATTACKED  
[000:02:12;27] BIOCHEMICAL WEAPONS.  
[000:02:14;21] >> Bill: THE WHITE HOUSE  
[000:02:15;13] SAYING THERE MUST BE A  
[000:02:16;29] RESPONSE TO LAST WEEK'S  
[000:02:18;16] ATTACK.  
[000:02:19;00] PRESIDENT OBAMA IS STILL  
[000:02:19;22] DECIDING WHAT THAT RESPONSE  
[000:02:20;27] WILL BE.  
[000:02:22;06] WE HAVE TEAM FOX COVERAGE,  
[000:02:24;03] JONATHAN HUNT LIVE HERE IN  
[000:02:24;27] NEW YORK WITH WITH A LOOK  
[000:02:26;03] AT THE OTHER COUNTRIES  
[000:02:27;05] CALLING FOR ACTION.  
[000:02:27;28] BUT FIRST TO JENNIFER  
[000:02:29;05] GRIFFIN LIVE AT THE  
[000:02:30;02] PENTAGON WITH US THIS  
[000:02:31;06] EVENING.  
[000:02:31;21] JENNIFER, GOOD EVENING TO  
[000:02:32;16] YOU.  
[000:02:32;28] WHAT WOULD A U.S. MILITARY  
[000:02:34;27] STRIKE LOOK LIKES A IT  
[000:02:35;29] STANDS NOW?  
[000:02:37;00] >> BILL, A SENIOR U.S.  
