[000:00:00;183] GETTING WORK DONE.
[000:00:02;719] ERIC: IT'S A THREE-YEAR PROJECT
[000:00:05;221] TO REFURBISH THE TOWER.
[000:00:09;426] IT WILL COST ABOUT $42 MILLION
[000:00:10;960] WILL TAKE HALF A YEAR JUST TO
[000:00:11;861] PUT UP THE SCAFFOLDING.
[000:00:12;462] THE CLOCK WILL BE STOPPED FOR
[000:00:13;697] THREE MONTHS TO DO THE
[000:00:14;264] MAINTENANCE.
[000:00:15;765] ARTHEL: JULIA'S UP NEXT.
[000:00:18;535] JULIE: PRESIDENT TRUMP
[000:00:19;102] REPORTEDLY TRYING TO SMOOTH
[000:00:21;304] THINGS OVER A MONTH THE
[000:00:24;441] HIGH-LEVEL PEOPLE IN HIS OFFICE
[000:00:25;742] IN THE TURMOIL.
[000:00:28;044] AS THE PRESIDENT AND HIS
[000:00:30;280] ADVISERS -- I'M JULIE BANDERAS
[000:00:34;484] AND THIS IS "THE FOX REPORT".
[000:00:38;121] AMERICAN TOMAHAWK MISSILES
[000:00:39;422] NEARLY LEVELING A SYRIAN AIRBASE
[000:00:42;459] HANGER.
[000:00:43;993] >> DEMOLISHED AND RUNWAYS DAMAGE
[000:00:46;362] THE SYRIAN FORCES ARE LASHING
[000:00:47;764] OUT AT REBEL TARGETS.
[000:00:51;601] WHAT IS THE NEXT STEP FOR THE
[000:00:52;302] TRUMP ADMINISTRATION IS THE
[000:00:53;470] GLOBAL REACTION POURS IN?
[000:00:55;038] THE MAN WHO KILLED OSAMA BIN
[000:00:57;607] LADEN SAYS DIPLOMACY MUST BE A
[000:01:00;243] FACTOR.
[000:01:02;645] >> THEIR PEOPLE AT THE PENTAGON
[000:01:04;380] PLANNING THIS SINCE 2003.
[000:01:08;184] THE PLAN WILL BE THERE BUT AGAIN
[000:01:10;086] IT'S NOT GOING TO BE WAR COME IS
[000:01:10;820] GOING TO BE DIPLOMACY.
[000:01:11;387] JULIE: WE HAVE TO "FOX NEWS"
[000:01:12;622] TEAM COVERAGE.
[000:01:17;627] WE BEGIN WITH KRISTIN FISHER WHO
[000:01:18;561] IS TRAVELING WITH THE PRESIDENT
[000:01:19;963] THIS WEEKEND AT MAR-A-LAGO IN
[000:01:21;798] FLORIDA AND KRISTIN IT'S BEEN
[000:01:23;800] OVER 48 HOURS SINCE HE TOOK HIS
[000:01:25;368] VERY FIRST BIG MILITARY ACTION
[000:01:28;238] AS PRESIDENT.
[000:01:29;005] ANY INDICATION OF HOW HE'S DOING
[000:01:30;340] TONIGHT?
[000:01:33;076] >> BY ALL ACCOUNTS PRESIDENT
[000:01:33;743] TRUMP'S VERY PLEASED THAT HIS
[000:01:34;844] DECISION TO STRIKE AND WITH HOW
[000:01:38;014] IT'S PLAYING OUT.
[000:01:38;515] HIS DECISION TO STRIKE HAS
[000:01:39;883] RECEIVED WIDESPREAD PRAISE FROM
[000:01:41;518] OUR ALLIES IN THE REGION.
[000:01:46;923] THE SAUDI TEAM CALLED A
[000:01:48;158] COURAGEOUS ACT AND SPRAYS BY
[000:01:49;659] REPUBLICANS AND DEMOCRATS ON
[000:01:50;460] CAPITOL HILL.
[000:01:51;861] THE ONE AREA WHERE PRESIDENT
[000:01:52;695] TRUMP HAS RECEIVED CRITICISM
[000:01:54;063] THAT WAS HIS DECISION TO ACT
[000:01:56;299] WITHOUT FIRST SEEKING
[000:01:58;701] CONGRESSIONAL APPROVAL BUT EVEN
[000:01:59;435] ON THAT PRESIDENT TRUMP DEFENDED
[000:02:00;170] THAT DECISION TODAY IN A LETTER
[000:02:00;904] TO CONGRESS.
[000:02:01;704] HE WROTE THAT I ACTED IN THE
[000:02:06;476] VITAL NATIONAL SECURITY AND
[000:02:07;143] FOREIGN-POLICY INTERESTS OF THE
[000:02:07;877] UNITED STATES PURSUANT TO MY
[000:02:08;745] CONSTITUTIONAL AUTHORITY TO
[000:02:12;482] CONDUCT FOREIGN RELATIONS AND AS
[000:02:13;216] THE COMMANDER IN CHIEF AND CHIEF
[000:02:13;950] EXECUTIVE.
[000:02:14;784] THE U.S. WILL TAKE ADDITIONAL
[000:02:16;419] ACTION AS NECESSARY AND
[000:02:17;921] APPROPRIATE TO FURTHER ITS
[000:02:19;322] IMPORTANT NATIONAL INTERESTS.
[000:02:21;925] THE TWO BIG TAKEAWAYS THERE ARE
