[000:00:01;668] ARTICLES ABOUT MOMS.
[000:00:02;736] LET'S GIVE OURSELVES THE
[000:00:04;170] ULTIMATE IN LUXE ARE YOU GIFTS
[000:00:06;106] THE BREAK.
[000:00:06;706] GIVE EVERY MOTHER YOU KNOW A
[000:00:08;041] BREAK AS WELL, TOO.
[000:00:09;342] WE TRY TOO HARD, DRIVE OURSELVES
[000:00:11;211] SO HARD AND EXPECT SO MUCH.
[000:00:13;146] ENJOY THE LOVE AROUND YOU.
[000:00:15;715] HERE'S SHEPARD SMITH.
[000:00:16;282] >> Shepard: IT'S NOON ON THE
[000:00:17;384] WEST COAST.
[000:00:18;251] 3:00 AT THE WHITE HOUSE WHERE
[000:00:20;120] THE PRESIDENT OF THE UNITED
[000:00:21;087] STATES IS WARNING HIS FIRED FBI
[000:00:23;523] DIRECTOR AGAINST LEAKING TO THE
[000:00:25;025] MEDIA AND SUGGESTING THERE MAY
[000:00:26;659] BE TAPES OF THEIR CONVERSATIONS.
[000:00:28;595] MINUTES AGO, WE HEARD FROM THE
[000:00:30;063] WHITE HOUSE SPOKESMAN ON THAT
[000:00:31;498] LIVE ON TELEVISION, WHICH IS
[000:00:33;566] INTERESTING CONSIDERING THE
[000:00:35;001] PRESIDENT FLOATING THE IDEA OF
[000:00:37;837] CANCELLING PRESS BRIEFINGS
[000:00:39;439] BECAUSE IT'S NOT POSSIBLE FOR
[000:00:40;440] HIS PEOPLE TO BE TOTALLY
[000:00:42;742] ACCURATE.
[000:00:43;109] AND THE LAWYERS HAVE SAID
[000:00:44;344] THEY'VE GONE THROUGH THE TAX
[000:00:46;146] RETURNS AND HE HASN'T MADE MONEY
[000:00:48;214] FROM RUSSIAN SOURCES WITH A FEW
[000:00:53;319] EXCEPTIONS.
[000:00:53;720] AND VLADIMIR PUTIN SAYS HE CAN
[000:00:57;524] HELP REDUCE KIM JONG-UN'S
[000:00:59;526] NUCLEAR THREAT.
[000:01:00;427] LET'S GET TO IT.
[000:01:06;533] >> FIRST FROM THE FOX NEWS DECK
[000:01:07;901] THIS FRIDAY AFTERNOON, THE WHITE
[000:01:09;069] HOUSE IS REFUSING TO SAY WHETHER
[000:01:10;937] PRESIDENT TRUMP RECORDED
[000:01:12;439] CONVERSATIONS WITH THE FORMER
[000:01:15;108] FBI DIRECTOR, JAMES COMEY.
[000:01:17;877] THAT'S AFTER HE SENT THIS TWEET.
[000:01:22;282] THAT LED TO THIS EXCHANGE IN
[000:01:24;517] TODAY'S WHITE HOUSE BRIEFING.
[000:01:27;587] >> DID PRESIDENT TRUMP RECORD
[000:01:31;024] HIS CONVERSATIONS WITH JAMES
[000:01:32;792] COMEY?
[000:01:33;093] >> I ASSUME YOU'RE REFERRING TO
[000:01:35;862] THE TWEET.
[000:01:37;163] THE PRESIDENT SAID HE HAS
[000:01:38;064] NOTHING FURTHER ON THAT.
[000:01:39;032] >> WHY DID HE TWEET THAT?
[000:01:40;934] WHAT SHOULD WE INTERPRET FROM
[000:01:42;969] THAT?
[000:01:43;269] >> THE PRESIDENT HAS NOTHING
[000:01:44;337] FURTHER TO ADD.
[000:01:44;938] >> ARE THERE RECORDING DEVICES
[000:01:46;439] IN THE OVAL OFFICE OR THE
[000:01:48;241] RESIDENCE?
[000:01:48;608] >> THERE'S NOTHING FURTHER TO
[000:01:51;444] ADD ON THAT.
[000:01:52;245] >> DID HE THREATEN MR. COMEYTO ?
[000:01:56;082] >> IT'S NOT A THREAT.
[000:01:57;684] THE TWEET SPEAKS FOR ITSELF.
[000:01:59;719] I'M MOVING ON.
