[000:00:01;334] JOINING US.
[000:00:05;605] ARTHEL: WE KNOW YOU HAVE CHOICES
[000:00:06;473] AND ARE THANKFUL YOU SPEND YOUR
[000:00:07;207] TIME WITH US ON THE FOX NEWS
[000:00:08;108] CHANNEL.
[000:00:09;509] THE FOX NEWS REPORT IS UP NEXT.
[000:00:13;947] LAURA INGLE IS IN FOR HARRIS
[000:00:17;350] FAULKNER.
[000:00:18;918] >> THE TRUMP ADMINISTRATION
[000:00:21;988] FACING CHALLENGES AT HOME AND
[000:00:22;756] ABROAD AS IT RAMPS UP THE SEARCH
[000:00:26;893] FOR THE NEXT FBI DIRECTOR AND
[000:00:29;095] RESPONSE ON THE LATEST NORTH
[000:00:31;631] KOREAN MISSILE LAUNCH.
[000:00:36;269] THIS IS THE FOX REPORT.
[000:00:38;972] THE WHITE HOUSE IS RESPONDING TO
[000:00:40;306] THE LATEST PROVOCATION FROM
[000:00:46;880] NORTH KOREA.
[000:00:48;048] IT CAME JUST A DAY AFTER A
[000:00:48;681] SENIOR NORTH KOREAN DIPLOMAT
[000:00:49;349] SAID THEY WOULD ENGAGE IN TALK
[000:00:50;050] WITH THE U.S.
[000:00:50;550] MEANWHILE, THE ADMINISTRATION
[000:00:53;887] WASTING NO TIME ON THE SEARCH
[000:00:55;889] FOR A NEW FBI DIRECTOR.
[000:00:56;890] THEY ARE WEIGHING IN ON MORE
[000:00:59;092] THAN A DOZEN CANDIDATES AND
[000:00:59;826] INTERVIEWING AT LEAST EIGHT OF
[000:01:02;629] THEM THIS WEEKEND.
[000:01:03;530] PRESIDENT TRUMP SAID WE COULD
[000:01:05;231] HAVE AN APPOINTMENT BY FRIDAY
[000:01:07;367] BEFORE HEADING ON HIS FIRST
[000:01:08;735] FOREIGN TRIP AS PRESIDENT.
[000:01:10;503] THIS IS HAPPENING AS THE
[000:01:12;238] ADMINISTRATION IS TRYING TO PUT
[000:01:15;008] OUT A FIRE STORM AFTER JAMES
[000:01:17;510] COMAY'S OUSTING.
[000:01:19;646] WHITE HOUSE COUNSELOR KELLYANNE
[000:01:22;749] CONWAY SAID THAT IS NOT THE CA
[000:01:30;423] CASE.
[000:01:30;790] >> INDEPENDENT OF THAT, HIS
[000:01:31;458] DEPUTY ATTORNEY GENERAL WHO
[000:01:32;125] OVERSEES THE FBI, THAT'S HIS
[000:01:32;792] JOB, HE CAME TO THAT CONCLUSION
[000:01:33;626] ON HIS OWN AND MADE THE
[000:01:34;227] RECOMMENDATION.
[000:01:36;362] NOW, I WOULD ALSO POINT OUT THAT
[000:01:40;200] EVERYONE IS SAYING JAMES COMEY
[000:01:40;900] WAS INVESTIGATING.
[000:01:42;602] NO, HE WASN'T.
[000:01:43;136] THE FBI WAS INVESTIGATING AND
[000:01:44;504] THEY WILL CONTINUE TO
[000:01:45;872] INVESTIGATE.
