[000:00:00;650] TRUMP.
[000:00:01;251] WE'LL HAVE THAT AND ALL SORTS OF
[000:00:02;752] NEW THINGS ON "THE DAILY BRIEFS"
[000:00:04;287] TOMORROW.
[000:00:05;488] THANKS FOR JOINING US.
[000:00:13;830] >> Shepard: IT'S 3:00 ON THE
[000:00:16;266] EAST COAST.
[000:00:17;167] NOON IN LAS VEGAS.
[000:00:17;901] PRESIDENT TRUMP IS MEETING WITH
[000:00:18;802] SOME OF THE HEROS OF THE
[000:00:21;805] ATTACKS.
[000:00:22;172] MEN AND WOMEN THAT STEPPED
[000:00:26;910] FORWARD TO SAVE OTHERS.
[000:00:27;510] AMONG THEM, POLICE OFFICERS.
[000:00:28;211] NEWLY RELEASED VIDEO SHOWS WHAT
[000:00:30;747] THEY WERE UP AGAINST.
[000:00:45;161] KILLER'S GIRLFRIEND RETURNS TO
[000:00:47;664] THE UNITED STATES.
[000:00:48;198] DID SHE KNOW WHAT HE WAS
[000:00:49;699] PLANNING?
[000:00:50;066] HER SISTERS SAY NO WAY.
[000:00:51;701] INVESTIGATORS ASK HER QUESTIONS.
[000:00:52;836] WE'LL TAKE YOU TO VEGAS FOR A
[000:00:59;175] LOOK AT THE CITY IN MOURNING AND
[000:00:59;976] AN INVESTIGATION UNRELENTING.
[000:01:00;710] LET'S GET TO IT.
[000:01:05;949] FIRST FROM THE FOX NEWS DECK
[000:01:07;016] THIS WEDNESDAY AFTERNOON,
[000:01:07;851] PRESIDENT TRUMP ABOUT TO MEET
[000:01:08;651] WITH HEROS OF THE LAS VEGAS
[000:01:10;587] ATTACK INCLUDING THE FIRST
[000:01:12;355] RESPONDERS AND ORDINARY PEOPLE
[000:01:13;723] THAT RISKED THEIR LIVES TO SAVE
[000:01:15;792] OTHERS.
[000:01:16;359] WE'LL HAVE THAT LIVE WHEN IT
[000:01:17;594] HAPPENS.
[000:01:17;961] WE'RE EXPECTING IT IN 20
[000:01:19;596] MINUTES.
[000:01:19;929] THIS COMES AS WE GET A FIRST
[000:01:22;966] HAND LOOK AT THE POLICE OFFICERS
[000:01:25;068] THAT RISKED THEIR LIVES THAT
[000:01:27;137] NIGHT.
[000:01:27;570] LAS VEGAS POLICE RELEASED BODY
[000:01:28;872] CAM FROM OFFICERS SHOWING THE
[000:01:31;040] OFFICERS TRYING TO FIGURE OUT
[000:01:32;475] THE LOCATION OF THE SHOOTER AND
[000:01:34;144] GET PEOPLE TO SAFETY AS BULLETS
[000:01:36;679] RAIN DOWN FROM THAT HOTEL ROOM.
[000:01:42;685] >> GET DOWN, GET DOWN!
[000:01:44;754] GO THAT WAY.
[000:01:45;889] GET OUT OF HERE.
[000:01:46;956] THERE'S GUN SHOTS COMING FROM
[000:01:48;825] OVER THERE.
[000:01:49;259] GO THAT WAY.
[000:01:50;393] GO THAT WAY.
[000:02:21;724] >> GO THAT WAY, GO THAT WAY.
[000:02:26;262] THEY'RE SHOOTING RIGHT AT US,
[000:02:27;797] GUYS.
[000:02:28;398] STAY DOWN.
[000:02:29;165] >> WHERE IS IT AT?
[000:02:37;841] >> IT'S AT THE MANDALAY BAY.
[000:02:38;575] COMING OUT OF A WINDOW.
[000:02:54;991] >> GO BACK, GO BACK.
[000:02:56;426] GET BACK.
[000:02:56;860] GET BACK.
[000:02:57;227] GET BACK.
[000:03:01;097] GET BACK.
[000:03:04;367] >> THERE'S MULTIPLE SHOTS COMING
[000:03:10;773] UP THERE.
[000:03:11;174] >> Shepard: BODY CAM FROM THE
[000:03:11;941] RESPONDERS.
[000:03:12;342] FBI AGENTS ARE INTERVIEWING THE
[000:03:13;142] GUNMAN'S VIDEO RIGHT THIS MINUTE
[000:03:13;910] THEY TELL US.
[000:03:15;011] INVESTIGATORS SAY THEY'RE
[000:03:16;379] CONFIDENT THEY WILL FIGURE OUT
