[000:00:00;300] FOR WATCHING.
[000:00:03;970] WE'LL SE
[000:00:10;510] >>> THIS IS "WORLD NEWS."
[000:00:11;778] TONIGHT, TWO FAST-MOVING
[000:00:12;846] STORIES.
[000:00:14;447] IN BOSTON, THE BREAKING NEWS.
[000:00:17;117] THE FBI SAYS THEY WANT EVERYBODY
[000:00:18;685] TO HELP FIND THESE TWO MEN ON
[000:00:19;753] THE SURVEILLANCE TAPE.
[000:00:21;888] PERSONS OF INTEREST IN THE
[000:00:22;622] BOSTON MARATHON BOMBING.
[000:00:24;557] WE'LL TAKE YOU FRAME BY FRAME
[000:00:25;625] THROUGH THE VIDEO.
[000:00:28;294] WHY THE FBI SAYS, LOOK AT EVERY
[000:00:29;062] DETAIL.
[000:00:31;464] AND THE BREAKTHROUGH COMES AS AN
[000:00:33;066] EMOTIONAL PRESIDENT TONIGHT HAS
[000:00:34;734] A MESSAGE FOR THE BOMBERS.
[000:00:36;269] >> WE WILL FIND YOU.
[000:00:38;972] AND, YES, YOU WILL FACE JUSTICE.
[000:00:42;142] >>> ALSO TONIGHT, THAT TEXAS
[000:00:42;876] DISASTER.
[000:00:44;811] WHAT CAUSED THE GIANT TANK AT A
[000:00:48;014] FERTILIZER PLANT TO EXPLODE AND
[000:00:49;049] SHATTER AN ENTIRE TOWN?
[000:00:53;820] THE TREMORS FELT MILES AWAY AS
[000:00:55;388] TRUE HEROES RUSHED IN TO HELP.
[000:00:59;626] >>> IN OTHER NEWS, WATER WORLD.
[000:01:00;727] KAYAKING DOWN THE STREETS OF
[000:01:01;428] CHICAGO.
[000:01:02;829] FLOODS, CARS SWALLOWED IN A BIG
[000:01:03;897] HOLE.
[000:01:05;532] THE EARTH NO MATCH FOR THE
[000:01:06;533] DELUGE.
[000:01:09;736] >>> AND THE HEART OF A HERO.
[000:01:12;372] FROM BOSTON TO TEXAS, THE
[000:01:13;973] ORDINARY AMERICANS WHO RUSHED
[000:01:14;707] TOWARD DANGER.
[000:01:16;109] IS THERE A SUPER HERO IN EVERY
[000:01:17;677] ONE OF US?
[000:01:32;559] >>> GOOD EVENING TO YOU, AND
[000:01:34;160] TONIGHT FROM TEXAS TO BOSTON, WE
[000:01:35;795] ARE A NATION IN PURSUIT OF
[000:01:36;830] ANSWERS.
[000:01:38;498] AND AS WE COME ON THE AIR
[000:01:40;066] TONIGHT, THERE IS STUNNING NEWS
[000:01:41;668] OUT OF BOSTON.
[000:01:43;236] THE FBI RELEASING SURVEILLANCE
[000:01:44;003] TAPES.
[000:01:45;905] TWO PEOPLE CALLED PERSONS OF
[000:01:47;474] INTEREST IN THE MARATHON-DAY
[000:01:48;508] BOMBINGS.
[000:01:52;712] THE FBI CONSIDERS THEM ARMED,
[000:01:55;482] DANGEROUS, ASKED THAT NO ONE
[000:01:57;016] APPROACH THEM.
[000:01:57;584] BUT THEY ASK ALL MEMBERS OF THE
[000:01:58;351] PUBLIC TO LOOK AT THESE TAPES,
[000:01:59;152] TO STUDY THEM IN DETAIL AND
[000:02:00;086] HELP.
[000:02:01;688] ABC'S CHIEF INVESTIGATIVE
[000:02:02;755] CORRESPONDENT, BRIAN ROSS, WILL
[000:02:04;357] TAKE US FRAME BY FRAME THROUGH
[000:02:05;425] THE CLUES.
[000:02:06;493] BRIAN?
[000:02:08;628] >> Reporter: GOOD EVENING.
[000:02:10;196] FEDERAL AUTHORITIES NOW BELIEVE
[000:02:11;831] THAT A TEAM OF AT LEAST TWO MEN
[000:02:12;932] WAS RESPONSIBLE FOR THE BOMBINGS
[000:02:14;501] HERE.
[000:02:16;102] AS YOU SAY, DESCRIBED AS ARMED
[000:02:17;170] AND EXTREMELY DANGEROUS.
[000:02:19;839] THE FBI IS BASING ITS TWO-BOMBER
[000:02:21;441] THEORY ON THESE SURVEILLANCE
[000:02:23;576] CAMERA VIDEOS AND STILL PICTURES
[000:02:24;611] MADE PUBLIC LATE TODAY.
[000:02:28;915] TWO WHITE MEN IN THEIR 20s,
[000:02:30;717] ACCORDING TO THE FBI.
[000:02:31;951] ONE WITH A BLACK CAP, THE SECOND
[000:02:35;488] WITH A WHITE CAP WORN BACKWARDS.
[000:02:37;123] BOTH WEARING BACKPACKS THAT THE
[000:02:38;024] FBI BELIEVE HELD THE BOMBS.
[000:02:40;994] OFF TO THE SIDE OF THIS VIDEO,
[000:02:43;630] RUNNERS CAN BE SEEN HEADING TO
[000:02:44;531] THE FINISH LINE AND TIME CODE
[000:02:45;298] MARKERS INDICATE THE FOOTAGE WAS
[000:02:46;132] MADE ABOUT 13 MINUTES BEFORE THE
[000:02:47;133] FIRST BOMB WENT OFF.
[000:02:48;735] THE FBI SAYS ONLY ONE OF THE TWO
[000:02:50;870] POTENTIAL SUSPECTS, THE ONE WITH
[000:02:52;505] THE WHITE CAP, WAS ACTUALLY SEEN
[000:02:53;573] PLACING HIS BACKPACK AT THE
[000:02:55;108] SCENE OF AN EXPLOSION.
[000:02:56;743] >> WE ARE RELEASING PHOTOS OF
[000:02:57;477] THESE TWO SUSPECTS.
[000:03:00;079] RE IDENTIFT O.
[000:03:03;183] THEY APPEAR TO BE ASSOCIATED.
[000:03:05;318] >> Reporter: OFFICIALS SAY THEY
[000:03:06;386] MADE THE IMAGES PUBLIC NOW
[000:03:07;921] BECAE THEY ND
[000:03:09;522] THE FACES TO NAMES.
[000:03:11;090] BUT THEY WARN THESE ARE
[000:03:12;659] DANGEROUS MEN.
[000:03:14;794] >> WE CONSIDER THEM TO BE ARMED
[000:03:15;562] AND EXTREMELY DANGEROUS.
[000:03:17;997] >> Reporter: THERE WERE NEW
[000:03:19;065] DEVELOPMENTS TODAY BASED ON THE
[000:03:20;633] SOME 300 PIECES OF EVIDENCE
[000:03:21;668] RECOVERED FROM THE CRIME SCENE.
[000:03:23;269] SOME OF THE COMPONENTS,
[000:03:24;337] INCLUDING THIS BATTERY, AND THIS
[000:03:25;905] CIRCUIT BOARD, WERE RECOGNIZED
[000:03:27;507] BY HOBBYISTS AS PARTS OF A TOY
[000:03:29;676] REMOTE CONTROL CAR, SIMILAR TO
[000:03:31;244] THIS ONE SEEN IN AN ONLINE
[000:03:32;278] VIDEO.
[000:03:34;981] THE OWNER OF ONE HOBBY STORE
[000:03:36;049] OUTSIDE BOSTON SAID FBI AGENTS
[000:03:37;684] INTERVIEWED HIM LAST NIGHT AND
[000:03:39;252] LEFT LITTLE DOUBT THAT A REMOTE
[000:03:40;853] CONTROLLED UNIT HAD BEEN USED IN
[000:03:42;455] THE BOMBS.
[000:03:44;557] >> IT LOOKED TO ME THAT ONE OF
[000:03:45;625] THE COMPONENTS WAS A RADIO
[000:03:46;326] RECEIVER.
[000:03:49;362] THE RESPONSE I GOT WAS DEAD ON.
[000:03:51;464] >> Reporter: THERE ARE
[000:03:52;498] INSTRUCTIONS ON THE INTERNET
[000:03:53;533] ABOUT HOW TO USE A REMOTE
[000:03:57;303] CONTROLLED TOY CAR TO SET OFF A
[000:03:58;871] BOMB, BOTH FROM "THE ANARCHIST
[000:04:01;541] COOKBOOK" AND SEVERAL JIHADIST
[000:04:02;609] SITES AS WELL.
[000:04:03;643] THERE IS STILL NO INDICATION OF
[000:04:04;711] WHETHER THERE WAS AN ACT OF
[000:04:05;778] FOREIGN OR DOMESTIC TERRORISM,
[000:04:07;347] BUT THE PRESIDENT VOWED TODAY
[000:04:08;414] THE BOMBERS, WHOEVER THEY ARE,
[000:04:09;482] WILL NOT ESCAPE.
[000:04:11;084] >> YES, WE WILL FIND YOU.
[000:04:13;720] AND, YES, YOU WILL FACE JUSTICE.
[000:04:17;991] >> Reporter: WHAT HAPPENS NEXT
[000:04:19;058] IS WHAT ONE OFFICIAL CALLED AN
[000:04:20;193] ELECTRONIC DRAGNET, PUSHING
[000:04:21;761] THESE IMAGES FAR AND WIDE TO
[000:04:22;829] ENGAGE THE PUBLIC IN THE HUNT.
[000:04:24;464] DIANE?
[000:04:25;498] >> ALL RIGHT, BRIAN.
[000:04:26;566] THANK YOU.
[000:04:27;600] I WANT TO BRING IN ABC'S PIERRE
[000:04:29;168] THOMAS WHO HAS LEARNED NEW
[000:04:30;236] DETAILS SINCE THE BRIEFING TODA.
[000:04:33;940] >> A SENIOR LAW ENFORCEMENT
[000:04:35;508] OFFICIAL TELLS ME E WO
[000:04:36;576] SUSPECTS IS SEEN IN ANHER
[000:04:38;711] VIO MAKING A CELLPHONE CALL
[000:04:40;313] AROUND THE TIME OF THE
[000:04:41;347] EXNS.
[000:04:42;415] THEY BELIEVE THAT THE CELLPHONE
[000:04:43;483] WAS USED TO TRIGGER ONE OF THE
[000:04:44;517] EXPLOSIONS.
[000:04:46;152] THE OFFICIALS SAID A MASSIVE
[000:04:47;720] EFFORT IS UNDER WAY TO CAPTURE
[000:04:49;355] EVERY CELLPHONE CALL IN THAT
[000:04:50;923] LOCAL AREA AT THE TIME OF THE
[000:04:52;558] BOMBINGS, TO SEE IF THEY CAN
[000:04:54;127] TRACE IT BACK TO THE BOMBER.
[000:04:55;762] THE SOURCE SAID IT'S A
[000:04:56;829] TIME-CONSUMING PROCESS BUT A TOP
[000:04:57;897] PRIORITY.
[000:05:00;066] >> AS YOU WATCH THE TAPES GO BY
[000:05:01;601] PIERRE, AND YOU'VE STUDIED THESE
[000:05:03;236] SO OFTEN, TELL US THE KIND OF
[000:05:04;771] DETAIL THE FBI IS ASKING
[000:05:05;838] EVERYONE TO NOTICE.
[000:05:08;508] >> ONE OF THE THINGS YOU CAN SEE
[000:05:10;043] AS YOU LOOK AT THE TAPE IS THAT
[000:05:12;178] THE BLACK BACKPACK IS ONE
[000:05:14;314] CRITICAL PIECE OF EVIDENCE.
[000:05:16;949] MY SOURCES ARE TELLING ME THAT
[000:05:18;584] BACKPACK IS THE ONE THAT THEY
[000:05:20;153] RECOVERED THE MOST MATERIAL
[000:05:21;721] FROM.
[000:05:23;856] THE OTHER THING IS THAT EVERY
[000:05:25;992] PIECE OF EVIDENCE IN THAT FRAME,
[000:05:27;560] THE HAT, THE COAT, THE PANTS,
[000:05:30;263] THEY WANT THE PUBLIC TO LOOK AT
[000:05:31;331] THAT BECAUSE THERE MIGHT BE
[000:05:32;398] SOMETHING THAT SOMEONE WOULD
[000:05:33;099] NOTICE.
[000:05:33;966] >> THAT'S RIGHT.
[000:05:35;034] AND TO LOOK OVER EVERY FRAME BY
[000:05:37;203] FRAME, THEY SENT EVERYONE TO THE
[000:05:39;305] WEBSITE, FBI.GOV TO CHECK IT
[000:05:40;039] OUT.
[000:05:42;008] AND I KNOW YOU'LL BE GETTING
[000:05:43;576] BACK TO THE PHONES AS WELL,
[000:05:44;644] PIERRE.
[000:05:45;144] THANK YOU.
[000:05:47;280] >>> AS WE SAID, THE PRESIDENT
[000:05:49;382] TODAY DELIVERED A SUMMONS, A
[000:05:50;416] PROMISE, AND A BLAZING TRIBUTE
[000:05:51;484] IN BOSTON.
[000:05:53;619] AND ABC'S LINSEY DAVIS TELLS US
[000:05:54;687] MORE.
[000:05:57;323] >> Reporter: THE PRESIDENT CAME
[000:05:58;391] WITH A SIMPLE MESSAGE.
[000:05:59;959] >> IF THEY SOUGHT TO INTIMIDATE
[000:06:03;162] US, TO TERRORIZE US, IT SHOULD
[000:06:05;298] BE PRETTY CLEAR BY NOW THAT THEY
[000:06:07;433] PICKED THE WRONG CITY TO DO IT.
[000:06:08;501] [ APPLAUSE ]
[000:06:13;806] >> NOT HERE IN BOSTON,
[000:06:14;841] NOT HERE IN BOSTON.
[000:06:16;976] >> Reporter: AT TIMES, HE
[000:06:18;044] BROUGHT THEM TO THEIR FEET.
[000:06:19;112] AT OTHERS, HE BROUGHT THEM TO
[000:06:20;213] T THSSE WAS ALWAYS TO
[000:06:24;450] >> AS YOU BEGIN THIS LONG
[000:06:26;085] JOURNEY OFECER AY, WLLITYOU AS T
[000:06:31;357] STAND AND WALK AND, YES, RUN
[000:06:33;526] AGAIN -- OF THAT I HAVE NO
[000:06:34;560] DOUBT, YOU WILL RUN AGAIN.
[000:06:35;595] [ APPLAUSE ]
[000:06:39;298] >> Reporter: FOR THOSE WHOSE
[000:06:42;835] CHEERS WERE ABRUPTLY SILENCED
[000:06:44;971] MARATHON DAY, THE PRESIDENT
[000:06:46;539] TODAY ROUSED THEM ONCE AGAIN.
[000:06:48;875] AMONG THEM FAMILIES OF THE
[000:06:49;575] VICTIMS.
[000:06:50;243] AND RUNNERS, IN THOSE SIGNATURE
[000:06:51;010] MARATHON JACKETS.
[000:06:52;345] >> WE MAY BE MOMENTARILY KNOCKED
[000:06:54;480] OFF OUR FEET, BUT WE'LL PICK
[000:06:55;214] OURSELVES UP.
[000:06:56;082] WE'LL KEEP GOING.
[000:06:57;683] WE WILL FINISH THE RACE.
[000:07:03;489] >> Reporter: AMID THE APPLAUSE,
[000:07:05;158] THE ANGUISH, STILL SO FRESH FROM
[000:07:06;759] THE PARISHIONERS TO THE
[000:07:08;327] PRESIDENT HIMSELF.
[000:07:11;030] THE HUNDREDS OF PEOPLE WHO LINED
[000:07:12;598] THE STREETS OUTSIDE OF THE
[000:07:14;200] CHURCH HERE TODAY, THEY COULDN'T
[000:07:15;234] HEAR PRESIDENT OBAMA OR ANYONE
[000:07:16;302] ELSE INSIDE.
[000:07:17;870] THEY SIMPLY STOOD SILENTLY IN A
[000:07:18;938] SHOW OF SUPPORT.
[000:07:19;972] DIANE?
[000:07:21;040] >> AND AGAIN THE PRESIDENT
[000:07:22;675] QUOTING A POEM THAT BOSTON IS
[000:07:26;546] NOT A PLACE, IT IS A STATE OF
[000:07:29;282] GRACE.
[000:07:29;715] THANKS SO MUCH, LINSEY DAVIS
[000:07:30;450] FROM BOSTON FOR US TONIGHT.
[000:07:31;851] >>> NOW WE TURN FROM BOSTON TO
[000:07:33;419] THE OTHER AMERICAN REGION IN
[000:07:34;487] CRISIS, REELING TONIGHT AND
[000:07:36;088] ASKING THE NATION'S PRAYERS
[000:07:37;657] AFTER A MASSIVE AND MYSTERIOUS
[000:07:39;292] EXPLOSION AT A FERTILIZER PLANT.
[000:07:41;427] THE IMAGE CAUGHT ON TAPE.
[000:07:42;995] THE AIR THICK WITH THE SMELL OF
[000:07:44;096] AMMONIA.
[000:07:45;164] VOLUNTEER FIREFIGHTERS
[000:07:45;798] OVERWHELMED.
[000:07:50;203] THE BLAST HAD THE FEROCITY OF A
[000:07:53;473] 2.1 EARTHQUAKE AND THE
[000:07:54;707] THUNDEROUS SHOCK COULD BE HEARD
[000:08:00;480] 45 MILES AWAY.
[000:08:01;047] TONIGHT, THE SMALL TOWE
[000:08:01;781] WACO, CALLED WEST, HAS BEEN
[000:08:02;582] FLATTENED.
[000:08:03;616] ABC'S STEVE OSUNSAMI HAS BEEN
[000:08:04;684] THERE THROUGH THE NIGHT.
[000:08:05;751] >> Reporter: THEIR MOMENT OF
[000:08:06;819] CRISIS FOR FAMILIES IN A SMALL
[000:08:07;887] TOWN OF WEST, TEXAS, CAME AT
[000:08:10;523] 7:29 P.M., WITH A FIRE RAGING AT
[000:08:11;591] THEIR GIANT FERTILIZER DEPOT.
[000:08:14;760] >> EVERYBODY NEEDS TO GET AWAY
[000:08:15;828] FROM THERE.
[000:08:16;896] BACK ALL TRUCKS AWAY FROM THE
[000:08:17;964] PLANT.
[000:08:19;599] >> Reporter: A SMALL TEAM OF
[000:08:20;666] FIREFIGHTERS ANSWERING THE CALL,
[000:08:21;734] WORRIED THE WHOLE THING COULD
[000:08:22;768] BLOW.
[000:08:24;904] THEN AT 7:53, THE SOUND NO ONE
[000:08:26;506] HERE WILL SOON FORGET.
[000:08:27;540] [ BLAST ]
[000:08:30;776] >> ARE YOU OKAY?
[000:08:32;879] >> I CAN'T HEAR.
[000:08:35;014] GET OUT OF HERE, PLEASE GET OUT
[000:08:36;048] OF HERE!
[000:08:37;116] >> Reporter: THE PLANT BLEW TO
[000:08:38;184] PIECES.
[000:08:39;719] >> WE NEED EVERY AMBULANCE WE
[000:08:40;820] CAN GET.
[000:08:41;854] A BOMB JUST WENT OFF INSIDE
[000:08:42;922] HERE.
[000:08:43;489] IT'S PRETTY BAD.
[000:08:45;057] >> Reporter: A MUSHROOM CLOUD OF
[000:08:46;092] SMOKE FILLED THE SKY.
[000:08:46;726] >> WHAT IS IT?
[000:08:48;227] >> I DON'T KNOW.
[000:08:51;964] >> IT LOOKED LIKE, YOU REMEMBER
[000:08:54;100] SEEING ATOMIC BOMB, YOU KNOW,
[000:08:55;134] THAT PLUME.
[000:08:56;235] WELL, THERE IT WAS.
[000:08:56;802] >> Reporter: BY 8:15 THERE WERE
[000:08:58;371] FIVE FIREFIGHTERS MISSING, TWO
[000:09:01;007] >> WE GOT A LOT OF FIREMEN DOWN.
[000:09:03;142] >> Reporter: THE NURSING HOME
[000:09:06;879] ACROSS THE STREET, BLASTED.
[000:09:09;515] A NEARBY APARTMENT BUILDING
[000:09:10;249] DESTROYED.
[000:09:11;117] >> OH, MY GOD.
[000:09:12;718] >> Reporter: AT 8:30, BETTY
[000:09:14;287] TUCKER, THREE BLOCKS DOWN WAS
[000:09:15;922] TRAPPED AND SAYS A NEIGHBOR
[000:09:16;956] HELPED PULL HER OUT FROM UNDER
[000:09:18;024] HER CRUMBLED WALLS.
[000:09:19;091] >> THE MOST HORRIBLE NOISE I'VE
[000:09:20;126] HEARD IN MY LIFE.
[000:09:22;795] >> Reporter: SHE WALKED TO
