[000:00:00;233] IN RUBBLE
[000:00:10;210] >>> THIS IS "WORLD NEWS."
[000:00:10;977] TONIGHT, BREAKING NEWS.
[000:00:13;046] A MASSIVE TORNADO, MORE THAN A
[000:00:14;647] MILE WIDE, TEARS THROUGH
[000:00:16;249] OKLAHOMA ON LIVE TV.
[000:00:19;452] >> JUST SAW A POWER FLASH IN THE
[000:00:20;220] SKY.
[000:00:20;653] THIS IS A LARGE, VIOLENT
[000:00:21;321] TORNADO.
[000:00:23;156] >> AN ENTIRE TOWN IN RUINS.
[000:00:25;258] FIRES BREAKING OUT.
[000:00:27;394] A SCHOOL SUFFERS A DIRECT HIT.
[000:00:30;096] >> HOPEFULLY WE DIDN'T LOSE ANY
[000:00:31;131] LIVES HERE.
[000:00:32;732] >> AS NEIGHBORS DIG THROUGH
[000:00:34;367] DEBRIS BY HAND TO TRY TO HELP
[000:00:35;435] THEIR NEIGHBORS.
[000:00:37;070] >> THE DAMAGE IS OVERWHELMING.
[000:00:38;638] IT IS MIND-BLOWING.
[000:00:40;240] >> AND TONIGHT AN OUTBREAK OF
[000:00:41;808] MORE THAN 50 TWISTERS HAS TAKEN
[000:00:43;443] LIVES AND FLATTENED HOMES.
[000:00:46;079] 55 MILLION AMERICANS STILL IN
[000:00:47;647] THE STORM ZONE TONIGHT.
[000:00:49;783] OUR EXTREME WEATHER TEAM RIGHT
[000:00:51;918] THERE IN THE HEART OF TORNADO
[000:00:54;020] ALLEY, WITH THE VERY LATEST ON
[000:00:54;788] "WORLD NEWS."
[000:01:11;538] >>> GOOD EVENING ON THIS MONDAY
[000:01:12;572] NIGHT.
[000:01:13;640] AS WE COME ON THE AIR, WE ARE IN
[000:01:15;241] THE MIDDLE OF A BREAKING STORY.
[000:01:17;377] A MASSIVE TORNADO DESCENDING
[000:01:20;647] THROUGH THE HEARD LAND LIKE A
[000:01:23;616] WRECKING BALL.
[000:01:24;117] HOUSES GROUND TO SPLINTERS.
[000:01:27;087] AS THOSE FIRES ERUPED.
[000:01:28;321] WHAT YOU'RE LOOKING AT THERE,
[000:01:29;756] HOURS AGO, WAS THE SCHOOL
[000:01:32;292] GYMNASIUM.
[000:01:32;759] AND THERE'S THIS NEW PHOTO, A
[000:01:34;160] LITTLE GIRL PULLED ALIVE FROM
[000:01:36;029] THE RUBBLE OF HER ELEMENTARY
[000:01:37;430] SCHOOL IN MOORE, OKLAHOMA,
[000:01:39;732] PASSED ALONG A HUMAN CHAIN TO
[000:01:42;569] SAFETY.
[000:01:43;002] AND THIS IS WHAT IT LOOKED LIKE
[000:01:45;505] THE MOMENT OF THE CRISIS.
[000:01:46;906] THIS IS IN THE DAY.
[000:01:48;575] SUDDENLY SKIES ARE DARK AS
[000:01:50;543] MIDNIGHT AS THE STORM MOVERS IN.
[000:01:54;247] LISTEN.
[000:01:54;714] [ CRACKLING, WIND BLOWING ]
[000:01:58;151] >> AS OF RIGHT NOW, 37 ARE
[000:02:00;487] REPORTED DEAD.
[000:02:01;521] AT LEAST 100 INJURED OR BEING
[000:02:04;657] FREETED IN HOSPITALS.
[000:02:06;626] NATIONAL GUARD DESCENDING AND
[000:02:08;161] EMERGENCY MEDICAL TEAMS RACING
[000:02:09;295] INTO TOWN.
[000:02:11;030] OUR EXTREME WEATHER TEAM IS IN
[000:02:15;602] OKLAHOMA.
[000:02:16;069] AND ABC'S GINGER ZEE LEADS US
[000:02:20;507] OFF.
[000:02:20;907] >> IT'S TURNING INTO A
[000:02:21;908] DESTRUCTIVE TORNADO AND IT'S
[000:02:23;309] GETTING BIGGER.
[000:02:24;110] >> Reporter: THIS AFTERNOON, A
[000:02:25;812] LOCAL TELEVISION HELICOPTER
[000:02:26;546] CATCHING THE PICTURES, CATCHING
[000:02:28;448] THIS TORNADO, RANKED A
[000:02:31;084] PRELIMINARY EF-4 HELP YOU CAN
[000:02:32;185] SEE THE FLASHES OF THE POWER
[000:02:34;954] LINES AND TRANSFORMERS BEING
[000:02:36;422] RIPPED APART.
[000:02:37;323] >> THERE'S A HUGE FLASH RIGHT
[000:02:38;958] THERE.
[000:02:39;392] IT'S JUST RIPPING UP EVERYTHING
[000:02:40;326] IN ITS PATH.
[000:02:41;060] >> Reporter: FROM THE GROUND,
[000:02:43;830] DARKNESS OVERWHELMING MOORE,
[000:02:44;898] OKLAHOMA.
[000:02:45;365] YOU CAN SEE THE COLOSSAL TORNADO
[000:02:47;400] BEARING DOWN ON ON THE STREET.
[000:02:49;969] UNBELIEVABLE DESTRUCTION.
[000:02:51;271] ENTIRE NEIGHBORHOOD, GONE.
[000:02:52;605] HOUSES AND CARS PILED ON TOP OF
[000:02:54;507] EACH OTHER.
[000:02:55;341] IN SOME PARTS, EVERYTHING
[000:02:57;410] LEVELED.
[000:02:57;911] CARS TOSSED.
[000:02:58;912] PEOPLE DIGGING AND CRAWLING
[000:03:00;847] THROUGH RUBBLE.
[000:03:01;414] >> STARTED HEADING IN.
[000:03:03;316] WE WERE PULLING WALLS OFF OF
[000:03:05;485] PEOPLE.
[000:03:05;919] THERE WERE PEOPLE CRAWLING OUT
[000:03:07;387] FROM EVERYWHERE AND ANYWHERE.
[000:03:08;621] BASICALLY JUST A WAR ZONE.
[000:03:10;256] >> Reporter: BUILDINGS CRUSHED
[000:03:11;191] BY THE DESTRUCTIVE TORNADO THAT
[000:03:13;259] WREAKED HAVOC FOR ALMOST AN
[000:03:14;794] HOUR.
[000:03:16;462] AND HERE, SCHOOL BUSES STILL
[000:03:17;197] LINED UP OUTSIDE THIS SCHOOL.
[000:03:18;364] BUT THE GYM, TORN APART.
[000:03:20;567] >> IT JUST TORE THROUGH IT LIKE
[000:03:22;635] A TRUCK RUN RIGHT THROUGH THE
[000:03:24;037] CENTER OF IT.
[000:03:25;371] >> AND SADLY, THEY FOUND A MAN
[000:03:28;875] AND THEN A WOMAN AND A SMALL
[000:03:30;944] BABY.
[000:03:31;444] >> OH.
[000:03:33;012] >> Reporter: OUR AFFILIATE SPOKE
[000:03:35;715] TO SIXTH GRADER BRADY WHO WAS
[000:03:37;617] INSIDE BRIARWOOD ELEMENTARY
[000:03:38;952] SCHOOL WHEN THE STORM HIT.
[000:03:41;221] >> UM, WELL, I WAS IN MY
[000:03:45;325] BUILDING.
[000:03:45;758] WE WERE TOLD TO GET IN OUR
[000:03:47;694] TORNADO PRECAUTION SYSTEM.
[000:03:49;662] BUT THEN THEY MOVED US TO THE
[000:03:51;164] BOYS AND GIRLS BATHROOM.
[000:03:56;569] SOME KIDS WERE NOT FOLLOWING
[000:03:58;137] DIRECTIONS OF STAYING AWAY FROM
[000:04:02;375] UNDER THE, UH, SINKS AND STUFF.
[000:04:05;612] AND THEY GOT UNDER THERE AND
[000:04:07;013] SOME OF THE BLOCKS COLLAPSED ON
[000:04:07;780] THEM.
[000:04:09;115] IT WAS JUST DEBRIS.
[000:04:11;784] THERE WAS JUST CARS BEAT UP.
[000:04:13;353] MY MOM WAS FLIPPING OUT.
[000:04:17;824] THAT WAS HER CAR.
[000:04:20;360] >> ARE YOU DOING ALL RIGHT, BUD?
[000:04:21;427] I KNOW THIS IS PRETTY WILD TO
