[000:00:02;235] THE
[000:00:09;776] >>> THIS IS "WORLD NEWS."
[000:00:11;077] TONIGHT, DIRECT HIT, TWISTER
[000:00:11;778] OUTBREAK.
[000:00:14;247] WE HAVE NEW PICTURES, PROVING
[000:00:17;384] THE EPIC SIZE OF THE TORNADO IN
[000:00:20;020] OKLAHOMA.
[000:00:20;487] POWERFUL, DEAFENING, 600 TIMES
[000:00:21;988] THE STRENGTH OF AN ATOMIC BOMB,
[000:00:23;590] FLATTENING THAT ELEMENTARY
[000:00:26;226] SCHOOL WITH CHILDREN TAKING
[000:00:26;960] SHELTER INSIDE.
[000:00:32;365] AND TONIGHT FAMILIES SHOW US HOW
[000:00:33;967] THEY EMERGED FROM UNDERGROUND
[000:00:36;536] SHELTERS TO SEE THEIR HOMES
[000:00:37;871] SIMPLY ERASED.
[000:00:39;606] >> THE LORD GIVETH, AND THE LORD
[000:00:40;373] TAKETH AWAY.
[000:00:40;874] >> THE FRANTIC SEARCH FOR
[000:00:41;674] SURVIVORS CONTINUES.
[000:00:44;544] AND WE JOIN THE SEARCHERS AS
[000:00:46;513] THEY LISTEN FOR THE SOUND OF
[000:00:47;714] LIFE.
[000:00:48;114] >> HEY!
[000:00:49;682] >> THE TEARFUL REUNION, AND THAT
[000:00:51;851] ICONIC PICTURE WE SEE AGAIN AND
[000:00:52;619] AGAIN.
[000:00:54;487] TONIGHT WE MEET THESE PARENTS
[000:00:56;089] AND LEARN WHAT THEY DID TO SAVE
[000:00:57;657] OTHER CHILDREN TOO.
[000:01:00;827] OUR ABC NEWS EXTREME WEATHER
[000:01:02;395] TEAM BRINGING US ASTONISHING
[000:01:06;232] STORIES AND PICTURES AND
[000:01:09;169] SURPRISES FROM THE STORM AS WE
[000:01:10;837] ARE WITH THE PEOPLE OF MOORE,
[000:01:12;605] OKLAHOMA, STANDING STRONG
[000:01:16;876] TONIGHT.
[000:01:18;678] THE VERY LATEST RIGHT NOW ON
[000:01:19;646] "WORLD NEWS."
[000:01:26;086] >>> AND GOOD EVENING TO YOU.
