[000:00:03;420] FOR WATCHING TONIGHT.
[000:00:10;160] >> THIS IS "WORLD NEWS."
[000:00:10;894] TONIGHT ON THE RUN.
[000:00:12;996] HOW ONE YOUNG MAN GOT HIS HANDS
[000:00:15;131] ON MANY OF THE NATION'S TOP
[000:00:15;832] SECRETS.
[000:00:17;267] HE IS ON THE MOVE TONIGHT.
[000:00:18;902] HOW DANGEROUS IS IT?
[000:00:23;239] >>> ON THE GROUND TORNADOS
[000:00:25;108] SPEEDING THROUGH KENTUCKY,
[000:00:27;277] WASHINGTON D.C., BRACING FOR
[000:00:27;977] TWISTERS, TOO.
[000:00:29;713] >>> ON TRIAL, IT BEGINS, GEORGE
[000:00:30;780] ZIMMERMAN ACCUSED OF MURDERING
[000:00:32;382] TRAYVON MARTIN AMID A DEBATE
[000:00:34;517] ABOUT RACE, GUNFIRE AND JUSTICE.
[000:00:46;162] >> GOOD EVENING ON THIS MONDAY
[000:00:46;896] NIGHT.
[000:00:48;331] WE BEGIN WITH ONE YOUNG AMERICAN
[000:00:49;966] MAN WHO SAYS HE HAS CONTROL OF A
[000:00:52;102] LOT OF THE NATION'S SECRETS
[000:00:52;802] TONIGHT.
[000:00:54;738] EDWARD SNOWDEN, THE 29-YEAR-OLD
[000:00:56;339] WHISTLE BLOWER BEHIND THAT
[000:00:57;907] MASSIVE INTELLIGENCE BREACH AT
[000:00:58;675] THE NSA.
[000:01:06;716] TONIGHT HE SAID HE'S A
[000:01:07;851] TARGET AND ON THE MOVE, HIDDEN
[000:01:08;651] BEHIND CLOSED DOORS, SHROUDED IN
[000:01:09;486] MYSTERY AND DRAMA.
[000:01:11;054] BRIAN ROSS HAS THE LATEST ON WHO
[000:01:12;655] HE IS AND WHAT ELSE HE HAS.
[000:01:13;723] BRIAN.
[000:01:15;859] >> Reporter: AS FBI AGENTS ARE
[000:01:17;393] SCRAMBLING TO FIND HIM THERE ARE
[000:01:18;495] REPORTS HE'S PREPARING TO MAKE
[000:01:21;164] PUBLIC EVEN MORE OF THE NATION'S
[000:01:22;232] MOST CLOSELY GUARDED SECRETS.
[000:01:25;935] UNTIL HE CHECKED OUT SOME TIME
[000:01:28;605] TODAY, EDWARD SNOWDEN HAS BEEN
[000:01:30;173] HOLED UP IN LUXURY FOR THREE
[000:01:36;913] WEEKS IN HONG KONG AT THE MEARA
[000:01:40;183] HOTEL, ACCORDING TO EMPLOYEES
[000:01:40;917] THERE.
[000:01:41;885] BY HIS OWN ACCOUNT, EVERY MEAL
[000:01:43;453] CAME FROM ROOM SERVICE, PILL
[000:01:44;521] OH,S STUFFED UNDER THE DOOR TO
[000:01:45;622] PREVENT EAVES DROPPING, AND HE
[000:01:46;356] USED THE CODE NAME VERAX, LATIN
[000:01:47;190] FOR TRUTH TELLER TO COMMUNICATE
[000:01:48;224] WITH THE WASHINGTON POST.
[000:01:49;826] HE TOLD THE GUARDIAN NEWSPAPER
[000:01:51;961] HE KNEW THE U.S. WOULD BE COMING
[000:01:54;097] AFTER HIM, MAYBE EVEN WITH HIT
[000:01:54;864] TEAMS.
[000:01:56;733] >> THAT'S A FEAR I'LL LIVE UNDER
[000:01:58;368] FOR THE REST OF MY LIFE, HOWEVER
[000:01:59;068] LONG THAT HAPPENS TO BE.
[000:02:01;538] >> Reporter: U.S. OFFICIALS SAID
[000:02:03;106] HE'S BEING PURSUED BECAUSE HE
[000:02:05;241] REVEALED SECRETS USED TO TRACK
[000:02:06;009] TERRORISTS.
[000:02:11;414] >> LEAKS OF SENSITIVE CLASSIFIED
[000:02:14;851] INFORMATION THAT CAUSE HARM TO
[000:02:16;252] OUR NATIONAL SECURITY INTEREST
[000:02:17;020] ARE A PROBLEM.
[000:02:18;888] >> Reporter: HE SAYS AMERICANS
[000:02:19;622] NEED TO KNOW ABOUT THE
[000:02:20;290] SURVEILLANCE AND COLLECTIONS
[000:02:21;024] THEIR GOVERNMENT IS CARRYING
[000:02:21;758] OUT.
[000:02:22;192] >> THE NSA SPECIFICALLY TARGETS
[000:02:23;226] THE COMMUNICATIONS OF EVERYONE.
[000:02:23;927] IT INGESTS THEM BY DEFAULT.
[000:02:25;328] >> Reporter: SNOWDEN WAS NEVER
[000:02:26;896] UNDER SUSPICION UNTIL HE
[000:02:28;498] DISAPPEARED FROM HIS JOB AS A
[000:02:29;566] TECHNICIAN AT THE NSA IN HAWAII
[000:02:31;100] AROUND THE 1st OF MAY, CLAIMING
[000:02:35;371] MEDICAL LEAVE FOR EP LEPSY.
[000:02:36;439] NEIGHBORS SAID HE VANISHED ONE
[000:02:37;473] DAY.
[000:02:38;041] >> ONE DAY HE WAS THERE, THE
[000:02:38;741] NEXT HE WAS GONE.
[000:02:40;143] >> Reporter: HIS MOTHER IN
[000:02:41;744] MARYLAND DECLINED TO COMMENT BUT
[000:02:43;346] A NEIGHBOR SAID HE WAS ALWAYS AT
[000:02:44;948] HIS COMPUTER AS A YOUNG MAN.
[000:02:46;516] >> I THOUGHT HE WAS DOING SCHOOL
[000:02:48;151] WORK AND COME TO FIND OUT HE
[000:02:51;321] DIDN'T EVEN GRADUATE FROM HIGH
[000:02:52;088] SCHOOL.
[000:02:53;990] >> Reporter: BY THE AGE OF 29,
[000:02:55;592] SNOWDEN CLAIMED HE HAD QUITE THE
[000:02:57;193] TOP SECRET RESUME FOR SOMEONE
[000:02:58;261] WHO DROPPED OUT OF HIGH SCHOOL.
[000:03:00;396] STARTING WITH NSA SECURITY
[000:03:01;965] GUARD, FOLLOWED BY A BRIEF
[000:03:03;600] FAILED ATTEMPT TO BECOME A
[000:03:04;634] SPECIAL FORCES SOLDIER.
[000:03:07;270] THEN A HUGE JUMP, A CIA SPY IN
[000:03:08;872] SWITZERLAND WORKING WITH
[000:03:09;539] COMPUTERS.
[000:03:11;507] THEN FOUR YEARS AS A CIVILIAN
[000:03:13;643] CONTRACTOR WORKING WITH
[000:03:15;245] COMPUTERS AT THE NSA IN JAPAN,
[000:03:18;414] WASHINGTON AND HAWAII WHERE HE
[000:03:20;049] SAYS HE DECIDED TO BLOW THE
[000:03:22;151] WHISTLE ON WHAT HE CALLS THE
[000:03:22;886] ABUSE OF THE PRIVACY RIGHTS OF
[000:03:23;620] AMERICA.
[000:03:24;754] >> I SITTING AT MY DESK
[000:03:26;890] CERTAINLY HAVE THE AUTHORITIES
[000:03:28;524] TO WIRE TAP ANYONE FROM YOU OR
[000:03:31;160] YOUR ACCOUNTANT TO A FEDERAL
[000:03:33;263] JUDGE TO EVEN A PRESIDENT IF I
[000:03:34;030] HAD A PERSONAL E-MAIL.
[000:03:36;466] >> Reporter: TONIGHT WHEREVER HE
[000:03:39;135] IS SNOWDEN HAS APPARENTLY WITH
[000:03:40;203] HIM MORE TOP SECRET DOCUMENTS
[000:03:41;838] INCLUDING THE NAMES OF HUNDREDS
[000:03:42;605] OF SECRET AGENTS.
[000:03:45;041] HE SAYS HE CHOSE TO GO TO HONG
[000:03:46;109] KONG BECAUSE IT HAS A HISTORY OF
[000:03:47;644] ALLOWING FREE SPEECH.
[000:03:49;279] DIANE, IT ALSO HAS AN
[000:03:50;813] EXTRADITION TREATY WITH THE U.S.
[000:03:52;415] >> WHAT DO INTELLIGENCE
[000:03:54;550] OFFICIALS SAY TO YOU ABOUT
[000:03:56;119] SOMEONE OF THAT RANK WITH ACCESS
[000:03:56;920] TO THOSE TOP SECRETS?
[000:03:59;322] >> IT TURNS OUT HE IS ABOUT ONE
[000:04:02;525] OF 850,000 PRIVATE CONTRACTORS
[000:04:03;293] WHO HAVE SUCH TOP SECRET
[000:04:04;093] CLEARANCE.
[000:04:06;195] THAT'S PART OF A GROWING PROBLEM
[000:04:08;331] UNDERSCORED BY THIS CASE IN
[000:04:09;933] WHICH WHEN EVERYTHING IS SECRET
[000:04:11;000] IT'S HARD TO KEEP THE TRUE AND
[000:04:12;068] IMPORTANT SECRETS SECRET.
[000:04:13;636] >> 850,000.
[000:04:19;442] THANK YOU, BRIAN ROSS, REPORTING
[000:04:21;110] IN TONIGHT.
[000:04:23;112] >>> NOW WE TURN TO THAT OUTBREAK
[000:04:24;747] OF SEVERE WEATHER WE'VE BEEN
[000:04:25;782] WATCHING ACROSS THE EAST.
[000:04:26;849] WE WANT TO BRING YOU THE LATEST
[000:04:27;917] REPORTS RIGHT NOW, FLASH FLOOD
[000:04:28;985] WARNINGS AND REPORTS OF TORNADOS
[000:04:30;019] TOUCHING DOWN.
[000:04:31;087] HERE'S ABC'S DAVID KERLEY.
[000:04:34;824] >> Reporter: THE TORNADO TARGET
[000:04:35;858] TONIGHT 40 MILES NORTH OF
[000:04:36;926] NASHVILLE JUST ACROSS THE
[000:04:38;528] BOARDER HITTING ADAIRVILLE,
[000:04:39;228] KENTUCKY.
[000:04:42;765] >> THIS JUST WENT OVERTOP OF US.
[000:04:44;334] >> Reporter: A NEAR PERFECT
[000:04:45;435] FUNNEL FORMATION OF THIS TORNADO
[000:04:47;036] WHICH BLEW OVER THE SMALL TOWN.
[000:04:48;571] ONE OFFICIAL TOLD US TWO ELDERLY
[000:04:50;206] LADIES RODE OUT THE STORM
[000:04:50;873] HUDDLED IN A BATHTUB.
[000:04:56;879] >> THEIR HOUSE IS DESTROYED, BUT
[000:04:59;182] THEY BOTH SURVIVED WITH MINOR
[000:05:02;118] INJURIES, TAKEN TO THE HOSPITAL
[000:05:02;852] AND RELEASED.
[000:05:05;088] >> Reporter: WHILE THE TORNADO
[000:05:05;855] WAS NOT THAT WIDE OR POWERFUL,
[000:05:06;622] IT STILL LEFT ITS MARK.
[000:05:07;323] >> WE HAD A TORNADO COME
[000:05:08;324] THROUGH, DAMAGED FIVE TO SEVEN
[000:05:09;392] HOUSES, PRETTY WELL DESTROYED
[000:05:10;994] SEVERAL BARNS AND BUILDINGS.
[000:05:13;062] NOBODY WAS INJURED SERIOUSLY.
