[000:00:00;383] THERE.
[000:00:01;117] THE COMMERCIALS WILL BE TAPED
[000:00:02;686] NEXT MONTH.
[000:00:03;086] >> THANKS FOR JOINING US.
[000:00:10;026] >>> THIS IS "WORLD NEWS."
[000:00:11;327] TONIGHT, YOSEMITE ON FIRE.
[000:00:13;463] MONSTER WILDFIRE NOW BURNING ITS
[000:00:16;132] WAY THROUGH THE GREAT AMERICAN
[000:00:17;200] PARK.
[000:00:18;802] WE'RE LIVE ON THE FRONT LINES
[000:00:20;403] TONIGHT AND OUR CAMERAS JUST
[000:00:21;471] FEET FROM THE FLAMES.
[000:00:23;039] THIS VIEW FROM THE SKY THIS
[000:00:24;140] EVENING, THE ALL-OUT BATTLE TO
[000:00:25;742] GET CONTROL.
[000:00:27;310] >>> THIS IS SUMMER.
[000:00:28;378] HAIL TWO FEET DEEP.
[000:00:29;979] THE SNOWPLOWS BACK IN ACTION
[000:00:31;081] TONIGHT.
[000:00:32;682] ABC'S GINGER ZEE RIGHT HERE WITH
[000:00:34;818] THE EXTREME WEATHER COMING THIS
[000:00:35;885] WEEKEND.
[000:00:37;487] >>> THE GREAT ESCAPE.
[000:00:39;089] CAUGHT ON TAPE, THE BRAZEN
[000:00:40;657] PRISON BREAK.
[000:00:42;292] TONIGHT WHAT POLICE HAVE JUST
[000:00:43;827] ANNOUNCED IN THE CASE.
[000:00:45;462] >>> AND GETTING OUT ALIVE.
[000:00:46;496] WHAT HAPPENS WHEN THOSE STORMS
[000:00:48;064] DROP POWER LINES ON THE STREET
[000:00:49;132] ON YOUR CAR?
[000:00:50;734] HOW TO GET OUT AND THE EXPERTS
[000:00:52;335] WHO SAY YOUR FLOOR MAT COULD
[000:00:53;369] SAVE YOUR LIFE.
[000:01:05;615] >>> GOOD EVENING.
[000:01:06;649] DIANE HAS THE EVENING OFF.
[000:01:08;251] WE DO BEGIN WITH THAT PART OF
[000:01:09;819] THE GREAT NATIONAL PARK BURNING
[000:01:10;887] TONIGHT.
[000:01:12;489] THE WILDFIRE RACING INTO
[000:01:13;556] YOSEMITE.
[000:01:15;158] GROWING AT A BREAK-NECK PACE AND
[000:01:17;293] JUST LOOK, TONIGHT, FIREFIGHTERS
[000:01:18;862] RIGHT THERE ON THE FRONT LINES,
[000:01:20;530] BATTLING THE BLAZE FROM THE
[000:01:21;598] GROUND.
[000:01:23;700] PART OF THE FOREST UP IN FLAMES
[000:01:24;434] TONIGHT.
[000:01:24;868] LOOK AT THIS, ANOTHER VIEW FROM
[000:01:25;568] THE SKY.
[000:01:26;903] THE NATIONAL GUARD LIFTING WATER
[000:01:28;471] FROM A NEARBY LAKE AND DROPPING
[000:01:30;073] IT FROM THE AIR TO DRY TO DOUSE
[000:01:34;711] -- TRY TO DOUSE THE FLAMES.
[000:01:37;080] ONE MORE IMAGE OF THE SCOPE
[000:01:37;947] TONIGHT, A WALL OF SMOKE FILLING
[000:01:39;516] THE SKY AND WORD THIS EVENING
[000:01:40;583] THAT THAT SMOKE NOW SETTING OFF
[000:01:42;218] A RED ALERT FOR AIR QUALITY.
[000:01:43;286] 150 MILES AWAY IN RENO.
[000:01:44;320] OUR TEAM IS LIVE INSIDE THE FIRE
[000:01:45;855] ZONE AGAIN TONIGHT AND ABC'S
[000:01:47;957] NEAL KARLINSKY LEADING US OFF.
[000:01:51;127] >> Reporter: A VIEW OF THE
[000:01:54;364] SURREAL WAR ABOVE YOSEMITE OF A
[000:01:57;534] FIRE THAT IS NOW SO BIG AND SO
[000:01:59;702] FAST-MOVING, VETERAN PILOTS ARE
[000:02:01;271] STUNNED BY THE SIGHT.
[000:02:02;338] >> THAT IS UNREAL.
[000:02:03;439] >> Reporter: FROM THE COCKPIT,
[000:02:05;308] LOOK CLOSELY, THAT SPECK IS A
[000:02:06;376] SPOTTER PLANE, IT UNLEASHES SOME
[000:02:07;977] SMOKE TO MARK THE TARGET,
[000:02:10;113] SECONDS LATER THAT'S WHERE
[000:02:11;681] PILOTS DROP THEIR FLAME
[000:02:13;316] RETARDANT.
[000:02:14;317] >> READY?
[000:02:16;452] DROP.
[000:02:18;555] >> Reporter: THE LAND IS
[000:02:20;123] TORCHING WITH EXTREME FIRE
[000:02:21;157] BEHAVIOR.
[000:02:22;792] YOU CAN CLEARLY SEE TREES IGNITE
[000:02:24;360] AND BE SWALLOWED UP IN SECONDS.
[000:02:25;962] THE PARK, BIGGER THAN THE STATE
[000:02:27;564] OF VERMONT, IS ONLY BEING
[000:02:29;165] TOUCHED BY FIRE ON THE WEST SIDE
[000:02:30;166] RIGHT NOW.
[000:02:33;603] FAR FROM THE CAMP GROUNDS AND
[000:02:35;705] MOUNTAINS THAT MAKE IT SO
[000:02:38;408] FAMOUS.
[000:02:38;842] >> I GOT TO KNOW WHERE PEOPLE
[000:02:39;542] ARE.
[000:02:40;476] >> Reporter: WE CAUGHT UP WITH
[000:02:41;544] HOT SHOT FIRE TEAMS CONCERNED
[000:02:42;612] ABOUT CONDITIONS.
[000:02:44;747] >> YOU GUYS GOT TO -- [ BLEEP ].
[000:02:46;349] >> IF YOU GUYS PULL OUT, I HAVE
[000:02:47;050] TO KNOW.
[000:02:47;517] >> ABSOLUTELY.
[000:02:54;224] >> YOUR JOB HERE IS HOLD THE
[000:02:55;124] LINE.
[000:02:55;525] >> EXACTLY.
[000:02:56;159] >> ARE YOU SURPRISED THE
[000:02:56;793] BEHAVIOR OF THIS FIRE?
[000:02:57;760] >> NEVER SEEN A FIRE MOVE THIS
[000:02:58;461] FAST.
[000:03:01;731] >> REALLY?
[000:03:02;732] >> AND IT'S IN DIFFERENT
[000:03:04;167] DIRECTIONS.
[000:03:04;634] >> Reporter: ALONG THE OTHER
[000:03:05;335] FRONT LINES, HOMES WITH VIEWS OF
[000:03:06;169] THE FIRE BURNING STRAIGHT AT
[000:03:07;203] THEM.
[000:03:08;271] TEAMS OF FIREFIGHTERS ARE
[000:03:09;339] ACTUALLY SLEEPING HERE NOW.
[000:03:11;441] >> I JUST HOPE TO GOD THAT IT
[000:03:13;042] DOESN'T GET PAST THIS POINT.
[000:03:14;644] I HOPE IT DOESN'T BURN ANY OF
[000:03:16;246] THESE HOUSES ON THIS SIDE.
[000:03:18;348] >> Reporter: BACK OUT HERE LIVE,
[000:03:19;983] THIS IS AN AREA THE FIRE JUST
[000:03:20;650] BURNED THROUGH.
[000:03:21;551] YOU GET A SENSE OF THE
[000:03:22;151] DEVASTATION.
[000:03:23;753] THERE ARE STILL HOT SPOTS HERE.
[000:03:25;889] THE FIRE IS BURNING ON TWO
[000:03:27;423] FRONTS RIGHT NOW, ONE NEAR
[000:03:28;491] YOSEMITE, THE OTHER NEAR HOMES
[000:03:30;126] AND THERE'S VERY LITTLE
[000:03:31;661] CONTAINMENT ON EITHER.
[000:03:33;296] >> JUST A STUNNING SCENE.
[000:03:34;364] NEIL, THANK YOU.
[000:03:35;431] THE IMAGES FROM YOSEMITE FOR
[000:03:36;099] TONIGHT.
[000:03:37;500] >>> THE EXTREME WEATHER ALSO THE
[000:03:39;636] STORY SOME 1,100 MILES EAST OF
[000:03:41;170] THERE IN COLORADO THIS EVENING.
[000:03:42;805] SOMETHING WE NEVER THOUGHT WE'D
[000:03:43;506] SEE.
