[000:00:01;618] >> THANK YOU.
[000:00:02;385] SEE YOU AGAIN AT 6:00.
[000:00:07;991] >>> TONIGHT, WE'RE ON THE SCENE.
[000:00:08;692] THE RACE AGAINST TIME.
[000:00:11;795] AND THE STUNNING MOMENTS.
[000:00:12;328] THE WOMAN VISIBLY SHAKEN, PULLED
[000:00:12;962] THROUGH THE DEBRIS THROUGH A
[000:00:13;930] HOLE IN THE CEILING.
[000:00:15;965] THE CHILD PULLED FROM A CRUMBLED
[000:00:17;367] SCHOOL.
[000:00:18;568] OUR TEAM IN MEXICO CITY.
[000:00:21;404] >>> ALSO BREAKING, FROM PUERTO
[000:00:24;307] RICO, FOR THE FIRST TIME, ROB
[000:00:25;341] MARCIANO TAKES US TO THE PART OF
[000:00:25;975] THE ISLAND WHERE THE HURRICANE
[000:00:26;609] MADE LANDFALL.
[000:00:27;944] THE URGENT PLEA TONIGHT.
[000:00:30;547] THE WOMAN WAVING OUR TEAM INSIDE
[000:00:33;349] AND WHAT ROB FOUND.
[000:00:35;752] >>> WE HAVE NEWS ON NORTH KOREA.
[000:00:36;786] PRESIDENT TRUMP REVEALING
[000:00:37;320] PUNISHING NEW SANCTIONS AND THAT
[000:00:40;423] CHINA WILL NOW HELP.
[000:00:40;890] >>> FACEBOOK'S FOUNDER MARK
[000:00:43;526] ZUCKERBERG TONIGHT AND THE VIDEO
[000:00:44;160] MESSAGE HE JUST PUT OUT.
[000:00:46;162] THE RUSSIANS DID BUY THOUSANDS
[000:00:47;764] OF ADS ON FACEBOOK DURING THE
[000:00:49;365] ELECTION.
[000:00:51;334] ATTACKING HILLARY CLINTON AND
[000:00:52;936] PRAISING DONALD TRUMP.
[000:00:53;970] HE'LL NOW GIVE THOSE ADS TO
[000:00:54;971] CONGRESS.
[000:00:56;072] >>> TWO PEOPLE TRAPPED IN THIS
[000:00:56;706] BURNING CAR.
[000:00:57;373] SEVERAL OFFICERS SMASHING
[000:00:59;676] WINDOWS TO GET TO THEM.
[000:01:01;377] >>> AND THE DISCOVERY TONIGHT.
[000:01:01;978] DOCTORS REVEALING WHAT THEY
[000:01:02;779] FOUND IN AARON HERNANDEZ'S
[000:01:03;346] BRAIN.
[000:01:06;449] THE, QUOTE, MOST SEVERE CASE
[000:01:08;051] THEY'VE EVER SEEN.
[000:01:13;189] >>> GOOD EVENING.
[000:01:14;724] AND IT'S GREAT TO HAVE YOU WITH
[000:01:15;358] US HERE ON A THURSDAY NIGHT.
[000:01:17;360] AND WE BEGIN WITH THAT RACE
[000:01:17;927] AGAINST TIME IN MEXICO CITY.
[000:01:20;029] WE WITNESSED REMARKABLE MOMENTS
[000:01:20;663] OF HEROISM TODAY.
[000:01:23;066] THE RESCUE CREWS THAT HAVE NOT
[000:01:24;634] GIVEN UP.
[000:01:25;368] SOME HAVE BEEN ABLE TO PULL
[000:01:27;237] PEOPLE TO SAFETY AMID SO MANY
[000:01:27;837] COLLAPSED BUILDINGS.
[000:01:29;839] THE DESPERATE SCRAMBLE NOW TO
[000:01:31;407] FIND THE MISSING, WITH HOPE
[000:01:32;108] BEGINNING TO FADE.
[000:01:34;110] BUT THERE WAS THIS.
[000:01:36;613] SOME OF THE SMALLEST SURVIVORS
[000:01:37;380] BEING PULLED OUT ALIVE, WHICH IS
[000:01:39;716] WHY THEY KEEP GOING TONIGHT.
[000:01:40;283] ABC'S MATT GUTMAN IS IN MEXICO
[000:01:42;852] CITY, WHERE THEY ARE AFRAID THE
[000:01:43;486] BUILDING HE'S REPORTING FROM
[000:01:44;087] COULD COME DOWN.
[000:01:49;159] >> Reporter: TONIGHT, 48 HOURS
[000:01:49;793] AFTER THE EARTH SHOOK AND THE
[000:01:52;729] BUILDINGS HERE CAME DOWN, NEW
[000:01:53;329] IMAGES OF SURVIVORS BEING PULLED
[000:01:53;963] FROM TOMBS OF RUBBLE.
[000:01:57;400] THESE MEXICAN FIREFIGHTERS
[000:01:58;434] EASING THIS WOMAN OUT A HOLE IN
[000:01:59;068] THE CEILING.
[000:02:01;571] FIRST, THE LEGS, AND THEN
[000:02:02;605] GENTLY, THE REST OF HER BODY.
[000:02:08;211] SHE EMERGES WITH THAT LOOK OF
[000:02:09;412] SHOCK, AND THOSE TEARS.
[000:02:13;349] OVER 50 PEOPLE HAVE BEEN RESCUED
[000:02:14;050] HERE SINCE THAT MASSIVE 7.1
[000:02:17;353] MAGNITUDE QUAKE ON TUESDAY.
[000:02:21;357] BUT TONIGHT, THERE ARE STILL
[000:02:23;426] FAMILIES WAITING BY THE LISTS OF
[000:02:25;028] THE MISSING.
[000:02:25;361] DESPERATE FOR WORD OF LOVED
[000:02:25;929] ONES.
[000:02:28;598] THE L.A. COUNTY FIRE DEPARTMENT
[000:02:29;699] RESCUE TEAM ARRIVING WITH
[000:02:31;201] SPECIALIZED EQUIPMENT TO ASSIST
[000:02:32;101] IN THE SEARCHES.
[000:02:37;373] AMONG THE MOST DRAMATIC RESCUES,
[000:02:38;141] THESE CHILDREN AT THE ENRIQUE
[000:02:41;377] REBSAMEN SCHOOL.
[000:02:44;113] BYSTANDERS PRYING AT THE
[000:02:44;747] CONCRETE, COAXING THE TERRIFIED
[000:02:45;381] CHILDREN THROUGH A GAP IN THE
[000:02:45;982] WALL.
[000:02:47;350] FINALLY SCOOPING THEM UP,
[000:02:48;384] SCREAMING, BUT ALIVE.
[000:02:55;658] AFTER MORE THAN 36 HOURS, THE
[000:02:56;259] ENTIRE NATION WAS TRANSFIXED ON
[000:02:57;360] THIS FLATTENED SCHOOL, HOPING TO
[000:02:58;795] SEE ONE MORE CHILD RESCUED.
[000:03:01;397] THE EDUCATION MINISTER TELLING
[000:03:02;131] ME THEY BELIEVED A YOUNG GIRL
[000:03:02;732] WAS INSIDE.
[000:03:07;570] >> AS THE RESCUE TEAMS INSIDE
[000:03:09;672] TOLD YOU, THEY MADE CONTACT WITH
[000:03:10;773] HER.
[000:03:11;608] >> Reporter: THEY HEARD HER
[000:03:12;642] VOICE?
[000:03:13;142] >> YES.
[000:03:13;376] YES.
[000:03:13;676] THE RESCUE TEAMS HEARD HER
[000:03:15;245] VOICE.
[000:03:15;445] >> Reporter: TEAMS OF THOUSANDS
[000:03:17;380] OF RESCUERS AND VOLUNTEERS,
[000:03:18;348] DOGS, THOSE SENSITIVE
[000:03:18;815] MICROPHONES AND THE ENDLESS
[000:03:19;382] BUCKET BRIGADES DIGGING THROUGH
[000:03:20;016] THE RUBBLE.
[000:03:22;518] WHAT BRINGS EVERYTHING HOME IS
[000:03:26;055] SEEING WHERE THEY'VE DEPOSITED
[000:03:28;424] ALL OF THE CHILDREN'S BELONGINGS
[000:03:29;525] HERE.
[000:03:30;793] BOOKBAGS, NOTEBOOKS AND TOYS.
[000:03:31;394] AND THOSE DESPERATE DEMANDS FOR
[000:03:32;228] SILENCE.
[000:03:32;462] >> SILENCIO TOTAL.
[000:03:35;999] SILENCIO TOTAL POR FAVOR.
[000:03:36;532] >> Reporter: BUT LATE TODAY, THE
[000:03:37;367] STUNNING ANNOUNCEMENT.
[000:03:41;371] OFFICIALS ANNOUNCING THERE WAS
[000:03:42;272] NO GIRL AFTER ALL.
[000:03:42;672] ALL THE STUDENTS ARE ACCOUNTED
[000:03:45;375] FOR, 19 LOSING THEIR LIVES HERE.
[000:03:49;379] WHAT YOU'RE CERTAIN IS, THERE
[000:03:52;282] ARE NO KIDS FROM THIS SCHOOL
[000:03:57;020] STILL IN THE RUBBLE.
[000:03:58;288] >> NO, FOR CERTAIN.
[000:03:59;355] >> Reporter: AND MATT GUTMAN
[000:03:59;956] REPORTING IN NOW.
[000:04:00;356] AND I UNDERSTAND THEY'RE WORRIED
[000:04:00;990] THAT BUILDING RIGHT THERE BEHIND
[000:04:01;624] YOU COULD COME DOWN?
[000:04:02;058] >> Reporter: THAT'S RIGHT,
[000:04:02;625] DAVID.
[000:04:02;825] YOU CAN SEE THE CHAOS BEHIND ME.
[000:04:03;459] EVERYBODY HERE IS BEING
[000:04:04;093] EVACUATED.
[000:04:05;395] THE CONCERN IS FOR THE OTHER
[000:04:06;095] SIDE OF THE BUILDING.
[000:04:06;562] NOW, THE BUILDING YOU SEE BEHIND
[000:04:08;197] ME, THAT IS THE SCHOOL THAT
[000:04:09;232] COLLAPSED, WHERE THOSE CHILDREN
[000:04:09;866] WERE KILLED.
[000:04:10;166] AND NOW THEY'RE LITERALLY
[000:04:10;800] PUSHING US OUT OF THIS PLACE,
[000:04:11;401] BECAUSE IT'S SIMPLY TOO
[000:04:11;901] DANGEROUS.
[000:04:13;369] DAVID?
[000:04:13;569] >> ALL RIGHT, MATT GUTMAN WITH
[000:04:14;270] US AGAIN TONIGHT FROM MEXICO
[000:04:14;938] CITY.
[000:04:16;506] MATT, THANK YOU.
[000:04:16;906] >>> WE TURN NEXT HERE TO THE
[000:04:17;507] CATASTROPHIC DAMAGE IN PUERTO
[000:04:20;209] RICO.
[000:04:21;210] HOME TO 3.5 MILLION AMERICAN
[000:04:21;811] CITIZENS.
[000:04:23;780] HURRICANE MARIA, THE WORST STORM
[000:04:24;414] TO BATTER THAT ISLAND IN NEARLY
[000:04:25;381] A CENTURY.
[000:04:27;951] AND FOR THE FIRST TIME, RIGHT
[000:04:28;551] HERE TONIGHT, OUR ROB MARCIANO
[000:04:29;519] TAKES US TO THE PART OF THE
[000:04:31;087] ISLAND WHERE THE HURRICANE MADE
[000:04:32;221] LANDFALL.
[000:04:35;224] THERE WAS A WOMAN WHO WAVED HIM
[000:04:35;858] IN, AND WHAT HE SAW WHEN HE WENT
[000:04:36;492] INSIDE.
[000:04:38;861] >> Reporter: TONIGHT, IN
[000:04:39;896] PUERTO RICO, THE FIRST LOOK AT
[000:04:43;032] HURRICANE MARIA'S WRATH, AS
[000:04:44;100] THOUSANDS OF FAMILIES FACE A
[000:04:44;701] DIFFICULT NIGHT AND AN UNCERTAIN
[000:04:45;335] FUTURE.
[000:04:49;372] AS THE STORM BORE DOWN ON THE
[000:04:50;206] ISLAND, MANY HAD NO SAFE PLACE
[000:04:50;840] TO GO.
[000:04:53;376] THOSE FEROCIOUS
[000:04:55;011] 155-MILE-PER-HOUR WINDS, THE
[000:04:55;611] MOST POWERFUL SEEN HERE IN
[000:04:56;212] GENERATIONS.
[000:04:58;648] THE ENTIRE ISLAND STILL WITHOUT
[000:05:00;750] POWER.
[000:05:00;950] WE HEADED SOUTH TO WHERE MARIA
[000:05:01;584] MADE LANDFALL.
[000:05:03;319] NOW THAT WE'RE SOUTH OF TOWN,
[000:05:04;887] WE'RE SEEING SOME DAMAGE THAT
[000:05:05;922] ACTUALLY LOOKS ALMOST LIKE A
[000:05:06;522] TORNADO CAME THROUGH.
[000:05:08;191] CLEARLY, THIS IS THE PATH OF THE
[000:05:11;627] EYE WHEN IT CAME THROUGH.
[000:05:13;363] MILLIONS OF TREES OBLITERATED.
[000:05:16;833] IN YOBACOA, THE TOWN DECIMATED
[000:05:17;467] BY A DIRECT HIT, WE FIND
[000:05:18;001] DESPERATE RESIDENTS LINING UP
[000:05:18;901] FOR WATER THAT'S BEEN TRUCKED
[000:05:19;502] IN.
[000:05:21;371] >> WE NEED DIESEL FOR THE
[000:05:21;904] GENERATOR.
[000:05:22;572] WE NEED LIGHT.
[000:05:23;072] WE NEED WATER.
[000:05:25;174] >> Reporter: CAREGIVER MARIA
[000:05:26;209] ORTEZ FLAGGED US DOWN.
[000:05:28;811] >> WE CAN'T LET THEM DIE.
[000:05:29;846] WE CAN'T LET THEM DIE.
[000:05:32;215] WE NEED HELP, WE NEED ALL THE
[000:05:33;349] HELP WE CAN GET.
[000:05:36;085] >> Reporter: SHE TAKES US TO HER
[000:05:36;719] NURSING HOME, NOW ON THE BRINK.
[000:05:41;324] HARROWING SCENES INSIDE.
[000:05:41;824] THIS MAN, CLINGING TO LIFE.
[000:05:43;359] NOW I SEE, WHEN THAT GENERATOR
[000:05:44;193] RUNS OUT --
[000:05:46;462] >> WHAT ARE WE GOING TO DO?
[000:05:47;030] WHAT ARE WE GOING TO DO?
[000:05:49;365] >> Reporter: 11 PATIENTS, ALL
[000:05:50;199] FRAIL, DEHYDRATING IN THE
[000:05:51;701] SWELTERING ROOMS.
[000:05:53;369] SOME WITH ALZHEIMER'S.
[000:05:54;270] >> THAT'S ALL THEY HAVE NOW IS
[000:05:58;441] ME.
[000:05:58;608] THAT'S ALL THEY HAVE.
[000:06:00;543] >> Reporter: COMMUNITIES ALL
[000:06:01;144] AROUND PUERTO RICO IN DIRE
[000:06:01;711] CONDITIONS.
[000:06:03;112] THE GOVERNOR OUT WITH THE
[000:06:05;381] NATIONAL GUARD OVERNIGHT OUTSIDE
[000:06:07;817] SAN JUAN RESCUING THE STRANDED.
[000:06:08;451] AND BACK AT THE NURSING HOME,
[000:06:11;988] MARIA WITH A MESSAGE FOR HER
[000:06:12;588] DAUGHTER BACK IN FLORIDA.
[000:06:14;590] >> I JUST WANT TO SAY, DANEESA,
[000:06:17;427] I LOVE YOU.
[000:06:19;796] DANEESA, I'M HERE, WE'RE ALIVE,
[000:06:20;430] I LOVE YOU.
[000:06:21;864] >> AND ROB MARCIANO REPORTING IN
[000:06:23;933] FROM SAN JUAN NOW.
[000:06:24;333] AND ROB, I WANT TO GET BACK TO
[000:06:25;535] WHAT THE CAREGIVER PLEADED FOR
[000:06:26;169] AT THE NURSING HOME.
[000:06:27;570] WATER, DIESEL, FOOD.
[000:06:29;639] ANY IDEA TONIGHT IF AUTHORITIES
[000:06:32;208] HAVE HEARD HER CALLS FOR HELP?
[000:06:33;810] >> Reporter: WELL, OUR HEARTS
[000:06:35;378] JUST GO OUT FOR HER.
[000:06:36;913] SHE ALSO NEEDS OXYGEN, SO,
[000:06:37;480] OXYGEN AND DIESEL ARE NOT
