[000:00:06;272] >>> TONIGHT BREAKING
[000:00:08;274] DEVELOPMENTS AS WE COME ON THE
[000:00:08;908] AIR.
[000:00:11;411] THE URGENT WARNING IN PUERTO
[000:00:12;012] RICO.
[000:00:12;979] THEY ARE BRACING FOR A MAJOR DAM
[000:00:14;547] TO COLLAPSE TELLING TENS OF
[000:00:16;616] THOUSANDS TO SEEK HIGHER GROUND
[000:00:17;250] IMMEDIATELY.
[000:00:20;787] AND THE NEW STORM MODELS SHOWING
[000:00:21;855] THE TRACK OF HURRICANE MARIA
[000:00:23;957] ONCE AGAIN CLOSER TO THE EAST
[000:00:24;557] COAST OF THE U.S.
[000:00:27;027] WE HAVE THE TIMING AND THE
[000:00:27;594] POSSIBLE PATH.
[000:00:31;231] >>> ALSO A MAJOR BLOW TO THE
[000:00:33;299] EFFORT TO KILL OBAMACARE.
[000:00:34;834] ONCE AGAIN, JOHN MCCAIN AND HIS
[000:00:37;437] DECISION LATE TODAY.
[000:00:39;672] JIMMY KIMMEL TWEETING HIM AND
[000:00:40;573] TONIGHT THE TWO KEY SENATORS WHO
[000:00:42;142] COULD MAKE OR BREAK THIS BILL.
[000:00:43;710] WHERE THEY STAND RIGHT NOW.
[000:00:46;780] >>> THE STUNNING MOMENT NOW DAYS
[000:00:47;414] AFTER THE EARTHQUAKE.
[000:00:48;882] THIS PERSON PULLED FROM THE
[000:00:49;449] RUBBLE ALIVE.
[000:00:51;484] >>> NORTH KOREA TONIGHT AND
[000:00:53;019] THEIR NEW WARNING RESPONDING TO
[000:00:53;653] PRESIDENT TRUMP.
[000:00:56;723] NOW PROMISING AN H-BOMB IN THE
[000:00:57;390] PACIFIC.
[000:00:59;259] >>> AND BREAKING NOW, THE
[000:01:00;827] HOSTAGE SITUATION UNFOLDING AT
[000:01:02;395] THIS HOUR INSIDE A BANK.
[000:01:04;464] SEVERAL REPORTEDLY TRAPPED
[000:01:05;031] INSIDE.
[000:01:11;771] >>> GOOD EVENING.
[000:01:12;806] IT'S GREAT TO HAVE YOU WITH US
[000:01:14;441] ON A FRIDAY NIGHT.
[000:01:15;608] WE BEGIN WITH THE URGENT
[000:01:16;976] HEADLINE FROM PUERTO RICO AT
[000:01:18;011] THIS HOUR.
[000:01:18;578] A DAM AT IMMINENT RISK OF
[000:01:20;647] FAILURE, A LIFE-THREATENING
[000:01:21;214] SITUATION.
[000:01:23;750] A MASS EVACUATION UNDER WAY.
[000:01:25;852] SOME 70,000 PEOPLE ACROSS THE
[000:01:27;654] ISLAND.
[000:01:28;421] CATASTROPHIC FLOODING AND
[000:01:28;955] MUDSLIDES ALREADY.
[000:01:32;025] THE GOVERNOR SAYING IT'S TIME TO
[000:01:32;659] GET PEOPLE OUT.
[000:01:34;627] WE BEGIN WITH ABC'S ROB MARCIANO
[000:01:37;764] ON THE SCENE TO GET TENS OF
[000:01:38;798] THOUSANDS TO HIGHER GROUND.
[000:01:39;365] ROB.
[000:01:41;935] >> Reporter: A DISASTROUS
[000:01:42;969] DEVELOPMENT HAPPENING IN PUERTO
[000:01:43;603] RICO.
[000:01:46;106] A LARGE DAM IS BEGINNING TO
[000:01:46;673] FAIL.
[000:01:47;674] TWO TOWNS AND TENS OF THOUSANDS
[000:01:50;777] OF PEOPLE IN DANGER DOWNSTREAM.
[000:01:51;411] A FLASH FLOOD EMERGENCY IN
[000:01:52;879] EFFECT RIGHT NOW.
[000:01:54;447] OFFICIALS URGING PEOPLE TO GET
[000:01:55;081] TO HIGH GROUND.
[000:01:57;050] THIS IS A LIFE-THREATENING
[000:01:57;617] SITUATION HAPPENING NOW.
[000:02:01;221] TONIGHT THE NEW EMERGENCY IN
