[000:00:01;685] APPRECIATE YOUR TIME.
[000:00:02;285] WE'LL SEE YOU IN HALF AN HOUR.
[000:00:07;991] >>> TONIGHT, SEVERAL BREAKING
[000:00:09;893] HEADLINES AS WE COME ON THE AIR.
[000:00:13;596] THE MASSACRE IN LAS VEGAS.
[000:00:15;632] POLICE BODY CAMS SHOWING
[000:00:17;867] OFFICERS RESPONDING.
[000:00:20;036] AND WHAT WE'VE JUST LEARNED
[000:00:21;104] ABOUT THE GUNMAN.
[000:00:25;041] AUTHORITIES INVESTIGATING
[000:00:25;608] WHETHER HE CHECKED INTO MULTIPLE
[000:00:27;777] HOTELS ON THE EVE OF THE
[000:00:29;112] SHOOTING.
[000:00:29;379] ALL WITH A VIEW OF THE CONCERT.
[000:00:30;013] ALSO, THE GUNMAN'S GIRLFRIEND,
[000:00:31;548] BACK IN THE U.S., BEING
[000:00:33;483] QUESTIONED BY THE FBI TONIGHT.
[000:00:34;084] PUSHED IN A WHEELCHAIR THROUGH
[000:00:34;718] THE AIRPORT.
[000:00:35;018] WHAT HAS SHE REVEALED?
[000:00:35;485] DID SHE KNOW ANYTHING?
[000:00:36;653] OUR TEAM STANDING BY.
[000:00:40;790] >>> PRESIDENT TRUMP HERE IN LAS
[000:00:41;424] VEGAS.
[000:00:41;925] WHAT HE SAID ABOUT THE
[000:00:42;959] SURVIVORS.
[000:00:43;426] THE WOUNDS HE SAW FIRST-HAND.
[000:00:47;597] AND WHAT THE PRESIDENT IS NOW
[000:00:48;598] SAYING ABOUT GUN CONTROL.
[000:00:49;132] >>> A MAJOR NEW TROPICAL SYSTEM
[000:00:49;766] CLOSING IN ON THE AMERICAN
[000:00:50;333] COAST.
[000:00:52;368] POTENTIALLY BRINGING HURRICANE
[000:00:53;002] WINDS.
[000:00:55;438] THE POSSIBLE PATHS FROM THE
[000:00:56;005] GULF, ALL THE WAY TO THE
[000:00:56;539] NORTHEAST.
[000:00:58;475] >>> IN NEW YORK CITY, NEW
[000:00:59;576] SURVEILLANCE JUST RELEASED.
[000:01:01;111] THE BOMB SUSPECT ALLEGEDLY
[000:01:02;679] CARRYING TWO CONCEALED DEVICES
[000:01:03;313] THROUGH ONE OF THE BUSIEST TRAIN
[000:01:03;947] STATIONS IN AMERICA.
[000:01:06;349] >>> AND THE MOTHER PUT BEHIND
[000:01:08;084] BARS TONIGHT AFTER REFUSING TO
[000:01:09;886] VACCINATE HER SON.
[000:01:11;521] IT'S NOW BELIEVED HE WILL BE
[000:01:12;122] VACCINATED WHILE SHE'S LOCKED
[000:01:12;722] UP.
[000:01:23;066] >>> GOOD EVENING ON THIS
[000:01:24;067] WEDNESDAY NIGHT FROM LAS VEGAS.
[000:01:25;468] AND AS WE COME ON THE AIR, WE
[000:01:26;069] ARE FOLLOWING BREAKING NEWS.
[000:01:29;005] ABC NEWS HAS LEARNED OF THE
[000:01:29;572] GUNMAN'S EXTRAORDINARY PLANNING.
[000:01:30;640] POSSIBLY CHECKING INTO MULTIPLE
[000:01:32;175] HOTELS BEFORE THE ATTACK, ALL
[000:01:34;344] WITHIN SHOOTING DISTANCE OF THAT
[000:01:36;880] CONCERT SITE.
[000:01:37;881] JUST AS WE ALSO SEE THE POLICE
[000:01:38;515] RESPONSE THROUGH THEIR BODY
[000:01:39;082] CAMS.
[000:01:44;087] THE OFFICERS TAKING COVER, THEN
[000:01:44;721] JUMPING INTO ACTION, TRYING TO
[000:01:45;755] HELP THE THOUSANDS RUNNING FOR
[000:01:46;389] THEIR LIVES.
[000:01:48;324] AND INSIDE THAT HOTEL ROOM,
[000:01:49;926] IMAGES OF HIS DEADLY ARSENAL.
[000:01:50;960] 23 WEAPONS.
[000:01:52;996] HUNDREDS OF ROUNDS OF
[000:01:53;897] AMMUNITION.
[000:01:54;197] AND WE HAVE NEW REPORTING
[000:01:55;632] TONIGHT ON THE SECURITY GUARD,
[000:01:57;233] THE FIRST PERSON TO GET TO THAT
[000:01:58;735] HOTEL HALLWAY, TO THE DOOR OF
[000:01:59;335] THAT HOTEL ROOM.
[000:02:01;871] BEFORE THE GUNMAN SHOT HIM RIGHT
[000:02:02;505] THROUGH IT.
[000:02:04;007] THAT GUARD, STILL ABLE TO TELL
[000:02:05;508] POLICE HE'D FOUND THE GUNMAN.
[000:02:08;111] ABC'S SENIOR NATIONAL
[000:02:08;611] CORRESPONDENT MATT GUTMAN
[000:02:09;879] LEADING US OFF TONIGHT.
[000:02:12;282] >> Reporter: TONIGHT, POLICE
[000:02:13;316] BODY CAMERAS REVEAL OFFICERS
[000:02:14;918] RISKING THEIR OWN LIVES AMID
[000:02:16;419] UNCEASING GUNFIRE.
[000:02:19;522] >> HEY, YOU GUYS, GET DOWN!
[000:02:21;891] GO THAT WAY!
[000:02:24;694] GET OUT OF HERE, THERE'S
[000:02:25;228] GUNSHOTS COMING FROM OVER THERE.
[000:02:25;862] GO THAT WAY!
[000:02:27;831] >> Reporter: WITH SIRENS BLARING
[000:02:28;898] AND BULLETS FLYING, OFFICERS
[000:02:31;501] HUDDLED BEHIND A WALL, TRYING TO
[000:02:33;570] PINPOINT THE SOURCE OF THE
[000:02:34;137] MAYHEM.
[000:02:35;672] >> NORTH OF THE MANDALAY BAY.
[000:02:37;907] IT'S COMING OUT OF A WINDOW.
[000:02:38;775] >> Reporter: EXHIBITING
[000:02:40;844] EXTRAORDINARY CALM, THOSE
[000:02:41;878] OFFICERS DIRECTING CONCERT-GOERS
[000:02:42;512] AWAY FROM THE SHOOTING TO
[000:02:43;046] SAFETY.
[000:02:44;013] >> THIS WAY, THIS WAY, THIS WAY.
[000:02:45;548] GO, GO, GO, GO, GO.
[000:02:48;184] THAT WAY, THAT WAY, THAT WAY.
[000:02:49;886] >> Reporter: IT WOULD BE AN HOUR
[000:02:51;788] BEFORE S.W.A.T. TEAMS BREACHED
[000:02:53;423] STEPHEN PADDOCK'S LUXURY SUITE.
[000:02:55;959] HE'D BEEN HOLED UP WITH THAT
[000:02:57;093] MASSIVE ARSENAL, 23 GUNS IN ALL.
[000:02:57;727] AND TONIGHT, THESE PHOTOS
[000:02:58;261] REVEALING THEIR DESTRUCTIVE
[000:02:58;828] POWER.
[000:03:01;231] THIS ASSAULT RIFLE, ONE OF 12
