[000:00:00;400] BACKPACK.
[000:00:02;736] THE OTHER MAN IS WEARING A BLACK
[000:00:05;705] BASEBALL CAP WITH WHITE BANDS ON
[000:00:07;707] THE BILL AND A WHITE LETTER ON
[000:00:09;342] THE FRONT.
[000:00:10;176] HE'S WEARING A WHITE V-NECK
[000:00:11;177] T-SHIRT, BEIGE PANTS, A BLACK
[000:00:11;878] HOODED COAT.
[000:00:15;582] HE'S CARRYING A DARK BACKPACK.
[000:00:17;150] THIS VIDEO SHOWS THE MEN WALKING
[000:00:18;418] TOGETHER TOWARD THE FINISH LINE.
[000:00:20;286] THE FBI SAYS THE MAN IN THE
[000:00:22;122] WHITE BASEBALL CAP FIRST
[000:00:23;556] ATTRACTED THEIR ATTENTION
[000:00:25;392] BECAUSE HE APPEARED TO BE
[000:00:31;931] PLACING ONE OF THE BOMBS.
[000:00:33;666] >> THE ONLY ONE OBSERVED TO BE
[000:00:34;401] PLANTING WHAT WE BELIEVE IS THE
[000:00:35;135] DEVICE IS SUSPECT NUMBER TWO
[000:00:37;637] WITH THE WHITE CAP.
[000:00:38;171] >> WHAT TIME DID THEY PUT THE
[000:00:38;938] DEVICES DOWN?
[000:00:39;372] >> I DON'T HAVE THE PRECISE TIME
[000:00:40;106] IN FRONT OF ME.
[000:00:40;573] IT WAS SHORTLY BEFORE THE BOMB
[000:00:41;307] BLASTS WENT OFF.
[000:00:41;775] >> Reporter: INVESTIGATORS SAY
[000:00:42;509] THEIR ATTENTION WAS FOCUSED ON
[000:00:43;243] THE MAN WITH THE WHITE HAT.
[000:00:44;344] AS THEY ANALYZED MORE PICTURES
[000:00:46;146] THEY REALIZED THE TWO SPENT TIME
[000:00:48;014] TOGETHER.
[000:00:48;381] THEY SAY THEY DID NOT SEE THE
[000:00:50;417] OTHER MAN ACTUALLY PLANTING A
[000:00:51;117] BOMB.
[000:00:54;020] >> SOMEBODY OUT THERE KNOWS
[000:00:55;522] THESE INDIVIDUALS AS FRIENDS,
[000:00:57;657] NEIGHBORS, CO-WORKERS OR FAMILY
[000:00:59;292] MEMBERS OF THE SUSPECTS.
[000:01:00;660] IT MAY BE DIFFICULT BUT THE
[000:01:01;795] NATION IS COUNTING ON THOSE WITH
[000:01:04;130] INFORMATION TO COME FORWARD AND
[000:01:04;864] PROVIDE IT TO US.
[000:01:05;498] >> Reporter: AS FOR THE BOMBS
[000:01:08;935] THEMSELVES INVESTIGATORS BELIEVE
[000:01:10;336] BOTH WERE LIKELY DETONATED BY
[000:01:11;337] ELECTRONIC REMOTE CONTROLS.
[000:01:12;972] FEDERAL AGENTS HAVE BEEN
[000:01:14;307] CANVASSING HOBBY STORES IN THE
[000:01:15;742] BOSTON AREA ASKING ABOUT RECENT
[000:01:17;744] PURCHASES OF REMOTE-CONTROLLED
[000:01:18;478] DEVICES.
[000:01:20;280] THE FBI'S HOPE IS THAT PEOPLE
[000:01:22;148] WILL SEARCH THEIR MEMORIES TO
[000:01:23;416] SEE IF THEY CAN SHED LIGHT ON
[000:01:24;851] WHAT'S NOW THE MOST IMPORTANT
[000:01:25;552] QUESTION.
[000:01:27;720] WHO ARE THESE TWO MEN?
[000:01:28;288] BRIAN?
[000:01:31;324] >> SO, PETE, THE VIDEO AND
[000:01:33;326] STILLS HAVE ONLY BEEN IN OUR
[000:01:34;661] HANDS FOR ABOUT AN HOUR NOW.
[000:01:35;795] LOOKING AT IT, WHAT CAN WE GLEAN
[000:01:36;930] FROM PHYSICAL EVIDENCE, POSSIBLE
[000:01:38;064] RELATIONSHIP BETWEEN THE TWO
[000:01:39;232] MEN?
[000:01:40;033] I HAVE LOOKED AT THE WEB
[000:01:41;334] TONIGHT.
[000:01:41;768] THERE IS ALREADY A SLEW OF
[000:01:42;769] THEORIES AS TO WHAT THE
[000:01:44;771] ICONOGRAPHY IS ON BOTH HATS.
[000:01:46;873] LEADING THEORY IS IT'S A
[000:01:48;174] BRIDGESTONE GOLF LOGO ON THE
[000:01:50;310] DARKER OF THE TWO.
[000:01:52;278] WHAT CAN BE LEARNED?
[000:01:55;615] >> Reporter: AS FOR THE
[000:01:57;317] BRIDGESTONE LOGO, THAT'S WHAT WE
[000:02:00;253] ARE TOLD BY FEDERAL
[000:02:01;788] INVESTIGATORS WHO HAVE SEEN
[000:02:02;655] THESE PICTURES FOR A WHILE BASED
[000:02:04;557] ON THEIR OWN ANALYSIS.
[000:02:06;126] ONE THING THE FBI SAID TONIGHT
[000:02:06;860] IS THAT THIS IS IN ESSENCE A
[000:02:07;560] STARTER SET OF PHOTOS.
[000:02:08;128] THEY HOPE TO KEEP LOOKING
[000:02:09;362] THROUGH THE PICTURES AND AS THEY
[000:02:10;797] COME UP WITH PICTURES THAT SHOW
[000:02:11;931] PERHAPS BETTER VIEWS AND BETTER
[000:02:13;199] RESOLUTION, THEY WILL RELEASE
[000:02:14;334] THOSE, TOO.
[000:02:14;767] THIS ISN'T IT.
[000:02:17;470] THEY HOPE TO HAVE MORE.
[000:02:19;305] >> AFTER ALL THE TALK ABOUT ALL
[000:02:21;574] THE GOOD DIGITAL IMAGES OF THE
[000:02:23;776] FINISH LINE, THE VIDEO THAT'S
[000:02:25;178] BEEN RELEASED IS SO FAR PRETTY
[000:02:27;413] STANDARD SURVEILLANCE CAMERA,
[000:02:28;681] BUILDING-MOUNTED.
[000:02:30;817] >> Reporter: RIGHT.
[000:02:32;552] HIGHEST QUALITY IN ONE SENSE AND
[000:02:33;953] ALSO A BIRD'S EYE VIEW.
[000:02:35;522] BECAUSE THE PEOPLE WHO ARE ON
[000:02:37;790] THE GROUND, THEIR VISIBILITY IS
[000:02:39;125] GOING TO BE LIMITED AS THE CROWD
[000:02:39;926] IN FRONT OF THEM BLOCKS THEIR
[000:02:40;627] VIEW.
[000:02:41;661] SECONDLY, IT'S THE SURVEILLANCE
[000:02:43;062] CAMERA THAT GIVES THEM THE
[000:02:44;898] STRATEGIC LOOK AT WHAT THESE MEN
[000:02:45;632] WERE DOING.
[000:02:46;933] IT'S MOTION VIDEO SO THEY CAN
[000:02:48;034] WATCH THEIR MOVEMENTS.
[000:02:48;635] >> ALL RIGHT.
[000:02:49;302] PETE WILLIAMS IN OUR WASHINGTON
[000:02:52;038] NEWSROOM.
[000:02:52;739] NO DOUBT A BIG STEP FORWARD IN
[000:02:53;473] THIS INVESTIGATION.
[000:02:55;708] LESTER HOLT WAS ON THE STREET IN
[000:02:58;011] BOSTON WHEN THE PHOTOS WENT
[000:03:00;813] PUBLIC AT THAT VERY MOMENT.
[000:03:01;481] HE WITNESSED THE START OF WHAT
[000:03:02;815] SOMEONE TODAY CALLED THE FIRST
[000:03:04;250] NATIONWIDE ELECTRONIC
[000:03:05;952] CROWD-SOURCED MANHUNT OF THE
[000:03:07;086] DIGITAL ERA.
[000:03:09;389] LESTER, GOOD EVENING.
[000:03:11;658] >> Reporter: BRIAN, GOOD
[000:03:12;292] EVENING.
[000:03:12;926] WHEN THE CROWD WATCHING US
[000:03:13;660] GLOMMED ONTO THE FACT WE WERE
[000:03:15;328] TALKING ABOUT PICTURES OF
[000:03:17;197] SUSPECTS, THE SMARTPHONES
[000:03:17;830] IMMEDIATELY CAME OUT.
[000:03:19;032] PEOPLE STARTED WATCHING THAT
[000:03:20;466] VIDEO.
[000:03:21;034] ONE MAN SAID TO ME, I WISH I
[000:03:25;038] KNEW THEM.
[000:03:25;572] THE PRESIDENT WAS HERE JUST A
[000:03:26;272] FEW HOURS BEFORE WE LEARNED OF
[000:03:27;006] THE SUSPECT.
[000:03:28;007] WHETHER HE KNEW ABOUT THEM OR
[000:03:28;708] NOT IS UNCLEAR.
[000:03:30;109] HE HAD A MESSAGE FOR WHOEVER DID
[000:03:36;816] THIS.
[000:03:40;520] WE WILL FIND YOU.
[000:03:42;622] BOSTONIANS STOOD FOR HOURS IN A
[000:03:47;060] LINE TEN BLOCKS LONG FOR A
[000:03:49;028] CHANCE TO PUBLICALLY SHARE THEIR
[000:03:49;762] SORROW AND EVEN THEIR FEARS.
[000:03:50;463] >> I'M SICKENED BY THIS.
[000:03:55;068] WE LIVE IN SUCH A FREE COUNTRY
[000:03:57;737] AND TO HAVE A SENSE OF
[000:04:02;842] INSECURITY.
[000:04:03;843] ♪
[000:04:05;411] >> Reporter: INSIDE THE
[000:04:06;246] CATHEDRAL, TEARS FLOWED OPENLY.
[000:04:06;980] >> WE WILL RISE IN COMMUNITY.
[000:04:09;115] >> Reporter: IN WHAT HAS BECOME
[000:04:10;950] A RITUAL OF LARGE SCALE AMERICAN
[000:04:12;685] TRAGEDIES, FAMILIES AND FIRST
[000:04:14;921] RESPONDERS ALONG WITH CIVIC
[000:04:15;922] LEADERS AND THE GENERAL PUBLIC
[000:04:16;656] TURN TO FAITH AND EACH OTHER TO
[000:04:18;191] WORK THROUGH PAIN.
[000:04:20;760] >> TOMORROW THE SUN WILL RISE
[000:04:24;163] OVER BOSTON.
[000:04:26;733] >> Reporter: PRESIDENT OBAMA IN
[000:04:27;467] AN ALL TOO FAMILIAR ROLE OF
[000:04:31;037] COMFORTER-IN-CHIEF DREW LESSONS
[000:04:31;771] FROM THE MARATHON ITSELF.
[000:04:33;973] >> SCRIPTURE TELLS US TO RUN
[000:04:38;411] WITH ENDURANCE THE RACE THAT IS
[000:04:39;145] SET BEFORE US.
[000:04:40;813] >> Reporter: THE PRESIDENT ALSO
