[000:00:00;800] THIS WEEKEND.
[000:00:01;534] NO RAIN IN THE FORECAST.
[000:00:03;236] LOOKS PRETTY COMFORTABLE.
[000:00:05;505] >>> THANK YOU FOR BEING WITH US.
[000:00:07;040] WE HOPE TO SEE YOU BACK AT 6:00.
[000:00:10;443] >>> ON THE BROADCAST TONIGHT,
[000:00:11;144] OUT OF CONTROL.
[000:00:12;479] VIOLENT CLASHES AS POLICE STORM
[000:00:13;580] THOUSANDS OF PROTESTERS.
[000:00:16;616] FIRES ERUPTING AS THE CRISIS
[000:00:18;184] TAKES A FRIGHTENING TURN FOR A
[000:00:19;252] MAJOR U.S. ALLY OVERSEAS.
[000:00:20;954] OUR RICHARD ENGEL IS THERE.
[000:00:23;156] >>> DID HE ACT ALONE?
[000:00:28;962] WHAT WE'VE LEARNED TONIGHT ABOUT
[000:00:31;564] THE AMERICANONTRACTOR WHO
[000:00:33;166] EXPOSED THE U.S. SPY PROGRAM MAY
[000:00:33;900] HAVE HAD HELP.
[000:00:35;001] >>> PAYING THE PRICE, AN EYE
[000:00:35;835] OPENING NEW LOOK AT HOW THE
[000:00:36;936] NATION'S BIGGEST BANKS ARE
[000:00:38;171] MAKING MORE THAN HALF THEIR FEES
[000:00:39;105] AND A WARNING TONIGHT FOR ANYONE
[000:00:39;839] WITH A BANK ACCOUNT.
[000:00:41;408] >>> SOUNDING THE ALARM FOR
[000:00:42;509] MILLIONS OF AMERICAN BOOMERS
[000:00:44;077] LOSING THEIR HEARING EARLIER
[000:00:44;778] THAN EVER.
[000:00:46;746] WHAT DOCTORS SAY IS TO BLAME AND
[000:00:48;214] WHAT YOU CAN DO TO SLOW IT DOWN.
[000:00:50;383] "NIGHTLY NEWS" BEGINS NOW.
[000:01:00;026] >> FROM NBC NEWS WORLD
[000:01:03;329] HEADQUARTERS IN NEW YORK, THIS
[000:01:04;164] IS "NBC NIGHTLY NEWS" WITH BRIAN
[000:01:04;898] WILLIAMS.
[000:01:05;265] >>> GOOD EVENING, I'M LESTER
[000:01:06;232] HOLT IN FOR BRIAN TONIGHT.
[000:01:07;333] WE BEGIN WITH A FIERY AND
[000:01:08;168] DRAMATIC CRACKDOWN ON
[000:01:09;269] ANTI-GOVERNMENT PROTESTERS IN
[000:01:09;969] TURKEY.
[000:01:11;905] AN IMPORTANT AMERICAN ALLY
[000:01:13;373] FEELING THE HEAT TONIGHT.
[000:01:15;075] IF YOU WERE WATCHING CABLE NEWS
[000:01:16;776] TODAY, YOU SAW IT ALL UNFOLD
[000:01:17;477] LIVE.
[000:01:20;413] POLICE MOVING IN WITH TEAR GAS,
[000:01:22;949] TRYING TO REMOVE PROTESTERS FROM
[000:01:24;284] ISTANBUL'S MAIN PUBLIC SQUARE.
[000:01:25;251] AND PROTESTERS FIGHTING BACK
[000:01:25;952] WITH GASOLINE BOMBS AND
[000:01:27;420] FIREWORKS.
[000:01:30;824] PROTESTS HAVE BEEN HAPPENING IN
[000:01:32;158] TURKEY FOR TWO WEEKS NOW.
[000:01:33;359] REMARKABLE NOT ONLY FOR THEIR
[000:01:34;561] SIZE AND FERVOR, BUT BECAUSE THE
[000:01:38;832] TARGET OF ALL THAT ANGER IS A
[000:01:41;534] THREE-TIME DEMOCRATICALLY
[000:01:42;168] ELECTED PRESIDENT.
[000:01:43;503] TODAY THINGS REACHED A WHOLE NEW
[000:01:44;237] LEVEL.
