[000:00:01;167] AND ALSO, THURSDAY.
[000:00:02;335] >> ALL RIGHT, ONE LAST LOOK AT
[000:00:03;837] THE RIM FIRE.
[000:00:04;437] THANKS FOR JOINING US.
[000:00:06;973] "THE NIGHTLY NEWS" IS NEXT.
[000:00:07;540] >> BYE-BYE, SEE YOU AT 6:00.
[000:00:10;744] READY TO STRIKE?
[000:00:12;045] THE BIG DEBATE AT THE WHITE
[000:00:12;946] HOUSE OVER WHAT TO DO ABOUT
[000:00:13;747] SYRIA.
[000:00:16;883] >>> PLUS, AN NBC NEWS EXCLUSIVE.
[000:00:22;822] A DOCTOR ON THE FRONT LINES
[000:00:24;424] THERE TELLING US WHAT HE SAYS
[000:00:25;692] IS REALLY GOING ON.
[000:00:26;226] >>> STATE OF EMERGENCY.
[000:00:26;826] IN CALIFORNIA, TONIGHT AN
[000:00:27;460] OUT-OF-CONTROL WILDFIRE THE SIZE
[000:00:28;528] OF DENVER NOW RAGING INSIDE OF
[000:00:30;397] YOSEMITE.
[000:00:32;599] >>> PLUS, A FREAK HAILSTORM AND
[000:00:34;901] NOW THE THREAT OF FLASH FLOODS.
[000:00:36;136] A WILD WEEKEND AHEAD FOR
[000:00:36;770] MILLIONS.
[000:00:38;171] >>> JUDGMENT DAY FOR THE ARMY
[000:00:39;572] MAJOR ACCUSED OF A MASSACRE AT
[000:00:40;306] FT. HOOD.
[000:00:44;744] THE DEADLIEST MASS MURDER ON A
[000:00:47;113] BASE IN U.S. HISTORY.
[000:00:49;215] >>> AND GIFT OF TIME.
[000:00:51;484] THERE'S NEVER ENOUGH OF IT.
[000:00:53;987] AND WHAT WOULD YOU DO IF
[000:00:54;921] SUDDENLY YOU HAD THE TIME TO DO
[000:00:55;655] ALL OF THE THINGS YOU REALLY
[000:00:56;356] WANT?
[000:00:56;656] "NIGHTLY NEWS" BEGINS NOW.
[000:01:02;362] >> FROM NBC NEWS WORLD
[000:01:03;930] HEADQUARTERS IN NEW YORK, THIS
[000:01:05;532] IS "NBC NIGHTLY NEWS" WITH BRIAN
[000:01:06;399] WILLIAMS.
[000:01:09;335] >> GOOD EVENING.
[000:01:09;803] BRIAN IS OFF TONIGHT.
[000:01:10;370] I'M LESTER HOLT.
[000:01:12;472] >>> THERE IS WORD TONIGHT THE
[000:01:13;206] PENTAGON IS DRAWING UP MILITARY
[000:01:14;007] OPTIONS TO RESPOND TO THIS
[000:01:16;309] WEEK'S ATROCITIES IN SYRIA, AS
[000:01:19;379] THE WHITE HOUSE COMES UNDER
[000:01:20;046] INCREASING PRESSURE TO ACT.
[000:01:21;981] THOSE HORRIBLE IMAGES OF
[000:01:24;751] LIFELESS CIVILIANS KILLED BY
[000:01:26;553] WHAT THE REBELS SAY WERE
[000:01:28;455] CHEMICAL WEAPONS
[000:01:30;123] HAS SPARKED INTERNATIONAL
[000:01:31;224] OUTRAGE.
[000:01:31;558] AS THE U.S. OFFICIALS ARE TRYING
[000:01:32;292] TO CONFIRM THE NATURE OF THE
[000:01:33;827] ATTACK, NBC NEWS HAS SPOKEN TO
[000:01:34;561] ONE OF THE DOCTORS ON THE GROUND
[000:01:36;196] TREATING THE VICTIMS.
[000:01:36;763] HE SAYS THE WORLD IS IGNORING
[000:01:37;464] THEM.
[000:01:40;500] LET'S GET RIGHT TO CHUCK TODD AT
[000:01:41;534] THE WHITE HOUSE.
[000:01:43;636] CHUCK, IRAQ, AFGHANISTAN.
[000:01:45;972] IS AMERICA ABOUT TO GET INVOLVED
[000:01:46;706] IN SYRIA?
[000:01:48;608] >> Reporter: WELL, LESTER, IT
[000:01:50;643] LOOKS LIKE IN SOME FORM.
[000:01:53;880] THE PRESIDENT SEEMS TO BE
[000:01:56;249] LEANING EVERY ON SENDING SOME
[000:01:58;885] SORT OF STRIKE.
[000:01:59;986] THE QUESTION IS, WHAT DOES THAT
[000:02:00;854] MILITARY OPTION LOOK LIKE?
[000:02:03;623] RIGHT NOW THAT'S UNCLEAR AND THE
[000:02:05;592] PRESIDENT'S CLOSEST ADVISERS
[000:02:07;760] ARE DIVIDED ON THE OPTIONS THAT
[000:02:08;495] ARE IN FRONT OF THEM.
[000:02:09;062] IT IS THESE HEART-WRENCHING
[000:02:11;664] IMAGES OUT OF SYRIA,
[000:02:13;633] LIFELESS BODIES, MANY OF THEM
[000:02:15;635] CHILDREN, ALLEGEDLY
[000:02:16;536] VICTIMS OF BRUTAL CHEMICAL
[000:02:18;538] WEAPON ATTACKS THAT ACCELERATED
[000:02:19;272] THE DEBATE IN WASHINGTON.
