[000:00:00;734] >> THANK YOU.
[000:00:01;534] LESTER HOLT JOINS US NOW FROM
[000:00:03;770] SOUTH KOREA.
[000:00:04;304] THANKS FOR TUNING IN.
[000:00:05;772] >> SEE YOU BACK HERE AT 6:00.
[000:00:07;007] GOOD NIGHT.
[000:00:10;777] >>> TONIGHT, CHEMICAL
[000:00:12;345] ATTACK.
[000:00:13;413] CHILDREN GASPING FOR
[000:00:15;015] AIR, ASSAD BLAMED FOR
[000:00:16;616] A GRISLY MASSACRE ON
[000:00:18;184] HIS OWN PEOPLE.
[000:00:19;252] ONE OF THE DEADLIEST
[000:00:20;320] OF ITS KIND IN SYRIA'S
[000:00:21;388] SIX YEARS CIVIL WAR.
[000:00:23;523] >>> RUSSIAN
[000:00:24;557] INVESTIGATION
[000:00:26;159] DIVERSIONS, FIRST THE
[000:00:27;227] WIRETAP CLAIM WITHOUT
[000:00:27;994] EVIDENCE, NOW THE
[000:00:28;828] TRUMP ADMINISTRATION
[000:00:29;896] ACCUSES OBAMA'S
[000:00:30;930] NATIONAL SECURITY
[000:00:31;631] ADVISOR OF DIRTY
[000:00:32;532] TRICKS.
[000:00:33;600] SUSAN RICE FIRES BACK
[000:00:34;667] ONLY TO NBC NEWS.
[000:00:38;371] >>> ADVERTISERS REVOLT
[000:00:39;439] ON BILL O'REILLY.
[000:00:41;041] AT LEAST A DOZEN
[000:00:41;741] COMPANIES PULL THEIR
[000:00:42;609] ADS FOLLOWING
[000:00:43;676] COMPLAINTS OF SEXUAL
[000:00:45;278] HARASSMENT.
[000:00:46;880] >>> INTERNET PRIVACY
[000:00:47;647] RULES ROLLED BACK,
[000:00:48;982] INTERNET PROVIDERS
[000:00:49;716] ALLOWED TO SELL YOUR
[000:00:50;583] BROWSING HISTORY
[000:00:51;284] WITHOUT YOUR
[000:00:52;719] PERMISSION.
[000:00:53;319] TONIGHT, HOW TO SHIELD
[000:00:54;287] YOUR INFORMATION.
[000:00:56;423] >>> FRONT LINES HERE
[000:00:57;490] IN SOUTH KOREA WITH
[000:00:58;558] THE AMERICANS THAT
[000:00:59;592] COULD BE CALLED INTO
[000:01:00;660] ACTION.
[000:01:01;728] "NIGHTLY NEWS" BEGINS
[000:01:02;796] RIGHT NOW.
[000:01:08;635] >> Announcer: THIS IS
[000:01:10;236] "NBC NIGHTLY NEWS"
[000:01:11;304] WITH LESTER HOLT,
[000:01:12;338] REPORTING TONIGHT FROM
[000:01:13;406] SOUTH KOREA.
[000:01:18;378] >>> GOOD EVENING TO
[000:01:19;179] OUR VIEWERS IN THE
[000:01:22;348] WEST.
[000:01:22;849] WE ARE ONCE AGAIN IN
[000:01:23;650] THE AIRBASE IN SOUTH
[000:01:26;519] KOREA.
[000:01:27;020] WHERE WE
[000:01:27;554] LEARNED MOMENTS AGO
[000:01:28;288] FROM SOUTH KOREAN
[000:01:28;988] OFFICIALS, THEY HAVE
[000:01:29;756] FILED A MISSILE INTO
[000:01:30;723] THE's SEA, ALSO KNOWN
[000:01:31;491] AS THE SEA OF JAPAN.
[000:01:35;495] AS WE TOLD YOU THOSE
[000:01:36;262] LAUNCHES ARE
[000:01:37;097] IDENTIFIED AND TRACKED
[000:01:42;936] AND IDENTIFIED ON THIS
[000:01:43;703] BASE.
[000:01:44;204] THIS MOVE HIGHLIGHTS
[000:01:44;971] HOW TENSE THINGS ARE
[000:01:45;738] IN THIS REGION AND WHY
[000:01:47;173] AMERICANS REMAIN IN A
[000:01:47;941] HIGH STATE OF
[000:01:48;575] READINESS.
[000:01:49;309] WE SPENT TIME WITH
[000:01:50;376] SOME TODAY AND MORE ON
[000:01:51;444] THEIR TRAINING IN JUST
[000:01:52;212] A MOMENT.
[000:01:55;682] >>> AND ANOTHER
[000:01:56;749] TROUBLE SPOT OVERSEAS,
[000:01:57;817] SYRIA, THE WORLD
[000:01:58;518] REACTING WITH HORROR
[000:01:59;919] AND REVULSION TO THE
[000:02:00;987] APPARENT POISON GAS
[000:02:02;055] ATTACK THAT KILLED
[000:02:04;724] DOZENS OF CIVILIANS
[000:02:05;792] AND SICKENED DOZENS
[000:02:07;894] MORE, MANY SMALL
[000:02:08;595] CHILDREN.
[000:02:09;496] THE WHITE HOUSE
[000:02:10;163] TONIGHT POINTING THE
[000:02:12;132] FINGER OF BLAME TO
[000:02:13;199] SYRIAN PRESIDENT
[000:02:14;801] ASSAD, ALSO CALLING
[000:02:15;535] OUT THE OBAMA
[000:02:16;169] ADMINISTRATION,
[000:02:17;470] SUGGESTING IF IT STOOD
[000:02:18;238] UP TO ASSAD DURING ITS
[000:02:19;038] WATCH, THIS MIGHT NOT
[000:02:20;106] HAVE HAPPENED.
[000:02:22;775] NOW, IS PRESIDENT
[000:02:23;476] TRUMP WILLING TO STEP
[000:02:24;244] IN?
[000:02:25;411] A WORD OF CAUTION.
[000:02:26;479] THERE ARE UPSETTING
[000:02:28;615] IMAGES IN THIS REPORT.
[000:02:29;649] RICHARD ENGEL HAS THE
[000:02:30;416] LATEST.
[000:02:32;852] >> Reporter: THESE
[000:02:33;920] DISTURBING IMAGES
[000:02:35;488] TAKEN JUST AFTER THE
[000:02:36;556] EXPLOSION.
[000:02:37;624] WITNESSES SAY IT WAS A
[000:02:38;691] CHEMICAL WEAPONS
[000:02:39;726] ATTACK.
[000:02:40;260] IN THE VIDEO IT
[000:02:41;327] APPEARS TO BEAR ALL
[000:02:42;395] THE HALLMARKS.
[000:02:44;497] THIS BOY, USING ALL
[000:02:45;231] HIS STRENGTH JUST TO
[000:02:46;633] BREATHE.
[000:02:48;234] FIRST RESPONDERS
[000:02:49;302] DOUSED THE VICTIMS
[000:02:50;370] WITH WATER AND
[000:02:51;437] STRIPPED OFF THEIR
[000:02:52;172] CLOTHES TO WASH OFF
[000:02:53;006] WHAT THEY SAID WAS A
[000:02:54;073] CHEMICAL WEAPON.
[000:02:55;675] MEDICS AND VOLUNTEERS
[000:02:56;743] IN THIS REBEL
[000:02:57;810] CONTROLLED PART OF
[000:02:58;845] SYRIA RUSHED THE
[000:02:59;546] INJURED TO LOCAL
[000:03:00;980] CLINICS, THEY CLAIM
[000:03:02;048] SYRIAN PRESIDENT
[000:03:03;650] BASHAR AL ASSAD'S
[000:03:05;218] REGIME FIRED WITH A
[000:03:06;286] CHEMICAL NERVE AGENT
[000:03:07;353] BANNED, SARIN.
[000:03:09;489] >> NO ONE IS DOING
[000:03:10;523] ANYTHING TO STOP THESE
[000:03:12;125] DEATH ATTACKS.
[000:03:13;726] >> Reporter: OTHER
[000:03:15;295] VICTIMS WERE TAKEN TO
[000:03:17;430] A MAKESHIFT CLINIC
[000:03:19;032] BUILT IN A CAVE TO
[000:03:21;668] PROTECT IT.
[000:03:23;269] THERE, A FATHER KISSED
[000:03:24;337] HIS DAUGHTER GOOD-BYE.
[000:03:25;939] NEARBY, THIS ACTIVIST
[000:03:27;006] WAS RECORDING WHAT HE
[000:03:28;074] WAS SEEING, SAYING
[000:03:29;108] WARPLANES WERE STILL
[000:03:30;710] OVERHEAD, THEN --
[000:03:32;312] HOSPITALS ARE OFTEN
[000:03:33;880] TARGETED IN THIS WAR
[000:03:34;948] THAT RESPECTS NO
[000:03:36;015] CONVENTIONS.
[000:03:36;616] AMAZINGLY, THE
[000:03:38;151] ACTIVIST SURVIVED.
[000:03:39;719] IN 2013, THE U.S.
[000:03:41;321] THREATENED WAR WHEN
[000:03:42;388] MORE THAN 1,000 PEOPLE
[000:03:43;990] WERE KILLED IN ANOTHER
[000:03:45;024] ALLEGED CHEMICAL
[000:03:46;092] ATTACK.
[000:03:47;160] PRESIDENT OBAMA HAD
[000:03:48;761] WARNED THE USE OF
[000:03:49;796] CHEMICAL WEAPONS WOULD
[000:03:50;863] CROSS A RED LINE.
[000:03:51;931] BUT WHEN RUSSIA
[000:03:52;999] BROKERED A DEAL, A
[000:03:53;733] U.S. MILITARY RESPONSE
[000:03:55;134] NEVER CAME.
[000:03:56;202] IN A STATEMENT ON
[000:03:57;270] TODAY'S ATTACK,
[000:03:58;304] PRESIDENT TRUMP SAID
[000:03:59;372] THESE HEINOUS ACTIONS
[000:04:00;974] BY THE BASHAR AL ASSAD
[000:04:02;041] REGIME ARE A
[000:04:03;076] CONSEQUENCE OF THE
[000:04:04;143] PAST ADMINISTRATION'S
[000:04:04;911] WEAKNESS.
[000:04:05;745] A U.S. INTELLIGENCE
[000:04:06;813] OFFICIAL TELLS NBC
[000:04:07;547] NEWS TONIGHT WHILE
[000:04:08;414] DETAILS ARE STILL
[000:04:09;482] COMING IN IT APPEARS
[000:04:10;516] THIS WAS ACTUALLY A
[000:04:11;584] CHEMICAL ATTACK.
[000:04:13;720] THE SYRIAN ARMY DENIES
[000:04:14;787] IT USED CHEMICAL
[000:04:15;822] WEAPONS.
[000:04:17;423] LESTER.
[000:04:18;491] >> RICHARD ENGEL
[000:04:19;559] TONIGHT, THANK YOU.
[000:04:20;593] >>> TURNING BACK HOME
[000:04:21;361] TO THE DRAMA OVER THE
[000:04:22;729] RUSSIAN INVESTIGATION
[000:04:23;796] AND WHAT CRITICS ARE
[000:04:24;564] CALLING REPEATED
[000:04:25;398] ATTEMPTS BY PRESIDENT
[000:04:26;466] TRUMP AND THE WHITE
[000:04:27;533] HOUSE TO DEFLECT
[000:04:28;568] ATTENTION AWAY FROM
[000:04:29;636] IT.
[000:04:30;169] THEIR LATEST TARGET,
[000:04:32;305] FORMER NATIONAL
[000:04:32;972] SECURITY ADVISOR,
[000:04:33;873] SUSAN RICE.
[000:04:35;475] RICE IS FIRING BACK
[000:04:46;619] EXCLUSIVELY TO NNS
[000:04:48;187] NBC'S ANDREA MITCHELL.
[000:04:49;622] >> Reporter: FOR MORE
[000:04:50;390] THAN A MONTH IT'S BEEN
[000:04:51;157] THE TWEET THAT LOOMED
[000:04:51;924] OVER THE PRESIDENT
[000:04:52;659] WITHOUT ANY EVIDENCE
[000:04:53;426] MR. TRUMP TWEETING
[000:04:54;160] TERRIBLE.
[000:04:54;727] JUST FOUND OUT OBAMA
[000:04:55;495] HAD MY WIRED TAPPED IN
[000:04:56;262] TRUMP TOWER, A CHARGE
[000:04:57;030] IMMEDIATELY SHOT DOWN
[000:04:57;797] BY REPUBLICANS.
[000:04:58;464] HAVE YOU SEEN ANY
[000:04:59;165] EVIDENCE TRUMP TOWER
[000:04:59;932] WAS WIRETAPPED?
[000:05:00;600] >> SEEN NO EVIDENCE
[000:05:01;334] WHATSOEVER.
[000:05:01;934] >> NO SUCH WIRETAP
[000:05:02;669] EXISTED.
[000:05:03;202] >> Reporter: EVEN A
[000:05:03;936] RARE REBUKE FROM THE
[000:05:04;704] FBI DIRECTOR.
[000:05:05;338] >> I HAVE NO
[000:05:05;972] INFORMATION THAT
[000:05:06;673] SUPPORTS THOSE TWEETS.
[000:05:07;440] >> Reporter: JAMES
[000:05:08;174] COMEY DROPPING A
[000:05:09;075] BOMBSHELL THEY ARE
[000:05:09;809] INVESTIGATING WHETHER
[000:05:10;677] THERE WAS HACKING AND
[000:05:12;278] THE HOUSE INTELLIGENCE
[000:05:13;880] CHAIRMAN, DEVIN NUNES
[000:05:16;516] CLAIMING HE HAS SEEN
[000:05:20;253] INTEL TRUMP TRANSITION
[000:05:21;287] OFFICIALS WERE SWEPT
[000:05:22;889] UP IN LEGAL
[000:05:23;956] SURVEILLANCE LEADING
[000:05:25;024] THE PRESIDENT TO SAY
[000:05:26;092] HE FELT VINDICATED.
[000:05:27;160] >> I SOMEWHAT DO, I
[000:05:27;894] MUST TELL YOU, I
[000:05:28;594] SOMEWHAT DO.
[000:05:29;295] >> Reporter: NUNES
[000:05:30;330] WALKS BACK HIS CHARGE
[000:05:31;397] AND THE "NEW YORK
[000:05:32;465] TIMES" REPORTS THE
[000:05:33;199] INFORMATION HE USED
[000:05:34;067] CAME FROM THE WHITE
