[000:00:00;400] PRONOUNCE THEM.
[000:00:01;001] >> SO IMPRESSIVE.
[000:00:02;969] >> THANK YOU FOR JOINING US AT
[000:00:07;607] 5:00.
[000:00:08;541] WE HAVE NIGHTLY NEWS UP NEXT.
[000:00:13;980] >>> TONIGHT, SHOCK
[000:00:14;714] WAVES, NEW IMAGES OF
[000:00:15;515] CHILDREN CAUGHT IN THE
[000:00:17;050] HORRIFIC ATTACK IN
[000:00:18;084] SYRIA.
[000:00:18;618] PRESIDENT TRUMP
[000:00:21;521] CALLING IT AN AFRONT
[000:00:23;990] TO HUMANITY.
[000:00:25;592] >>> TIME HAS RUN OUT
[000:00:26;626] FOR NORTH KOREA.
[000:00:27;927] >>> SHAKE-UP, TOP
[000:00:31;064] TRUMP AIDE STEVE
[000:00:34;467] BANNON SUDDENLY
[000:00:38;671] REMOVED FROM A
[000:00:39;539] POWERFUL SEAT AT THE
[000:00:41;107] TABLE AS PRESIDENT
[000:00:43;009] TRUMP WITHOUT ANY
[000:00:45;512] EVIDENCE SAYS SUSAN
[000:00:48;181] RICE MAY HAVE
[000:00:48;815] COMMITTED A CRIME.
[000:00:50;750] >>> O'REILLY REVOLT.
[000:00:51;518] MORE ADVERTISERS BAIL
[000:00:54;921] AS BILL O'REILLY GAINS
[000:00:56;456] A POWERFUL DEFENDER.
[000:00:57;490] >>> TORNADO EMERGENCY,
[000:00:58;558] HOMES DEMOLISHED AS
[000:00:59;592] SEVERE STORMS RUMBLE
[000:01:00;360] ACROSS THE SOUTH.
[000:01:01;127] ALERTS TONIGHT FOR
[000:01:02;195] MILLIONS.
[000:01:03;229] >> AMAZON REFUNDS, $70
[000:01:04;264] MILLION COMING TO
[000:01:05;298] CUSTOMERS.
[000:01:06;332] WHO IS GETTING MONEY
[000:01:07;400] BACK?
[000:01:08;435] >>> AND FROM CENTER
[000:01:09;469] FIELD TO CENTER STAGE,
[000:01:10;503] A BELOVED BASEBALL
[000:01:11;538] SLUGGER INSPIRING
