[000:00:00;867] IT'S UNHABITABLE.
[000:00:02;702] IT HAS TO BE TORN DOWN.
[000:00:04;471] MAKE YOUR BIDS NOW.
[000:00:05;739] >> FOR THE PROPERTY, FOR THE
[000:00:07;007] LAND.
[000:00:07;240] THANKS SO MUCH.
[000:00:11;378] >>> BREAKING NEWS TONIGHT.
[000:00:12;512] DOUBLE DISASTERS UNFOLDING AS WE
[000:00:13;646] COME ON THE AIR.
[000:00:17;083] HURRICANE MARIA HAMMERING PUERTO
[000:00:17;917] RICO WITH A DIRECT HIT.
[000:00:19;319] STILL A MONSTER STORM.
[000:00:20;754] THE STRONGEST TO SLAM ASHORE ON
[000:00:23;023] THAT AMERICAN ISLAND IN NEARLY A
[000:00:25;859] CENTURY.
[000:00:27;594] POWER REPORTEDLY KNOCKED OUT TO
[000:00:29;029] 100% OF THE ISLAND.
[000:00:29;863] TORRENTIAL RAIN, AS MUCH AS TWO
[000:00:30;597] FEET.
[000:00:31;297] LIFE-THREATENING FLOODS TURNING
[000:00:33;033] ROADS INTO RAGING RIVERS.
[000:00:34;434] OUR TEAM IS THERE, AND AL ROKER
[000:00:36;403] IS TRACKING THE DANGER.
[000:00:38;104] WHILE IN MEXICO, A RACE AGAINST
[000:00:39;539] TIME AFTER THAT POWERFUL
[000:00:42;075] EARTHQUAKE.
[000:00:44;077] FIRST RESPONDERS AND VOLUNTEERS
[000:00:45;512] DIGGING TO RESCUE SURVIVORS IN
[000:00:46;946] THE RUBBLE, INCLUDING CHILDREN
[000:00:47;680] TRAPPED WHEN THEIR SCHOOL
[000:00:48;314] COLLAPSED.
[000:00:52;919] THE DEATH TOLL SOARING INTO THE
[000:00:53;653] HUNDREDS FROM THE QUAKE THAT
[000:00:54;354] LEVELED BUILDINGS AND SPARKED
[000:00:58;024] EXPLOSIONS.
[000:00:58;591] TONIGHT WE'RE LIVE FROM BOTH
[000:00:59;292] DISASTER ZONES.
[000:00:59;759] "NIGHTLY NEWS" BEGINS RIGHT NOW.
[000:01:07;133] >>> FROM NBC NEWS WORLD
[000:01:09;669] HEADQUARTERS IN NEW YORK, THIS
[000:01:16;509] IS NBC "NIGHTLY NEWS" WITH
[000:01:17;177] LESTER HOLT.
[000:01:20;480] GOOD EVENING, AS WE COME ON THE
[000:01:21;714] AIR ON THE WEST COAST.
[000:01:22;982] HORRIFIC IMAGES OF DESTRUCTION
[000:01:23;716] AND MISERY ARE COMING OUT OF
[000:01:24;417] MEXICO AND PUERTO RICO TONIGHT
[000:01:25;151] FRAMING MUCH OF THIS NEWSCAST
[000:01:25;852] THIS EVENING.
[000:01:26;386] TWO MAJOR NATURAL DISASTERS
[000:01:27;053] STILL UNFOLDING AND IMPACTING
[000:01:30;356] MILLIONS LIVING HERE OUTSIDE THE
[000:01:31;524] DISASTER ZONE.
[000:01:31;991] FAMILIES ANXIOUS TO KNOW THE
[000:01:32;725] FATES OF LOVED ONES.
[000:01:34;928] IN A FEW MOMENTS WE'LL TAKE YOU
[000:01:37;497] TO EARTHQUAKE-STRICKEN MEXICO
[000:01:38;631] CITY WHERE RESCUERS ARE INTENTLY
[000:01:39;732] LISTENING FOR SOUNDS OF LIFE IN
[000:01:40;467] THEIR DESPERATE SEARCH FOR
[000:01:41;134] SURVIVORS.
[000:01:42;869] BUT FIRST TO PUERTO RICO WHERE
[000:01:44;304] HUNDREDS OF HOMES ARE DAMAGED OR
[000:01:46;873] DESTROYED, STREETS ARE FLOODED
[000:01:48;875] AND 100% OF THAT U.S. ISLAND IS
[000:01:50;844] WITHOUT POWER AFTER HURRICANE
[000:01:53;413] MARIA SLAMMED ASHORE WITH
[000:01:55;115] 115-MILE-AN-HOUR WINDS TODAY.
[000:02:00;220] OUR TEAM IS ON THE GROUND.
[000:02:01;087] WE WANT TO GET RIGHT TO GABE
[000:02:01;788] GUTIERREZ WHO LEADS OFF OUR
[000:02:02;455] COVERAGE TONIGHT.
[000:02:03;656] GABE, GOOD EVENING.
[000:02:05;658] >> Reporter: LESTER, GOOD
[000:02:06;292] EVENING.
[000:02:07;060] THE POWER OF THIS STORM WAS
[000:02:07;727] IMMENSE.
[000:02:08;761] WE'VE BEEN SEEING OVERTURNED
[000:02:09;929] CARS AND COLLAPSED BUILDINGS.
[000:02:11;364] IT IS DIFFICULT TO GET AROUND
[000:02:13;333] SAN JUAN TONIGHT.
[000:02:14;467] MANY STREETS ARE FLOODED.
[000:02:15;101] OTHERS ARE JUST SIMPLY
[000:02:15;702] IMPASSABLE.
[000:02:17;070] THE GOVERNOR HAS IMPOSED A
[000:02:18;171] CURFEW, AND THE MAYOR SAYS
[000:02:19;572] SEARCH AND RESCUE MISSIONS ARE
[000:02:21;274] GETTING UNDER WAY.
[000:02:22;709] NO FIRM NUMBER ON THE NUMBER OF
[000:02:23;843] DEAD OR INJURED AS THIS ISLAND
[000:02:24;978] BEGINS WHAT WILL NO DOUBT BE A
[000:02:26;112] LONG RECOVERY.
[000:02:26;679] IT SHOWED LITTLE MERCY.
[000:02:32;118] TONIGHT MARIA'S DESTRUCTIVE PATH
[000:02:33;520] IS ONLY STARTING TO BECOME
[000:02:34;220] CLEAR.
[000:02:36;356] SWATHS OF PUERTO RICO UNDER
[000:02:38;057] WATER.
[000:02:43;196] ROADS TURNED TO RAGING RIVERS.
[000:02:47;167] ROOFS RIPPED OFF.
[000:02:48;034] TREES TOPPLED.
[000:02:48;902] CARS OVERTURNED.
