[000:00:00;333] THANKS FOR WATCHING.
[000:00:02;936] "NBC NIGHTLY NEWS" WITH LESTER
[000:00:03;570] HOLT.
[000:00:03;770] MORE LOCAL NEWS AT 6:00.
[000:00:05;205] HOPE YOU CAN JOIN US THEN.
[000:00:13;513] >>> ON THIS SATURDAY
[000:00:14;280] NIGHT,
[000:00:14;814] BREAKING POINT.
[000:00:23;390] CONFUSION, CHAOS AND
[000:00:24;157] FEAR IN PUERTO RICO,
[000:00:24;924] AS A MAJOR DAM MAY BE
[000:00:25;992] CLOSE TO BURSTING.
[000:00:26;693] THOUSANDS TOLD SO
[000:00:27;394] EVACUATE BEFORE WHAT
[000:00:28;161] COULD BE AN EPIC
[000:00:28;862] FLOOD.
[000:00:29;629] >>> DESPERATE HOURS,
[000:00:30;663] FOUR DAYS AFTER THE
[000:00:31;398] DEVASTATING
[000:00:31;998] EARTHQUAKE.
[000:00:32;599] THE FRANTIC SEARCH IN
[000:00:33;366] MEXICO CITY FOR THE
[000:00:34;100] MISSING, WITH TIME
[000:00:34;801] RUNNING OUT.
[000:00:35;402] A POWERFUL AFTERSHOCK
[000:00:36;169] JOLTS SOUTHERN MEXICO.
[000:00:37;404] >>> THE PRESIDENT IN A
[000:00:38;171] NEW WAR OF WORDS WITH
[000:00:38;938] PRO ATHLETES AFTER
[000:00:39;672] BLASTING THOSE WHO
[000:00:40;507] KNEELED DURING THE
[000:00:41;241] NATIONAL ANTHEM.
[000:00:45;245] WHAT LeBRON JAMES HAD
[000:00:46;046] TO SAY ABOUT THE
[000:00:46;746] PRESIDENT.
[000:00:47;313] >>> JOBS WITH A
[000:00:47;981] FUTURE.
[000:00:48;515] TENS OF THOUSANDS OF
[000:00:49;282] THEM PAYING WELL, EVEN
[000:00:50;050] WITHOUT A COLLEGE
[000:00:50;750] DEGREE.
[000:00:51;284] WHERE ARE THEY?
[000:00:51;951] AND HOW DO YOU GET
[000:00:56;022] THEM?
[000:00:56;556] >>> WHY SO MANY ARE
[000:00:57;290] ONCE AGAIN TRYING TO
