[000:00:01;301] LOW HUMIDITY.
[000:00:02;135] >> THANK YOU SO MUCH.
[000:00:03;903] WE'LL BE BACK AT 6:00.
[000:00:07;407] >> LOESTER HOLT IS NEXT.
[000:00:12;012] >>> TONIGHT, INTO THE
[000:00:13;046] GUNFIRE.
[000:00:16;182] HARROWING NEW VIDEO
[000:00:17;717] FROM THE FIRST MOMENTS
[000:00:18;485] OF CHAOS AND CARNAGE.
[000:00:19;819] OFFICERS RUNNING
[000:00:20;854] TOWARD THE DANGER.
[000:00:23;957] AND TONIGHT, SOME OF
[000:00:24;991] THE MOST POWERFUL
[000:00:25;692] STORIES OF HEROISM
[000:00:26;559] WE'VE HEARD.
[000:00:27;594] A FATHER AND SON WHO
[000:00:28;361] BOTH TOOK BULLETS
[000:00:29;162] WHILE WORKING
[000:00:30;196] FRANTICALLY TO SAVE
[000:00:31;231] OTHERS.
[000:00:32;298] >> HE KEPT TELLING ME
[000:00:33;366] THAT HE LOVED
[000:00:33;933] EVERYBODY AND JUST
[000:00:35;368] WANTED EVERYBODY TO
[000:00:36;403] KNOW THAT HE LOVED
[000:00:37;137] EVERYBODY.
[000:00:39;539] >>> PLUS, NEW DETAILS
[000:00:40;306] ON THE INVESTIGATION.
[000:00:41;074] THE GUNMAN'S
[000:00:41;708] GIRLFRIEND BACK IN THE
[000:00:43;676] U.S. NOW BEING
[000:00:44;744] QUESTIONED BY THE FBI.
[000:00:47;313] >>> ALSO, FALLOUT FROM
[000:00:48;882] THE NBC NEWS EXCLUSIVE
[000:00:49;916] THAT HAS ROCKETED
[000:00:50;650] ACROSS WASHINGTON.
[000:00:51;484] REX TILLERSON'S
[000:00:52;519] BOILING POINT.
[000:00:53;586] SOURCES SAY THE
[000:00:54;621] SECRETARY OF STATE WAS
[000:00:55;655] ON THE VERGE OF
[000:00:56;689] RESIGNING.
[000:00:57;724] SO FRUSTRATED HE EVEN
[000:00:58;758] REFERRED TO PRESIDENT
[000:00:59;793] TRUMP AS A MORON.
[000:01:00;493] >>> AND A NEW TROPICAL
[000:01:01;261] THREAT.
[000:01:01;895] A POTENTIAL HURRICANE
[000:01:02;929] TAKING AIM AT THE
[000:01:03;963] GULF.
[000:01:07;634] >>> "NIGHTLY NEWS"
[000:01:08;368] BEGINS RIGHT NOW.
[000:01:12;806] >>> LAS VEGAS MASS
[000:01:13;540] SHOOTING.
[000:01:14;908] THIS IS NBC "NIGHTLY
[000:01:18;011] NEWS" WITH LESTER
[000:01:18;711] HOLT, REPORTING
[000:01:19;579] TONIGHT FROM LAS
[000:01:20;280] VEGAS.
[000:01:21;648] >>> GOOD EVENING,
[000:01:22;682] EVERYONE.
[000:01:23;750] THANK YOU FOR BEING
[000:01:24;784] WITH US ON THIS
[000:01:25;819] WEDNESDAY EVENING.
[000:01:26;853] BEHIND ME THOSE
[000:01:27;887] BLOWN-OUT WINDOWS HIGH
[000:01:28;922] UP IN THE MANDALAY BAY
[000:01:29;989] HOTEL ARE HARD TO MISS
[000:01:31;024] ON THIS END OF THE
[000:01:32;058] VEGAS STRIP.
[000:01:33;626] A THANKFULLY TEMPORARY
[000:01:34;661] REMINDER OF THE 11
[000:01:37;764] MINUTES OF
[000:01:38;364] COLD-BLOODED VIOLENCE
[000:01:39;332] HERE JUST THREE NIGHTS
[000:01:40;100] AGO.
[000:01:41;935] TONIGHT, A NEW PIECE
[000:01:42;969] OF VIDEO TAKEN JUST
[000:01:44;003] BELOW THE HOTEL AS THE
[000:01:45;572] GUNFIRE ERUPTED.
[000:01:49;209] IT WAS CAPTURED BY A
[000:01:50;243] CAB DRIVER IN THE TAXI
[000:01:51;277] QUEUE AT THE MANDALAY
[000:01:52;312] BAY AS THE SHOTS RANG
[000:01:53;379] OUT, CAPTURING AN
[000:01:54;414] EERIE CALM AMONG
[000:01:55;949] CONFUSED HOTEL GUESTS,
[000:01:57;016] AND THEN THE PANIC OF
[000:01:59;586] FLEEING CONCERTGOERS.
[000:02:00;653] 11 MINUTES IN WHICH
[000:02:01;688] LIVES WERE ABRUPTLY
[000:02:02;422] ENDED OR FOREVER
[000:02:03;256] ALTERED.
[000:02:05;325] >> I SAID, LET'S GET
[000:02:06;359] DOWN, AND HE SAID, NO,
[000:02:07;393] WE'LL GET TRAMPLED.
[000:02:08;428] LET'S GO.
[000:02:09;496] AND HE WRAPPED HIS
[000:02:10;530] ARMS AROUND MY BACK.
[000:02:13;633] AND AS WE STARTED TO
[000:02:14;667] RUN, I FELT HIM GET
[000:02:15;735] SHOT IN THE BACK, AND
[000:02:16;503] WE FELL TO THE GROUND.
[000:02:18;838] >> AND TONIGHT, AS THE
[000:02:20;406] PRESIDENT AND FIRST
[000:02:21;975] LADY VISITED WITH
[000:02:23;009] SURVIVORS AND FIRST
[000:02:24;043] RESPONDERS HERE, WE'RE
[000:02:25;612] GETTING A TERRIFYING
[000:02:26;646] NEW GLIMPSE OF THAT
[000:02:27;680] NIGHT THROUGH THE EYES
[000:02:28;448] OF POLICE RESPONDING
[000:02:29;215] TO THE SHOTS.
[000:02:30;283] THERE WERE MOMENTS OF
[000:02:31;050] TERROR AND SOME OF
[000:02:31;784] REMARKABLE BRAVERY.
[000:02:32;519] OUR NATIONAL
[000:02:33;386] CORRESPONDENT MIGUEL
[000:02:34;454] ALMAGUER BEGINS OUR
[000:02:35;188] COVERAGE TONIGHT.
[000:02:37;557] >> GO THAT WAY!
[000:02:38;625] GET OUT OF HERE!
[000:02:39;659] THERE'S GUNSHOTS
[000:02:40;360] COMING FROM OVER
[000:02:41;060] THERE.
[000:02:41;728] GO THAT WAY!
[000:02:42;762] >> Reporter: POLICE
[000:02:43;830] SAY THEY RAN INTO 11
[000:02:44;864] MINUTES OF HELL.
[000:02:47;967] >> GET BACK!
[000:02:49;002] >> Reporter: THE LAS
[000:02:49;769] VEGAS POLICE
[000:02:51;104] DEPARTMENT RELEASING A
[000:02:52;138] SAMPLING OF BODY CAM
[000:02:53;706] FOOTAGE CAPTURING THE
[000:02:55;775] INTENSE HORROR, VOLLEY
[000:02:56;809] AFTER VOLLEY OF
[000:02:57;844] RELENTLESS GUNFIRE.
[000:02:59;946] >> GET DOWN, GET DOWN,
[000:03:00;713] GET DOWN!
[000:03:02;549] >> Reporter: BULLETS
[000:03:03;583] TEARING THROUGH THE
[000:03:04;317] AIR MUFFLED ONLY BY
[000:03:05;118] SCREAMS.
[000:03:08;755] >> THEY KNEW WHAT THEY
[000:03:10;323] WERE DOING, BUT IT'S
[000:03:11;891] ALSO NOT JUST A FLY BY
[000:03:12;926] THE SEAT OF YOUR PANTS
[000:03:13;960] TYPE OF RISK.
[000:03:14;594] IT'S A CALCULATED
[000:03:16;062] RISK.
[000:03:16;563] >> Reporter: WITH
[000:03:17;597] OFFICERS SWEEPING ON
[000:03:18;364] TO THE KILLING FIELD,
[000:03:20;200] THIS CAMERA BURIED
[000:03:21;234] UNDER A VEST, SHOWS
[000:03:22;802] ONE OFFICER USING HIS
[000:03:23;836] BODY TO SHIELD A
[000:03:24;537] VICTIM LYING ON THE
[000:03:25;271] GROUND.
[000:03:27;507] ALONGSIDE POLICE,
[000:03:29;576] PARAMEDICS KNOWING
[000:03:30;610] THEY, TOO, COULD BE
[000:03:31;644] KILLED.
[000:03:32;679] >> IT'S VERY INTENSE.
[000:03:34;247] >> Reporter: JEFF
[000:03:35;281] BUCHANAN'S TEAM
[000:03:36;316] SCRAMBLED TO PUT ON
[000:03:37;884] KEVLAR.
[000:03:38;418] >> THEY'RE FOCUSED ON
[000:03:39;452] THE PATIENTS AND
[000:03:40;486] THEY'RE ALSO FOCUSED
[000:03:41;521] ON MAKING SURE THAT
[000:03:42;555] THEY SAVE AS MANY
[000:03:43;590] PEOPLE AS POSSIBLE.
[000:03:45;692] >> Reporter: TONIGHT,
[000:03:46;459] NEW VIDEO CAPTURED BY
[000:03:47;227] A CAB DRIVER.
[000:03:48;795] IN THE CHAOS, POLICE
[000:03:49;829] WOULD EVENTUALLY SPOT
[000:03:51;397] THE SHOOTER.
[000:03:52;432] >> MUZZLE BLASTS FROM
[000:03:54;000] THE MANDALAY BAY.
[000:03:55;034] >> NORTH OF THE
[000:03:56;603] MANDALAY BAY, IT'S
[000:03:57;337] COMING OUT OF A
[000:03:58;004] WINDOW.
[000:03:58;538] >> Reporter: FEAR AND
[000:03:59;305] PANIC WERE EVERYWHERE.
[000:04:00;240] VICTIMS PILING INTO
[000:04:00;974] THIS TAXI.
[000:04:02;308] >> JUST GO!
[000:04:04;410] JUST GO.
[000:04:05;445] >> OKAY.
[000:04:05;979] I'M GOING.
[000:04:06;980] I'M GOING.
[000:04:08;047] I'M GOING.
[000:04:08;615] >> EVERYBODY'S DYING.
[000:04:10;116] COME ON.
[000:04:11;150] >> Reporter: AMONG
[000:04:12;185] THOSE PULLED TO
[000:04:13;219] SAFETY, 24-YEAR-OLD
[000:04:14;287] KRISTIN BABIK.
[000:04:15;321] >> OUT OF EVERYONE WHO
[000:04:16;356] WAS RUNNING AWAY AND
[000:04:17;123] SCREAMING, THERE WERE
[000:04:17;924] A LOT OF PEOPLE GOING
[000:04:21;561] TOWARD IT TO HELP.
[000:04:24;163] >> Reporter: TONIGHT,
[000:04:24;931] BABIK IS RECOVERING.
[000:04:25;732] SHE'S STILL WEARING
[000:04:27;300] HER CONCERT WRISTBAND.
[000:04:29;369] >> I'M FORTUNATE I
[000:04:31;971] DIDN'T PASS AWAY, BUT
[000:04:33;539] I'M ALSO UNFORTUNATE
[000:04:35;074] THAT I AM NOW STUCK
[000:04:37;176] WITH THIS BULLET WOUND
[000:04:38;211] IN MY BACK FOR THE
[000:04:39;245] REST OF MY LIFE.
[000:04:40;813] >> GO, GO, GO, GO.
[000:04:41;514] >> Reporter: AN URBAN
[000:04:42;282] BATTLEFIELD NO ONE
[000:04:43;016] WILL EVER FORGET.
[000:04:44;951] DURING THE GUNFIRE
[000:04:45;685] FROM THIS HOTEL ROOM,
[000:04:47;053] POLICE SAY MANY OF
[000:04:48;588] THEIR OFFICERS WERE
[000:04:49;656] WEARING BODY CAMERAS,
[000:04:50;423] ADDING MUCH OF THE
[000:04:51;190] VIDEO IS STILL BEING
[000:04:51;958] REVIEWED.
[000:04:53;293] SOME IS TOO GRAPHIC TO
[000:04:54;060] SHOW.
[000:04:55;361] IT IS A REAL LIFE
[000:04:56;396] ACCOUNT OF THE TERROR
[000:04:57;430] THAT RAINED DOWN ON SO
[000:04:58;197] MANY.
[000:04:58;698] LESTER?
[000:05:00;566] >> SO TERRIFYING JUST
[000:05:01;334] TO WATCH IT, I CAN'T
[000:05:02;635] IMAGINE LIVING THROUGH
[000:05:03;403] IT.
[000:05:03;870] MIGUEL ALMAGUER, THANK
[000:05:05;238] YOU.
[000:05:07;840] >>> TONIGHT, THE WOMAN
[000:05:08;608] WHO LIVED WITH THE LAS
[000:05:09;409] VEGAS ATTACKER IS BACK
[000:05:10;443] IN THE U.S., ARRIVING
[000:05:11;477] IN LOS ANGELES, WHERE
[000:05:12;512] SHE SPENT MOST OF THE
[000:05:14;080] DAY ANSWERING
[000:05:15;648] QUESTIONS FROM THE FBI
[000:05:16;683] AND LAS VEGAS
[000:05:17;717] AUTHORITIES.
[000:05:18;785] INVESTIGATORS ARE
[000:05:19;786] HOPING SHE CAN PROVIDE
[000:05:20;820] SOME ANSWERS THAT HAVE
[000:05:21;587] SO FAR BEEN ELUSIVE.
[000:05:22;388] WE GET ALL THE LATEST
[000:05:23;423] NOW FROM OUR JUSTICE
