[000:00:00;834] THANK YOU, TAMMIE.
[000:00:01;768] THANK YOU FOR WATCHING.
[000:00:02;802] I'M JACQUELINE LONDON.
[000:00:04;237] UP NEXT "NBC NIGHTLY NEWS" WITH
[000:00:05;538] LESTER HOLT.
[000:00:06;439] WE'LL SEE YOU BACK HERE TONIGHT
[000:00:08;675] AT 11:00.
[000:00:12;112] >>> TONIGHT, POWERLESS
[000:00:13;446] AND PARALYZED.
[000:00:15;382] HURRICANE MARIA
[000:00:16;082] GAINING STRENGTH AND
[000:00:16;883] ON THE MOVE.
[000:00:17;517] AFTER KNOCKING OUT ALL
[000:00:19;085] POWER IN PUERTO RICO.
[000:00:20;620] NEIGHBORHOODS
[000:00:21;521] DEMOLISHED, STREETS
[000:00:22;288] UNDER WATER.
[000:00:22;922] WE'RE LIVE IN THE
[000:00:24;057] DISASTER ZONE.
[000:00:24;824] >>> SIGNS OF LIFE.
[000:00:26;026] THE URGENT SEARCH FOR
[000:00:27;160] VICTIMS TRAPPED IN
[000:00:28;061] THAT COLLAPSED SCHOOL.
[000:00:29;496] MORE THAN 48 HOURS
[000:00:30;530] AFTER MEXICO'S
[000:00:32;065] EARTHQUAKE.
[000:00:32;665] TONIGHT NEW HOP AS
[000:00:34;401] RESCUERS PULL
[000:00:35;101] SURVIVORS FROM THE
[000:00:36;102] RUBBLE.
[000:00:36;636] >>> PUNISHING NORTH
[000:00:37;404] KOREA.
[000:00:37;904] PRESIDENT TRUMP'S
[000:00:38;638] TOUGH NEW ACTIONS
[000:00:39;372] TURNING UP THE HEAT ON
[000:00:41;107] KIM JONG-UN'S REGIME.
[000:00:42;642] >>> FACEBOOK AND
[000:00:43;710] RUSSIA.
[000:00:44;244] CEO MARK ZUCKERBERG
[000:00:46;846] CAVING TO CONGRESS.
[000:00:48;081] THE SENSITIVE INFO
[000:00:49;416] HE'S AGREED TO TURN
[000:00:50;216] OVER IN THE RUSSIA
[000:00:51;251] PROBE.
[000:00:51;785] >>> DEADLY EPIDEMIC.
[000:00:52;585] A PHARMACY GIANT
[000:00:53;620] TAKING A STAND.
[000:00:54;354] WHAT IT MEANS FOR YOUR
[000:00:56;356] PRESCRIPTIONS.
[000:00:56;990] >>> AND BIRTHDAY
[000:00:57;924] WISHES.
[000:00:58;458] GIVING EVERY KID A
[000:00:59;225] CHANCE TO CELEBRATE
[000:01:00;827] THEIR SPECIAL DAY.
[000:01:01;561] "NIGHTLY NEWS" BEGINS
[000:01:02;328] RIGHT NOW.
[000:01:08;268] >>> FROM NBC NEWS
[000:01:09;035] WORLD HEADQUARTERS IN
[000:01:10;804] NEW YORK, THIS IS NBC
[000:01:13;106] "NIGHTLY NEWS" WITH
[000:01:13;940] LESTER HOLT.
[000:01:14;641] >>> GOOD EVENING.
[000:01:15;341] AND THANK YOU FOR
[000:01:16;076] BEING WITH US.
[000:01:17;343] 36 HOURS AFTER
[000:01:19;145] HURRICANE MARIA
[000:01:19;846] STORMED ASHORE IN
[000:01:21;247] PUERTO RICO RIPPING
[000:01:22;015] APART HOMES AND
[000:01:22;882] FLOODING STREETS, IT'S
[000:01:24;217] POSSIBLE WE HAVE NOT
[000:01:25;518] YET SEEN THE WORST OF
[000:01:26;753] IT.
[000:01:27;220] THAT'S BECAUSE ENTIRE
[000:01:28;021] AREAS REMAIN CUT OFF
[000:01:29;322] THIS EVENING.
[000:01:29;956] POWER IS OUT ACROSS
[000:01:30;857] THE ISLAND.
[000:01:32;092] COMMUNICATIONS ARE
[000:01:33;093] SPOTTY.
[000:01:33;626] WATER IS RUNNING
[000:01:34;360] SHORT.
[000:01:34;861] AND THE NUMBER OF
[000:01:35;995] POSSIBLE CASUALTIES IS
[000:01:37;263] STILL UNKNOWN.
[000:01:38;098] TONIGHT THE MILLIONS
[000:01:38;998] OF AMERICANS THERE
[000:01:40;266] WAIT AS AN URGENT
[000:01:41;668] RELIEF EFFORT KICKS
[000:01:42;569] INTO HIGH GEAR.
[000:01:43;369] LET'S GET THE LATEST
[000:01:44;704] FROM OUR GABE
[000:01:46;306] GUTIERREZ.
[000:01:47;474] GABE?
[000:01:47;974] >> Reporter: LESTER,
[000:01:49;175] MARIA'S DEATH TOLL IS
[000:01:50;043] NOW UP TO 18 ACROSS
[000:01:51;678] THE CARIBBEAN
[000:01:52;479] INCLUDING ONE DEATH
[000:01:53;379] HERE IN PUERTO RICO.
[000:01:54;614] BUT THE TRUE EXTENT OF
[000:01:55;615] THE DAMAGE IS NOT YET
[000:01:59;586] KNOWN.
[000:02:00;086] HERE MANY ROADS ARE
[000:02:01;254] IMPASSABLE AND
[000:02:02;288] COMMUNICATIONS SYSTEMS
[000:02:03;056] ARE DOWN WHICH MEANS
[000:02:03;923] IT COULD TAKE QUITE A
[000:02:04;858] WHILE TO GET A HANDLE
[000:02:05;859] ON THE FULL SCOPE OF
[000:02:07;994] MARIA'S DESTRUCTION.
[000:02:09;229] TONIGHT, IN THE WAKE
[000:02:10;029] OF HURRICANE MARIA,
[000:02:11;464] PARTS OF PUERTO RICO
[000:02:12;565] ARE DESPERATE.
[000:02:13;433] RESIDENTS FORCED TO
[000:02:14;601] WADE THROUGH
[000:02:15;502] WAIST-HIGH WATER TO
[000:02:16;536] SAFETY.
[000:02:17;070] MANY AREAS UNREACHABLE
[000:02:18;605] BY LAND OR BY PHONE
[000:02:20;607] AND VIRTUALLY THE
[000:02:21;708] ENTIRE U.S. TERRITORY
[000:02:22;809] IS WITHOUT POWER.
[000:02:24;444] SEARCH AND RESCUE
[000:02:26;713] OPERATIONS FROM
[000:02:27;447] MULTIPLE AGENCIES IN
[000:02:28;281] PUERTO RICO AND THE
[000:02:29;048] U.S. MAINLAND NOW
[000:02:30;750] UNDER WAY.
[000:02:31;317] DOZENS OF FAMILIES
[000:02:32;719] RESCUED DURING THE
[000:02:33;653] EARLY MORNING WITH
[000:02:34;420] JUST FLASHLIGHTS TO
[000:02:35;588] GUIDE THEM IN THE SAN
[000:02:36;890] JUAN COMMUNITY.
[000:02:37;557] TODAY WE RODE ALONG
[000:02:38;358] WITH THE NATIONAL
[000:02:39;125] GUARD AND GOVERNOR
[000:02:40;627] RICARDO ROSSELLO WHO
[000:02:41;661] HASN'T BEEN ABLE TO
[000:02:42;762] COMMUNICATE NOT JUST
[000:02:43;563] WITH MAYORS IN SOME
[000:02:44;697] PARTS OF THE ISLAND
[000:02:45;698] BUT EVEN HIS OWN
[000:02:47;600] PARENTS OUTSIDE SAN
[000:02:48;668] JUAN.
[000:02:49;169] >> EVERYBODY HAS FELT
[000:02:49;969] THE PAIN AND THE
[000:02:51;671] ANXIETY OF NOT
[000:02:52;472] SPEAKING TO LOVED
[000:02:53;473] ONES.
[000:02:53;973] >> Reporter: MARIA'S
[000:02:54;774] PATH OF DESTRUCTION IS
[000:02:56;209] RELENTLESS,
[000:02:56;910] DEVASTATING THE
[000:02:57;810] DOMINICAN REPUBLIC
[000:02:59;179] OVERNIGHT.
[000:03:00;046] DANGEROUS STORM SURGE
[000:03:00;847] AND DAMAGING WINDS
[000:03:01;814] THAT RIP ROOFS OFF
[000:03:03;216] HOMES.
[000:03:03;716] NEW VIDEO OUT OF ST.
[000:03:07;253] CROIX TODAY SHOWS THE
[000:03:08;054] EXTENT OF THE
[000:03:08;721] DESTRUCTION THERE.
[000:03:09;589] >> BIG MAHOGANY TREES
[000:03:11;658] THAT WERE ROOTED UP.
[000:03:12;458] >> Reporter: IN
[000:03:13;159] HARD-HIT DOMINICA
[000:03:14;994] OFFICIALS CONFIRM 15
[000:03:15;795] PEOPLE DIED FROM THE
[000:03:16;930] STORM.
[000:03:17;463] FOR MANY IN PUERTO
[000:03:18;231] RICO, THE CLEANUP IS
[000:03:19;499] JUST BEGINNING.
[000:03:20;300] IT IS STILL EXTREMELY
[000:03:21;467] DIFFICULT TO GET
[000:03:22;202] AROUND SAN JUAN.
[000:03:22;902] AND THIS IS PART OF
[000:03:23;736] THE REASON WHY.
[000:03:24;737] POWER LINES ACROSS
[000:03:25;772] THIS AREA ARE DOWN.
[000:03:27;373] VIRTUALLY THE ENTIRE
[000:03:28;274] ISLAND IS WITHOUT
[000:03:29;442] POWER.
[000:03:29;943] MANY ROADS ARE
[000:03:31;077] IMPASSABLE.
