[000:00:08;708] >> WELCOME TO
[000:00:09;042] "WORLD NEWS TONIGHT."
[000:00:11;144] CRISIS IN SYRIA.
[000:00:11;511] THE REPORTED NEW BOMBING IN THAT
[000:00:13;380] SAME TOWN WHERE THE CHEMICAL
[000:00:15;982] ATTACK KILLED DOZENS.
[000:00:17;550] PLUS SYRIAN JETS TAKING OFF FROM
[000:00:19;619] THE AIRBASE HIT BY U.S.
[000:00:20;120] MISSILES.
[000:00:23;156] TONIGHT PRESIDENT TRUMP
[000:00:23;656] DEFENDING THE DECISION NOT TO
[000:00:24;257] BOMB THE RUNWAYS.
[000:00:26;893] WEST WING WAR.
[000:00:28;495] STEPHEN BANNON VERSUS
[000:00:29;362] JARED KUSHNER.
[000:00:31;064] THE CHIEF WHITE HOUSE STRATEGIST
[000:00:32;699] CLASHING WITH THE PRESIDENT'S
[000:00:34;701] SON-IN-LAW.
[000:00:35;001] TONIGHT INSIDE THEIR MAR-A-LAGO
[000:00:36;269] SIT-DOWN TO END THEIR
[000:00:36;770] DIFFERENCES.
[000:00:38;338] MANHUNT.
[000:00:40;407] NEW IMAGES OF THE ARMED SUSPECT
[000:00:41;041] AT THE CENTER OF A NATIONWIDE
[000:00:41;641] MANHUNT.
[000:00:46;146] IS HE PLOTTING TO KILL, PLUS HIS
[000:00:46;780] MESSAGE FOR THE PRESIDENT.
[000:00:47;714] BREAKING NEWS.
[000:00:50;817] BOUNCE HOUSE DISASTER.
[000:00:51;284] MULTIPLE CHILDREN RUSHED TO THE
[000:00:51;918] HOSPITAL.
[000:00:53;953] TWO BOUNCE HOUSES SENT AIRBORNE
[000:00:56;022] HITTING POWER LINES.
[000:00:58;091] THE DANGER WITH THIS PARTY
[000:00:58;658] ATTRACTION.
[000:01:01;761] AND TAX WARNING.
[000:01:02;128] THE NEW CHANGE AFFECTING
[000:01:02;662] MILLIONS OF TAXPAYERS.
[000:01:13;840] >>> GOOD EVENING.
[000:01:14;507] THANKS FOR JOINING US ON A
[000:01:17;110] SATURDAY.
[000:01:17;377] I'M TOM LLAMAS.
[000:01:18;912] WE BEGIN
[000:01:20;413] WITH NEW BOMBINGS BY PRESIDENT
[000:01:22;482] BASHAR AL ASSAD ON HIS OWN
[000:01:23;049] PEOPLE IN THAT CHEMICAL ATTACK.
[000:01:27;120] THIS AS IMAGES ARE EMERGING OF
[000:01:27;754] SYRIAN JETS TAKING OFF FROM THE
[000:01:31;324] AIRBASE TARGETED BY U.S.
[000:01:31;891] TOMAHAWK MISSILES.
[000:01:33;927] PRESIDENT TRUMP DEFENDING AND
[000:01:35;462] EXPLAINING THE DECISION NOT TO
[000:01:38;598] BOMB THE RUNWAYS AND TONIGHT WE
[000:01:39;232] HEAR FROM ONE OF THE MOST
[000:01:40;667] VISIBLE VICTIMS FROM THE SYRIAN
[000:01:41;301] ATTACK.
[000:01:44;838] THE FATHER OF BABY TWINS KILLED
[000:01:45;472] BY THE CHEMICAL WEAPONS.
[000:01:47;507] ABC EAST ALEX MARQUARDT LEADS US
[000:01:50;043] OFF TONIGHT.
[000:01:50;343] >> Reporter: TONIGHT, THE
[000:01:55;115] SYRIAN AIRBASE HIT BY THE U.S.
[000:01:56;983] MILITARY BACK UP AND
[000:01:58;918] RUNNING, NEW PHOTOS SHOWING
[000:01:59;486] SYRIAN JETS TAKING OFF LESS THAN
[000:02:00;120] 24 HOURS AFTER THE U.S. STRIKE.
[000:02:01;588] THE MARKINGS FROM THE BOMBINGS
[000:02:02;622] SEEN ON BUNKERS.
[000:02:05;692] IMAGES SHOWING AIRCRAFT AND
[000:02:09;329] BOMBED OUT FUEL TANKS AND DAMAGE
[000:02:10;363] TO AIRCRAFT SHELTERS.
[000:02:11;965] BUT THE RUNWAYS UNTOUCHED.
[000:02:14;000] TONIGHT THE PRESIDENT TWEETING A
[000:02:14;634] DEFENSE.
[000:02:16;603] THE REASON YOU GENERALLY DON'T
[000:02:18;671] HIT RUNWAYS IS THAT THEY ARE
[000:02:19;706] EASY AND INEXPENSIVE TO QUICKLY
[000:02:20;340] FIX.
[000:02:23;943] THE PENTAGON SAYS IT WAS FROM
[000:02:25;445] THIS BASE THAT A PLANE TOOK OFF
[000:02:27;514] WITH THE DEADLY NERVE AGENT USED
[000:02:28;148] IN TUESDAY'S CHEMICAL ATTACK
[000:02:34;287] THAT KILLED MORE THAN 80 PEOPLE.
[000:02:35;121] AND THAT TOWN BOMBED AGAIN TODAY
[000:02:35;755] ACCORDING TO A WATCHDOG GROUP.
[000:02:39;459] >> THERE IS IRONY HERE THAT IT
[000:02:40;693] DOES APPEAR THAT IT'S OKAY FOR
[000:02:43;163] MR. ASSAD TO BLOW UP HIS PEOPLE.
[000:02:43;796] IT'S JUST NOT OKAY TO GAS THEM.
[000:02:44;430] >> WHEN PRESIDENT TRUMP
[000:02:44;931] ANNOUNCED THE STRIKE HE POINTED
[000:02:46;766] TO THE CHILDREN WHO WERE KILLED.
[000:02:49;402] >> IT WAS A SLOW AND BRUTAL
[000:02:51;471] DEATH FOR SO MANY.
[000:02:57;243] EVEN BEAUTIFUL BABIES WERE
[000:02:59;279] CRUELLY MURDERED IN THIS VERY
[000:03:00;813] BARBARIC ATTACK.
[000:03:05;385] >> PERHAPS NO IMAGE MORE GUT
[000:03:07;053] WRENCHING OF THIS ONE OF ABDUL
[000:03:08;621] HAMEEM YOUSSEF HUGGING HIS
[000:03:15;128] TWO LIFELESS
[000:03:15;461] TWINS.
[000:03:18;031] HE WENT HOUSE TO HOUSE TRYING TO
[000:03:18;665] RESCUE NEIGHBORS AND FAMILY.
[000:03:20;099] MANY FOAMING AT THE MOUTH.
[000:03:23;803] HE LOST 25 RELATIVES IN THE
[000:03:27;207] ATTACK DURING WHICH HE FAINTED.
[000:03:29;375] >> Translator: WHEN I CAME TO I
[000:03:31;911] ASKED FOR THEM HE SAID.
[000:03:34;080] I TOLD THEM HELLO DARLINGS I
[000:03:34;681] TOOK TOO LONG.
[000:03:39;185] I RESCUED EVERYONE ELSE BUT I
[000:03:39;786] COULDN'T RESCUE YOU.
[000:03:40;453] DESCRIBING THE MOMENT THE PHOTO
[000:03:41;754] WAS TAKEN YOUSSEF SAID I WASN'T
[000:03:43;356] AWARE OF ANYTHING.
[000:03:44;157] I THOUGHT THEY WERE ALIVE.
[000:03:47;160] I WAS EXPECTING THEM TO HUG ME
[000:03:47;794] BACK.
[000:03:49;195] >> THAT FATHER'S STORY AND THE
[000:03:51;097] IMAGES SO DEVASTATING.
[000:03:52;465] ALEX JOINS US LIVE.
[000:03:53;766] THE BIG QUESTION, WILL SYRIA
[000:03:55;835] RESPOND TO THE U.S. ATTACK AND
[000:03:57;070] DO WE KNOW IF TODAY'S NEW
[000:03:59;205] BOMBING BY SYRIA OF THAT TOWN
[000:04:00;907] WHERE THE CHEMICAL ATTACK
[000:04:01;874] OCCURRED WAS THAT RETALIATION?
[000:04:07;614] >> Reporter: IT'S UNCLEAR
[000:04:08;681] WHETHER THAT SYRIAN ATTACK WAS
[000:04:09;716] IN DIRECT RESPONSE TO THE
[000:04:11;284] AMERICAN STRIKE WHICH PRESIDENT
[000:04:13;386] ASSAD HAS CALLED AN UNJUST ACT
[000:04:15;455] OF AGGRESSION BUT WE ARE SEEING
[000:04:16;456] THE REACTION.
[000:04:19;158] A DEFIANT
[000:04:20;693] ASSAD SAYING WE ARE GOING TO
[000:04:21;728] CONTINUE CARRYING BOMBING RUNS
[000:04:22;795] AND LAUNCHING OUR PLANES FROM
[000:04:24;330] THE BASE THAT YOU JUST STRUCK.
[000:04:24;931] TOM.
[000:04:28;534] >> ALEX, THANK YOU.
[000:04:30;069] DIGGING DEEPER INTO THE DECISION
[000:04:32;138] AROUND THAT STRIKE PLUS THE
[000:04:33;706] BREWING CIVIL WAR INSIDE THE
[000:04:35;241] WEST WING BETWEEN TWO OF THE
[000:04:38;378] PRESIDENT'S TOP AIDES.
[000:04:38;845] ABC'S DAVID WRIGHT REPORTING
[000:04:39;445] FROM WEST PALM BEACH TONIGHT.
[000:04:41;481] >> Reporter: TONIGHT THE
[000:04:42;548] PRESIDENT STILL INSISTS THE
